0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32613 21562	1	 * 	287.63	DCR|3VULN|3DMG|3TLV|1DUR|1AART	18aVULN|2DUR|38aDMG|48aTLV|5AART|6RCR|7BBNT|8aBPWR|9BELT
2	32613 25354	1	   	285.53	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9MBVNT
3	31421 21562	4	 * 	281.26	DCR|3VULN|3DMG|3DUR|1AART	18aVULN|2CGEN|38aDUR|4AART|58aDMG|6RCR|7BBNT|8aBPWR|9BELT
4	32421 21562	4	   	281.26	DCR|3VULN|3DMG|3DUR|1AART	18aVULN|2MLV|38aDUR|4AART|58aDMG|6RCR|7BBNT|8aBPWR|9BELT
5	31221 21562	2	   	281.26	DCR|3VULN|3DMG|3DUR|1AART	18aVULN|2CGEN|3AART|48aDUR|58aDMG|6RCR|7BBNT|8aBPWR|9BELT
6	32221 21562	2	   	281.26	DCR|3VULN|3DMG|3DUR|1AART	18aVULN|2MLV|3AART|48aDUR|58aDMG|6RCR|7BBNT|8aBPWR|9BELT
7	34221 21562	1	   	281.16	DCR|3VULN|3DMG|3DUR|1AART	18aVULN|2ERES|3AART|48aDUR|58aDMG|6RCR|7BBNT|8aBPWR|9BELT
8	32613 21551	1	   	280.19	DCR|3VULN|2DMG|2TLV|1DUR|1AART	18aVULN|2DUR|38DMG|48TLV|5AART|6RCR|7BBNT|8BPWR|9LIT
9	32613 25325	1	   	276.59	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37aDMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LWND
10	32613 25335	1	   	276.59	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37aDMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9LHND
11	32613 25343	1	 * 	275.56	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8aCDMG|9ASPD
12	31221 25345	2	   	274.24	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17aVULN|2CGEN|3AART|47DUR|57DMG|6RCR|7BPWR|8CDMG|9ASPD
13	33513 25342	1	 * 	274.08	DCR|2VULN|2TLV|2DUR|1DMG|2ASPD|1CDMG|1AART	17VULN|29ASPD|37DUR|47TLV|5AART|6RCR|7BPWR|8CDMG|aDMG
14	32613 25211	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MLV|9LHND
15	32613 25241	1	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MLV|9FEWX
16	36413 25211	3	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MLV|9LHND
17	36613 25211	2	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MLV|9LHND
18	32613 25431	1	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MBVNT|9MLV
19	32613 25611	1	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17aVULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8ERES|9LHND
20	33513 21562	1	 * 	270.45	DCR|3VULN|3DUR|3TLV|1AART	18aVULN|2ASPD|38aDUR|48aTLV|5AART|6RCR|7BBNT|8aBPWR|9BELT
21	32613 25251	1	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8MLV|9LIT|aCDMG
22	32613 25341	1	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9ASPD|aZMB
23	32613 25342	1	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	17VULN|2DUR|37DMG|47TLV|5AART|6RCR|7BPWR|8CDMG|9ASPD|aBEXP
24	32612 12324	1	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17aVULN|2DUR|3aDMG|4TLV|5BEXP|6aLIT|8RCR|9RPLT|aBPWR
25	33413 12324	3	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17aVULN|2LHND|3aDMG|4TLV|5DUR|6aLIT|8RCR|9RPLT|aBPWR
26	33613 12324	2	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17aVULN|2LHND|3aDMG|4TLV|5DUR|6aLIT|8RCR|9RPLT|aBPWR
27	35613 12324	1	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17aVULN|2LWND|3aDMG|4TLV|5DUR|6aLIT|8RCR|9RPLT|aBPWR
28	36412 12324	3	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17aVULN|2DUR|3aDMG|4TLV|5BEXP|6aLIT|8RCR|9RPLT|aBPWR
29	36612 12324	2	   	269.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	17aVULN|2DUR|3aDMG|4TLV|5BEXP|6aLIT|8RCR|9RPLT|aBPWR
30	24113 12324	1	   	269.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1LEGI|2aDMG|37aVULN|4TLV|5DUR|6aLIT|8RCR|9RPLT|aBPWR
31	33511 66211	1	   	268.63	DCR|3VULN|3DUR|3TLV|2ASPD	17aVULN|2aASPD|367DUR|478TLV|5BELT|7aBPWR|9RCR
32	33366 33114	1	 * 	268.26	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1589VULN|2ASPD|3AART|4SELL|68DUR|78TLV|8BPWR|aRCR
33	36321 25611	4	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	179VULN|29DUR|378ERES|4AART|579DMG|6RCR|79BPWR|aCGEN
34	36321 25612	4	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	179VULN|29DUR|378ERES|4AART|579DMG|6RCR|79BPWR|aLWND
35	36321 25613	4	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	179VULN|29DUR|378ERES|4AART|579DMG|6RCR|79BPWR|aLHND
36	32421 21516	4	 * 	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18VULN|2MLV|38DUR|4AART|58DMG|6RCR|7BBNT|8BPWR|9TLV|aCDMG
37	31221 25358	2	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	17VULN|2CGEN|3AART|47DUR|57DMG|6RCR|7BPWR|8CDMG|9MBVNT|aTLV
38	32221 21516	2	   	267.34	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	18VULN|2MLV|3AART|48DUR|58DMG|6RCR|7BBNT|8BPWR|9TLV|aCDMG
39	33366 33152	1	 * 	267.28	DCR|3VULN|2TLV|2DUR|1DMG|1AART|1SELL	158VULN|2ASPD|3AART|4SELL|68DUR|78TLV|8BPWR|9RCR|aDMG
