0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32312 45544	9	 * 	265.25	DCR|4VULN|3DUR|3CDMG	1RMIN|279aVULN|3MBVNT|4ERES|57aDUR|67aCDMG|7aBPWR|8RCR
2	32511 34412	8	 * 	260.97	DCR|3VULN|2DUR|1TLV|2ASPD|1CDMG	1RMIN|267VULN|3RPLT|47DUR|57ASPD|7BPWR|8RCR|9CDMG|aTLV
3	32343 45551	9	 * 	259.32	DCR|3VULN|2TLV|2DUR|2CDMG	1RMIN|27aVULN|3MBVNT|4aLHND|57TLV|67CDMG|7aBPWR|8RCR|9aDUR
4	32363 16152	6	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1RMIN|2479VULN|3MBVNT|5DUR|6DMG|8RCR|aTLV
5	32363 26152	5	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1RMIN|2479VULN|3MBVNT|5DUR|6DMG|8RCR|aTLV
6	62522 23232	7	   	254.48	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	12aFEWX|36aVULN|4CDMG|5AART|7TLV|8RCR|9aDUR|aBPWR
7	32443 16332	8	   	254.28	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1RMIN|28aVULN|3AART|4aDUR|5TLV|6CDMG|7aDUST|9RCR|aBPWR
8	32367 21152	6	 * 	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1RMIN|249VULN|3MBVNT|56DMG|7DUR|8RCR|aTLV
9	32312 45552	9	   	253.86	DCR|3VULN|3DUR|3CDMG|1AART	1RMIN|27aVULN|3MBVNT|4ERES|57aDUR|67aCDMG|7aBPWR|8RCR|9AART
10	15261 33612	1	   	252.97	DCR|3VULN|1TLV|1DMG|1DUR|1NUKE	1LIT|2ASPD|3DUR|4NUKE|56aVULN|7DMG|8TLV|9RCR
11	32124 35361	9	 * 	252.48	DCR|3VULN|3DUR|2TLV	1RMIN|26aVULN|3LHND|4RPLT|58aDUR|7aTLV|9RCR|aBPWR
12	32132 24364	7	 * 	252.14	ACR|3VULN|3DMG|2DUR|1TLV|1SELL	1RMIN|279VULN|37LHND|4RCR|5SELL|679DMG|79BPWR|89DUR|aTLV
13	32125 24412	8	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|257VULN|37LHND|4RPLT|67DMG|7BPWR|8RCR|9CDMG|aTLV
14	32523 24412	8	   	251.64	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|247VULN|3RPLT|47BPWR|57LWND|67DMG|8RCR|9CDMG|aTLV
15	32522 24412	8	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|247VULN|3RPLT|47BPWR|57DUST|67DMG|8RCR|9CDMG|aTLV
16	12331 32531	2	   	251.35	DCR|4VULN|1TLV|1CDMG	1LIT|2DUST|369aVULN|4ASPD|5CDMG|7TLV|8RCR
17	15151 32531	1	   	251.35	DCR|4VULN|1TLV|1CDMG	1LIT|2ASPD|3DUST|469aVULN|5CDMG|7TLV|8RCR
18	51631 32531	1	   	251.35	DCR|4VULN|1TLV|1CDMG	1DUST|269aVULN|3LIT|4ASPD|5CDMG|7TLV|8RCR
19	56331 32531	2	   	251.35	DCR|4VULN|1TLV|1CDMG	1DUST|2LIT|369aVULN|4ASPD|5CDMG|7TLV|8RCR
20	32312 45541	10	   	250.94	DCR|3VULN|2DUR|1TLV|2CDMG	1RMIN|279VULN|3MBVNT|4ERES|57DUR|67CDMG|7BPWR|8RCR|aTLV
21	32363 16182	6	 * 	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|247VULN|3MBVNT|59DUR|6DMG|8RCR|aTLV
22	32363 26182	5	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1RMIN|247VULN|3MBVNT|59DUR|6DMG|8RCR|aTLV
23	32511 34311	10	   	249.49	DCR|3VULN|2DUR|1DMG|2ASPD	1RMIN|267VULN|3RPLT|47DUR|57ASPD|7BPWR|8LIT|9DMG|aRCR
24	12256 32531	2	   	249.21	DCR|4VULN|1TLV|1DMG|1SELL	1LIT|2DUST|3DMG|469aVULN|5TLV|7SELL|8RCR
25	32511 34423	8	 * 	248.61	DCR|3VULN|2DUR|3ASPD|1DMG	1RMIN|267VULN|3RPLT|47DUR|579ASPD|7BPWR|8RCR|aDMG
26	32511 34433	9	   	248.61	DCR|3VULN|2DUR|3ASPD|1DMG	1RMIN|267VULN|3RPLT|47DUR|579ASPD|7BPWR|8RCR|aDMG
27	11222 35625	8	   	248.01	DCR|3VULN|1TLV|1DUR|1CDMG|1AART	1LIT|2ZMB|37aVULN|4DUR|5TLV|6AART|8RCR|9CDMG
28	32511 34432	8	   	247.32	DCR|3VULN|2DUR|1TLV|2ASPD	1RMIN|267VULN|3RPLT|47DUR|57ASPD|7BPWR|8RCR|9CGEN|aTLV
29	16222 35152	10	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1LIT|2RMIN|37VULN|4DUR|5TLV|6AART|89DMG|aRCR
30	34222 35152	10	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1RMIN|2LIT|37VULN|4DUR|5TLV|6AART|89DMG|aRCR
31	32511 34422	9	   	247.22	DCR|3VULN|2DUR|1TLV|2ASPD	1RMIN|267VULN|3RPLT|47DUR|57ASPD|7BPWR|8RCR|9ERES|aTLV
32	32312 45522	8	 * 	246.31	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1RMIN|27VULN|3MBVNT|4ERES|57DUR|67CDMG|7BPWR|8RCR|9DMG|aTLV
33	33522 44112	7	   	246.31	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1RMIN|27ERES|38VULN|47CDMG|57DUR|6RCR|7BPWR|9DMG|aTLV
34	32361 21158	6	   	246.00	DCR|3VULN|2DMG|1TLV	1RMIN|249VULN|3MBVNT|5ASPD|6aDMG|7RCR|8TLV
35	32353 34764	9	 * 	245.87	DCR|3VULN|2DMG|2TLV	1RMIN|27aVULN|3MBVNT|4LEGI|5aTLV|6RPLT|8aDMG|9RCR|aBPWR
36	11623 48541	8	   	245.83	DCR|3VULN|2DUR|1TLV|2LIT	18LIT|2ZMB|3MBVNT|48DUR|5ERES|6TLV|78aVULN|8BPWR|9RCR
37	11216 11651	9	   	245.78	DCR|3VULN|2DUR|1TLV|2LIT|1SELL	1aLIT|2ZMB|38aVULN|4SELL|5TLV|6CGEN|7aDUR|9RCR|aBPWR
38	32312 45542	10	   	245.78	DCR|4VULN|2DUR|2CDMG	1RMIN|279aVULN|3MBVNT|4ERES|57DUR|67CDMG|7BPWR|8RCR
39	32312 45543	9	   	245.78	DCR|4VULN|2DUR|2CDMG	1RMIN|279aVULN|3MBVNT|4ERES|57DUR|67CDMG|7BPWR|8RCR
40	32313 55172	3	   	245.63	DCR|3VULN|2DMG|2TLV|1SELL	1RMIN|24aVULN|3MBVNT|5BBNT|6aDMG|7RCR|8SELL|9aTLV|aBPWR
41	12254 32531	2	   	245.21	DCR|4VULN|1DMG|1CDMG	1LIT|2DUST|3DMG|469aVULN|5ASPD|7CDMG|8RCR
