0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34172 57433	2	 * 	305.10	DCR|5VULN|3DMG|2LIT	1MBVNT|2589aVULN|3AART|45aDMG|5aBPWR|6aLIT|7RCR
2	34172 57443	2	   	290.57	DCR|4VULN|3DMG|3LIT	1MBVNT|258aVULN|3AART|45aDMG|5aBPWR|69aLIT|7RCR
3	25631 33152	9	 * 	288.99	DCR|5VULN|2DUR|2ASPD	1RMIN|2356aVULN|3aBPWR|4aASPD|7RCR|8aDUR|9AART
4	34737 33513	8	 * 	287.13	DCR|4VULN|2DMG|2DUR|1ASPD	1MBVNT|237aVULN|4ASPD|5aDUR|6RCVC|8RCR|9aDMG|aBPWR
5	34172 57233	2	   	285.56	DCR|4VULN|3DMG|2LIT	1MBVNT|259aVULN|3AART|45aDMG|5aBPWR|6aLIT|7RCR|8RCVC
6	34141 47485	2	   	283.22	DCR|4VULN|2DMG|2TLV	1MBVNT|268aVULN|3AART|4LIT|5aTLV|7RCR|9aDMG|aBPWR
7	34172 57434	2	   	282.70	DCR|5VULN|2DMG	1MBVNT|2589aVULN|3AART|45DMG|5BPWR|6LIT|7RCR
8	36214 52344	5	 * 	282.46	DCR|3VULN|3DMG|3DUR	1MBVNT|2LEGI|3RMIN|49aDMG|5LWND|6RCR|79aDUR|89aVULN|9aBPWR
9	26136 36131	3	 * 	281.52	DCR|4VULN|3DUR|3LIT	1RMIN|2AART|379aVULN|479DUR|5BELT|679LIT|79BPWR|8RCR
10	34541 43513	8	   	281.26	DCR|4VULN|2DMG|2CDMG|1DUR|1SELL	1MBVNT|245aVULN|3SELL|5aBPWR|6DUR|7aCDMG|8RCR|9aDMG
11	34543 43513	8	   	281.26	DCR|4VULN|2DMG|2CDMG|1DUR|1SELL	1MBVNT|245aVULN|3SELL|6DUR|7aCDMG|8RCR|9aDMG|aBPWR
12	34172 57432	2	   	279.41	DCR|4VULN|2DMG|1DUR	1MBVNT|2589VULN|3AART|45DMG|5BPWR|6LIT|7RCR|aDUR
13	33432 77134	10	 * 	279.07	ACR|5VULN|3DUR|1DMG|2CDMG	1MBVNT|2RCR|35689VULN|468DUR|68BPWR|78CDMG|aDMG
14	33433 57134	10	   	279.07	ACR|5VULN|3DUR|1DMG|2CDMG	1MBVNT|2RCR|35689VULN|458DUR|58BPWR|78CDMG|aDMG
15	34172 12286	2	   	278.90	DCR|3VULN|3DMG|2DUR	1MBVNT|259VULN|3AART|457DMG|59BPWR|69DUR|89MLV|aRCR
16	34172 12536	2	   	278.90	DCR|3VULN|3DMG|2DUR	1MBVNT|259VULN|3AART|457DMG|59BPWR|69DUR|89CGEN|aRCR
17	25651 32313	7	   	278.18	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7aDUR|8RCR|9aBEXP
18	25651 33113	8	   	278.18	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7RCR|8aDUR|9aBEXP
19	25651 33133	9	   	278.18	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7RCR|8aDUR|9aFEWX
20	25651 33313	6	   	278.18	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7aDUR|8RCR|9aBEXP
21	25651 32333	7	   	277.98	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7aDUR|8RCR|9aDUST
22	25651 33133	8	   	277.98	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7RCR|8aDUR|9aDUST
23	25651 33333	6	   	277.98	DCR|5VULN|2DUR|1DMG	1RMIN|2356aVULN|3aBPWR|4DMG|7aDUR|8RCR|9aDUST
24	26132 41133	3	   	276.42	DCR|4VULN|3DUR|2LIT	1RMIN|2AART|359aVULN|459DUR|59BPWR|69LIT|7BELT|8RCR
25	25651 23313	5	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|235aVULN|3aBPWR|46DMG|7aDUR|8RCR|9aBEXP
26	25653 23313	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|235aVULN|3aBPWR|46DMG|7aDUR|8RCR|9aBEXP
27	25112 32313	7	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|257aVULN|3LHND|4aDUR|6RCVC|8RCR|9aDMG|aBPWR
28	25112 32513	8	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|257aVULN|3LHND|4aDUR|6RCVC|8RCR|9aDMG|aBPWR
29	25126 34313	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RMIN|245aVULN|37LHND|6aDUR|8RCR|9aDMG|aBPWR
30	34812 33513	8	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|257aVULN|3ZMB|4aDUR|6RCVC|8RCR|9aDMG|aBPWR
31	34827 33513	8	   	276.12	DCR|4VULN|2DMG|2DUR	1MBVNT|247aVULN|3ZMB|5aDUR|6RCVC|8RCR|9aDMG|aBPWR
32	25651 23333	5	   	276.02	DCR|4VULN|2DMG|2DUR	1RMIN|235aVULN|3aBPWR|46DMG|7aDUR|8RCR|9aDUST
33	25653 23333	4	   	276.02	DCR|4VULN|2DMG|2DUR	1RMIN|235aVULN|3aBPWR|46DMG|7aDUR|8RCR|9aDUST
