0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52162 32311	1	 * 	289.79	DCR|4VULN|2DUR|2ASPD|1TLV|1CDMG	17DUR|24LWND|3457VULN|47BPWR|67ASPD|8CDMG|9TLV|aRCR
2	54122 32611	1	 * 	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2BEXP|357VULN|47DMG|6DMSP|7BPWR|8CDMG|9TLV|aRCR
3	55122 32311	1	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2FEWX|357VULN|47DMG|6DMSP|7BPWR|8CDMG|9TLV|aRCR
4	52122 12311	2	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|26DUST|357VULN|47DMG|7BPWR|8CDMG|9TLV|aRCR
5	52422 12311	3	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|26DUST|357VULN|47DMG|7BPWR|8CDMG|9TLV|aRCR
6	52632 12311	4	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|26DUST|37DMG|457VULN|7BPWR|8CDMG|9TLV|aRCR
7	53122 12311	1	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|26DUST|357VULN|47DMG|7BPWR|8CDMG|9TLV|aRCR
8	52636 12122	4	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	157DUR|26DUST|37DMG|457VULN|57BPWR|8TLV|9BEXP|aRCR
9	52126 12152	2	 * 	282.36	DCR|3VULN|3DMG|3DUR	157DUR|26DUST|379VULN|457DMG|57BPWR|8FEWX|aRCR
10	53126 12152	1	   	282.36	DCR|3VULN|3DMG|3DUR	157DUR|26DUST|379VULN|457DMG|57BPWR|8FEWX|aRCR
11	41116 43131	9	 * 	279.75	DCR|4VULN|2DUR|2ASPD|2CDMG	1RMIN|28ASPD|35CDMG|4578VULN|58BPWR|68DUR|9LEGI|aRCR
12	52162 32112	1	 * 	279.43	DCR|5VULN|2DUR|2ASPD	17DUR|24LWND|3457aVULN|47BPWR|67ASPD|8CGEN|9RCR
