0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21353 13636	1	 * 	293.93	DCR|3VULN|3DMG|2CDMG|1TLV|1ASPD	18aDMG|2TLV|3aCDMG|4ASPD|5LIT|6RCR|79aVULN|aBPWR
2	15211 31325	4	 * 	293.20	DCR|5VULN|2DMG|2TLV	1348aVULN|2RPLT|4aBPWR|5LIT|6RCR|7aTLV|9aDMG
3	15261 31325	3	   	293.20	DCR|5VULN|2DMG|2TLV	1348aVULN|2RPLT|5LIT|6RCR|7aTLV|9aDMG|aBPWR
4	12154 51173	10	 * 	291.78	DCR|4VULN|3DMG|2DUR	156aVULN|2MBVNT|3RPLT|47aDMG|8RCR|9aDUR|aBPWR
5	15212 23422	10	 * 	284.89	DCR|5VULN|2DMG|2CDMG	1349aVULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR
6	21353 13336	1	   	284.82	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT|1ASPD	1aDMG|2TLV|3aCDMG|4ASPD|58LIT|6RCR|79aVULN|aBPWR
7	13563 23422	10	   	284.79	DCR|5VULN|2DMG|2CDMG	1359aVULN|2ERES|4RPLT|69DMG|79CDMG|8RCR|9BPWR
8	23313 13636	2	   	282.92	DCR|3VULN|3DMG|2CDMG|1TLV	18aDMG|2ZMB|3aCDMG|4TLV|5LIT|6RCR|79aVULN|aBPWR
9	15212 23423	10	   	281.60	DCR|4VULN|2DMG|2CDMG|1DUR	1349VULN|2RPLT|49BPWR|5MLV|69DMG|79CDMG|8RCR|aDUR
10	12135 31744	4	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	157aVULN|2MBVNT|3RPLT|4DUR|6aDMG|8RCR|9aCDMG|aBPWR
11	12135 31744	3	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	157aVULN|2MBVNT|3RPLT|4DUR|6aDMG|8RCR|9aCDMG|aBPWR
12	12315 31744	2	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	157aVULN|2MBVNT|3DUR|4RPLT|6aDMG|8RCR|9aCDMG|aBPWR
13	12326 31744	2	   	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	147aVULN|2MBVNT|3DUR|5RPLT|6aDMG|8RCR|9aCDMG|aBPWR
