0	Index      	 *	Score 	Summary	Detail	
1	31522 36162	 * 	290.37	DCR|3LIT|1FLTARM|1MLV|1VULN|1DMG	1LEGI|2DMG|379LIT|4MLV|5VULN|6FEWX|8RCR|aFLTARM
2	35513 24122	 * 	284.49	ACR|2LIT|4VULN|2MLV	1LEGI|2RCR|39LIT|49MLV|5BASHEA|6LWND|789aVULN|9BPWR
3	35513 11135	 * 	279.01	ACR|2LIT|2MLV|2VULN|2DMG	1LEGI|2RCR|3aLIT|4aMLV|5BASHEA|68DMG|7aVULN|9RPLT|aBPWR
4	31522 36163	 * 	278.82	DCR|3LIT|2VULN|1MLV|1DMG	1LEGI|2DMG|379LIT|4MLV|5aVULN|6FEWX|8RCR
5	11333 52131	   	275.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7DMG|8RCR|9LHND|aBPWR
6	11333 54321	   	275.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7BEXP|8RCR|9DMG|aBPWR
7	11333 55321	   	275.48	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7LWND|8RCR|9DMG|aBPWR
8	11333 53321	   	275.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7DUST|8RCR|9DMG|aBPWR
9	21333 52131	   	275.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7DMG|8RCR|9LHND|aBPWR
10	21333 54321	   	275.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7BEXP|8RCR|9DMG|aBPWR
11	21333 55321	   	275.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7LWND|8RCR|9DMG|aBPWR
12	11313 52121	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7DMG|8RCR|9BEXP|aBPWR
13	11313 52131	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7DMG|8RCR|9LHND|aBPWR
14	11313 54321	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7FEWX|8RCR|9DMG|aBPWR
15	11313 55321	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7LWND|8RCR|9DMG|aBPWR
16	11323 52131	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|2DUR|1ASPD	1TLV|2ASPD|3aLIT|4aDUR|5MLV|6aVULN|7DMG|8RCR|9LHND|aBPWR
17	21333 53321	   	275.28	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aFEWX|5MLV|6aVULN|7DUST|8RCR|9DMG|aBPWR
18	21313 52121	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7DMG|8RCR|9BEXP|aBPWR
19	21313 52131	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7DMG|8RCR|9LHND|aBPWR
20	21313 54321	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7FEWX|8RCR|9DMG|aBPWR
21	21313 55321	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ERES|2ASPD|3aLIT|4aDUST|5MLV|6aVULN|7LWND|8RCR|9DMG|aBPWR
22	21323 52131	   	275.18	DCR|2LIT|2VULN|1MLV|1DMG|2DUR|1ASPD	1ERES|2ASPD|3aLIT|4aDUR|5MLV|6aVULN|7DMG|8RCR|9LHND|aBPWR
23	31522 36152	 * 	270.41	DCR|3LIT|2DMG|1VULN|1MLV	1LEGI|2aDMG|37aLIT|4MLV|5VULN|6aFEWX|8RCR|9RPLT|aBPWR
