0	Index      	 *	Score 	Summary	Detail	
1	21154 11263	 * 	314.49	DCR|2LIT|2MLV|3VULN|1DMG	17MLV|267VULN|3DUST|49LIT|57ERES|7BPWR|8RCR|aDMG
2	21233 16631	 * 	306.53	DCR|4VULN|2MLV|1LIT|1DMG	16MLV|2346VULN|5RCVC|6BPWR|7DMG|8BEXP|9RCR|aLIT
3	21236 16631	   	306.53	DCR|4VULN|2MLV|1LIT|1DMG	16MLV|2346VULN|5DMSP|6BPWR|7DMG|8BEXP|9RCR|aLIT
4	21231 31263	   	302.16	DCR|4VULN|2MLV|1LIT|1CDMG	16MLV|234aVULN|5LWND|7RCR|8CDMG|9LIT
5	21234 31263	   	302.16	DCR|4VULN|2MLV|1LIT|1CDMG	16MLV|234aVULN|5LHND|7RCR|8CDMG|9LIT
6	21233 12414	 * 	299.07	DCR|5VULN|2MLV|1LIT	16MLV|23469VULN|5RCVC|6BPWR|7LHND|8LIT|aRCR
7	21233 13324	   	299.07	DCR|5VULN|2MLV|1LIT	16MLV|23467VULN|5RCVC|6BPWR|8LIT|9FEWX|aRCR
8	21233 15414	   	299.07	DCR|5VULN|2MLV|1LIT	16MLV|23469VULN|5RCVC|6BPWR|7FEWX|8LIT|aRCR
9	21236 12414	   	299.07	DCR|5VULN|2MLV|1LIT	16MLV|23469VULN|5DMSP|6BPWR|7LHND|8LIT|aRCR
10	21236 13324	   	299.07	DCR|5VULN|2MLV|1LIT	16MLV|23467VULN|5DMSP|6BPWR|8LIT|9FEWX|aRCR
11	21231 32414	   	298.92	DCR|5VULN|2MLV|1LIT	16MLV|23479VULN|5LWND|8LIT|aRCR
12	21234 32414	   	298.92	DCR|5VULN|2MLV|1LIT	16MLV|23479VULN|5LHND|8LIT|aRCR
13	21232 33414	   	293.35	DCR|5VULN|1LIT|1MLV|1DMG	1MLV|23479VULN|5CGEN|6DMG|8LIT|aRCR
14	23112 33434	 * 	291.53	DCR|2MLV|1LIT|2VULN|2DMG|1CDMG	18MLV|2AART|38DMG|4CDMG|57LHND|68VULN|8BPWR|9RCR|aLIT
15	21233 14631	   	290.03	DCR|4VULN|2MLV|1LIT|1ASPD	16MLV|2346VULN|5RCVC|6BPWR|7ASPD|8BEXP|9RCR|aLIT
16	21236 14631	   	290.03	DCR|4VULN|2MLV|1LIT|1ASPD	16MLV|2346VULN|5DMSP|6BPWR|7ASPD|8BEXP|9RCR|aLIT
17	51255 13232	 * 	289.96	DCR|4VULN|1LIT|2DMG|2ASPD	1aDMG|238aVULN|4LIT|5BLASTR|6RPLT|7aASPD|9RCR|aBPWR
18	21233 11446	   	287.33	DCR|4VULN|2MLV|1LIT|1ASPD	16MLV|2346VULN|5RCVC|6BPWR|7LIT|8ASPD|9FEWX|aRCR
19	21233 11466	   	287.18	DCR|4VULN|2MLV|1LIT|1ASPD	16MLV|2346VULN|5RCVC|6BPWR|7LIT|8ASPD|9DUR|aRCR
20	22254 11235	   	284.55	DCR|2LIT|2MLV|3VULN	17MLV|27BEXP|369VULN|4aLIT|57ERES|7BPWR|8RCR
