0	Index      	 *	Score 	Summary	Detail	
1	55322 12121	 * 	309.38	ACR|2LIT|4VULN|3DMG|2ASPD	179DMG|256aVULN|3RCR|49LIT|89ASPD|9BPWR
2	55322 12521	 * 	300.17	ACR|5VULN|2LIT|3DMG	179DMG|2569aVULN|3RCR|49LIT|8RMIN|9BPWR
3	51244 13322	 * 	298.43	DCR|2LIT|2VULN|3DMG|1MLV|1SELL	159DMG|29LIT|39VULN|4BELT|6RCR|7RCVC|8SELL|9BPWR|aMLV
4	51221 11164	 * 	297.42	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1DMG|25LIT|39aVULN|4MLV|6ASPD|7TLV|8RCR
5	51221 12164	   	297.32	DCR|2LIT|3VULN|1MLV|1DMG|1ASPD	1DMG|25LIT|39aVULN|4MLV|6ASPD|7NUKE|8RCR
6	51221 11162	 * 	295.03	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1DMG|25LIT|39VULN|4aMLV|6ASPD|7TLV|8RCR
7	51221 12166	   	294.88	DCR|2LIT|2MLV|2VULN|1DMG|1ASPD	1DMG|25LIT|39VULN|4aMLV|6ASPD|7NUKE|8RCR
8	51132 61162	   	291.84	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|23LIT|4ZMB|59VULN|6CGEN|7aMLV|8RCR
9	51221 21162	   	291.84	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|25LIT|39VULN|4aMLV|6ZMB|7TLV|8RCR
10	51221 23162	   	291.84	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|25LIT|39VULN|4aMLV|6ZMB|7CGEN|8RCR
11	51132 32166	   	290.71	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|23LIT|4ZMB|569VULN|7LWND|8RCR|aMLV
12	51221 21164	   	290.71	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|25LIT|39aVULN|4MLV|6ZMB|7TLV|8RCR
13	51221 23164	   	290.71	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|25LIT|39aVULN|4MLV|6ZMB|7CGEN|8RCR
14	51132 33166	   	290.61	DCR|2LIT|3VULN|1MLV|1DMG	1DMG|23LIT|4ZMB|569VULN|7DUR|8RCR|aMLV
15	55322 12122	   	290.22	ACR|2LIT|3VULN|3DMG|2ASPD	179DMG|256VULN|3RCR|49LIT|89ASPD|9BPWR|aRPLT
16	55322 12123	   	290.22	ACR|2LIT|3VULN|3DMG|2ASPD	179DMG|256VULN|3RCR|49LIT|89ASPD|9BPWR|aRCVC
17	55322 12124	   	290.22	ACR|2LIT|3VULN|3DMG|2ASPD	179DMG|256VULN|3RCR|49LIT|89ASPD|9BPWR|aBEXP
18	55322 12125	   	290.22	ACR|2LIT|3VULN|3DMG|2ASPD	179DMG|256VULN|3RCR|49LIT|89ASPD|9BPWR|aLHND
19	55323 12121	   	290.22	ACR|2LIT|3VULN|3DMG|2ASPD	179DMG|26aVULN|3RCR|49LIT|5RCVC|89ASPD|9BPWR
20	51244 13321	 * 	288.47	DCR|2LIT|3VULN|3DMG|1SELL	159DMG|29LIT|39aVULN|4BELT|6RCR|7RCVC|8SELL|9BPWR
21	55322 15322	   	287.45	ACR|2LIT|4VULN|2DMG|1NUKE|1SELL	19DMG|2569VULN|3RCR|49LIT|7BELT|8SELL|9BPWR|aNUKE
22	55323 12521	   	283.28	ACR|2LIT|4VULN|3DMG	179DMG|269aVULN|3RCR|49LIT|5RCVC|8RMIN|9BPWR
23	55322 12221	   	283.28	ACR|2LIT|4VULN|3DMG	179DMG|256aVULN|3RCR|49LIT|89TLV|9BPWR
24	55322 12522	   	283.28	ACR|2LIT|4VULN|3DMG	179DMG|2569VULN|3RCR|49LIT|8RMIN|9BPWR|aRPLT
25	55322 12523	   	283.28	ACR|2LIT|4VULN|3DMG	179DMG|2569VULN|3RCR|49LIT|8RMIN|9BPWR|aRCVC
26	55322 12421	   	283.08	ACR|2LIT|4VULN|3DMG	179DMG|256aVULN|3RCR|49LIT|89ERES|9BPWR
27	51132 11162	   	282.22	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|23LIT|4ZMB|59VULN|6ASPD|7TLV|8RCR|aMLV
28	51221 12163	   	282.12	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1DMG|25LIT|39VULN|4MLV|6ASPD|7NUKE|8RCR|aZMB
29	55234 12333	   	281.28	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|2aVULN|3ERES|47MLV|5aBLASTR|6LHND|8RCR|9aLIT|aBPWR
30	55233 62333	   	281.13	DCR|2LIT|2MLV|2VULN|1DMG	1DMG|2aVULN|3ERES|47MLV|5aDUST|6BASICY|8RCR|9aLIT|aBPWR
31	55322 12341	 * 	280.35	ACR|2LIT|3VULN|2DMG|1MLV	17DMG|256VULN|3RCR|48LIT|9MLV|aBEXP
32	55322 12343	   	280.35	ACR|2LIT|3VULN|2DMG|1MLV	17DMG|256VULN|3RCR|48LIT|9MLV|aFEWX
33	55322 12342	   	280.25	ACR|2LIT|3VULN|2DMG|1MLV	17DMG|256VULN|3RCR|48LIT|9MLV|aDUR
