0	Index      	 *	Score 	Summary	Detail	
1	53226 62331	 * 	300.16	DCR|3LIT|4VULN|1MLV	1FEWX|257aVULN|3MLV|469LIT|8RCR
2	31236 11345	 * 	298.19	DCR|3MLV|3VULN|1LIT|1DMG|2ZMB|1SELL	18ZMB|278MLV|3LIT|4SELL|5DMG|68aVULN|8BPWR|9RCR
3	53226 22335	   	296.52	DCR|2LIT|4VULN|1MLV|1ASPD	1FEWX|2567VULN|3MLV|49LIT|8RCR|aASPD
4	31222 65126	 * 	294.79	DCR|4VULN|2MLV|1LIT	1ZMB|24MLV|3LIT|5LWND|6RCR|789aVULN
5	53126 62131	 * 	288.13	DCR|3LIT|4VULN|1DMG	1FEWX|257aVULN|3DMG|469LIT|8RCR
6	23226 61125	   	286.79	DCR|2LIT|3VULN|1MLV|1AART	1DUR|259VULN|3MLV|46LIT|7ZMB|8RCR|aAART
7	33246 33225	   	286.79	DCR|4VULN|1LIT|1MLV|1AART	1ZMB|2BEXP|3459VULN|6RCR|7LIT|8MLV|aAART
8	53126 25131	 * 	283.67	DCR|2LIT|3VULN|1MLV|1DMG	1FEWX|256VULN|3DMG|4aLIT|7MLV|8RCR|9ERES
9	33226 25125	   	283.19	DCR|4VULN|1LIT|1MLV|1AART	1ZMB|2BEXP|3569VULN|4LIT|7MLV|8RCR|aAART
10	53226 21125	   	283.19	DCR|4VULN|1LIT|1MLV|1AART	1FEWX|2569VULN|3MLV|4LIT|7ZMB|8RCR|aAART
11	23226 21125	   	283.09	DCR|4VULN|1LIT|1MLV|1AART	1DUR|2569VULN|3MLV|4LIT|7ZMB|8RCR|aAART
12	53226 22333	   	282.87	DCR|2LIT|4VULN|1MLV	1FEWX|2567VULN|3MLV|49LIT|8RCR|aBEXP
13	53226 22334	   	282.87	DCR|2LIT|4VULN|1MLV	1FEWX|2567VULN|3MLV|49LIT|8RCR|aDMSP
14	53226 22361	   	282.87	DCR|2LIT|4VULN|1MLV	1FEWX|2567VULN|3MLV|4aLIT|8RCR|9BEXP
15	53226 22321	   	282.77	DCR|2LIT|4VULN|1MLV	1FEWX|2567VULN|3MLV|4aLIT|8RCR|9DUR
16	53226 22332	   	282.77	DCR|2LIT|4VULN|1MLV	1FEWX|2567VULN|3MLV|49LIT|8RCR|aERES
17	31222 65124	   	282.25	DCR|2MLV|3VULN|1LIT|1AART	1ZMB|24MLV|3LIT|5LWND|6RCR|789VULN|aAART
18	23126 61161	   	282.12	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG	1DUR|25VULN|3DMG|46LIT|7ZMB|8RCR|9CDMG|aMLV
19	23225 34125	   	281.65	DCR|2LIT|3VULN|1MLV|1AART	1DUR|289VULN|3MLV|46LIT|5RMIN|7RCR|aAART
20	53126 21161	   	281.48	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1FEWX|256VULN|3DMG|4LIT|7ZMB|8RCR|9CDMG|aMLV
21	23126 21161	   	281.38	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1DUR|256VULN|3DMG|4LIT|7ZMB|8RCR|9CDMG|aMLV
22	23244 32326	   	281.38	DCR|4VULN|2MLV|1LIT	1DUR|249aVULN|35MLV|6ERES|7RCR|8LIT
23	53226 62333	   	281.00	DCR|3LIT|3VULN|1MLV	1FEWX|257VULN|3MLV|469LIT|8RCR|aDMSP
24	53226 62321	   	280.90	DCR|3LIT|3VULN|1MLV	1FEWX|257VULN|3MLV|46aLIT|8RCR|9DUR
25	53226 62332	   	280.90	DCR|3LIT|3VULN|1MLV	1FEWX|257VULN|3MLV|469LIT|8RCR|aDUST
26	23144 62331	 * 	280.82	DCR|2LIT|2VULN|2DMG|1MLV	1DUR|24VULN|36DMG|5MLV|7RCR|8aLIT|9ERES
