0	Index      	 *	Score 	Summary	Detail	
1	35143 32321	 * 	307.57	DCR|3LIT|5VULN|2ASPD	137LIT|2ERES|46789VULN|57ASPD|7BPWR|aRCR
2	32222 35355	 * 	294.95	DCR|2LIT|2MLV|3VULN	1aLIT|2DUR|3RCVC|45aVULN|6ERES|7ZMB|8RCR|9aMLV|aBPWR
3	33143 21542	   	287.06	DCR|3LIT|3VULN|2ASPD|1CDMG	136LIT|27TLV|47aVULN|57ASPD|7BPWR|8CDMG|9RCR
4	35143 32522	   	286.96	DCR|3LIT|3VULN|2ASPD|1CDMG	137LIT|2ERES|467VULN|57ASPD|7BPWR|8CDMG|9RCR|aTLV
5	35143 32523	   	286.96	DCR|3LIT|3VULN|2ASPD|1CDMG	137LIT|2ERES|467VULN|57ASPD|7BPWR|8CDMG|9RCR|aLWND
6	35143 32521	   	286.86	DCR|3LIT|3VULN|2ASPD|1CDMG	137LIT|2ERES|467VULN|57ASPD|7BPWR|8CDMG|9RCR|aMBVNT
7	32221 53355	   	286.83	DCR|2LIT|2MLV|2VULN|1DMG|2DUR	1aLIT|28DUR|3RCVC|4aVULN|5CGEN|6RCR|7DMG|9aMLV|aBPWR
8	34131 32335	   	285.57	DCR|2LIT|3VULN|1MLV|2CDMG	16LIT|2FEWX|3RMIN|489VULN|56CDMG|6BPWR|7RCR|aMLV
9	36131 34386	   	283.67	DCR|2LIT|3VULN|1MLV|2CDMG	19LIT|2MBVNT|3RMIN|46aVULN|56CDMG|6BPWR|7MLV|8RCR
10	35143 13453	 * 	281.36	DCR|3LIT|2VULN|1MLV|2ASPD	137LIT|2ERES|47VULN|57ASPD|6MBVNT|7BPWR|8MLV|9BEXP|aRCR
11	35143 13413	   	281.26	DCR|3LIT|2VULN|1MLV|2ASPD	137LIT|2ERES|47VULN|57ASPD|6MBVNT|7BPWR|8MLV|9LEGI|aRCR
12	33634 32148	   	279.15	DCR|2LIT|2MLV|3VULN	17LIT|26TLV|3MBVNT|478VULN|57MLV|7BPWR|9DUR|aRCR
13	33634 32188	   	279.15	DCR|2LIT|2MLV|3VULN	17LIT|26TLV|3MBVNT|478VULN|57MLV|7BPWR|9DUST|aRCR
14	31631 11412	 * 	277.72	DCR|2LIT|2VULN|1MLV|3CDMG|1ASPD	17LIT|2RPLT|356CDMG|46VULN|6BPWR|8ASPD|9MLV|aRCR
