0	Index      	 *	Score 	Summary	Detail	
1	32424 34288	 * 	304.94	DCR|3LIT|2MLV|3VULN	19SNITOX|28MLV|3MBVNT|469LIT|579VULN|9BPWR|aRCR
2	15213 34242	 * 	301.65	DCR|3LIT|2VULN|2DMG|1MLV	124LIT|3MLV|57VULN|68DMG|9RCR|aZMB
3	15213 51351	   	295.06	DCR|3LIT|2MLV|2VULN|1CDMG	124LIT|3aMLV|58VULN|6TLV|7CDMG|9RCR
4	15113 51351	   	294.91	DCR|3LIT|2MLV|2VULN|1CDMG	124LIT|3ERES|58VULN|6aMLV|7CDMG|9RCR
5	15116 11351	   	294.91	DCR|3LIT|2MLV|2VULN|1CDMG	124LIT|3ERES|5aMLV|68VULN|7CDMG|9RCR
6	15213 61351	   	294.91	DCR|3LIT|2MLV|2VULN|1CDMG	124LIT|3aMLV|58VULN|6ERES|7CDMG|9RCR
7	15213 34241	   	294.71	DCR|3LIT|2VULN|2DMG|1MLV	124LIT|3MLV|57VULN|68DMG|9RCR|aDMSP
8	15213 34243	   	294.71	DCR|3LIT|2VULN|2DMG|1MLV	124LIT|3MLV|57VULN|68DMG|9RCR|aLWND
9	12544 28842	 * 	288.72	DCR|3LIT|2VULN|2DMG|2ASPD	18aLIT|2MBVNT|38DMG|4BASARM|57VULN|68ASPD|8BPWR|9RCR
10	12648 31613	   	285.47	DCR|2LIT|3VULN|1MLV|1DMG	13LIT|2MBVNT|4RMIN|5DMG|6MLV|7RCR|89aVULN
11	14213 32313	   	284.55	DCR|2LIT|2MLV|3VULN	15LIT|2DUST|36BEXP|45MLV|5BPWR|79aVULN|8RCR
12	14213 62313	   	284.40	DCR|2LIT|2MLV|3VULN	15LIT|26DUST|3BEXP|45MLV|5BPWR|79aVULN|8RCR
13	32115 43273	   	283.98	DCR|2LIT|2MLV|2VULN|1DMG	1SNITOX|2aMLV|3LHND|4DMG|5aLIT|6ERES|7RCR|8MBVNT|9aVULN|aBPWR
