0	Index      	 *	Score 	Summary	Detail	
1	46321 11336	 * 	285.67	DCR|2LIT|3VULN|1MLV|2CDMG	19CDMG|23LIT|4RPLT|59LHND|689VULN|7RCR|9BPWR|aMLV
2	12422 64222	 * 	281.80	DCR|2LIT|2FLTARM|2VULN|1CDMG	1aLHND|26LIT|3aFLTARM|4CGEN|5CDMG|7RCR|8aVULN|9RCVC|aBPWR
3	12422 64232	   	281.80	DCR|2LIT|2FLTARM|2VULN|1CDMG	1aLHND|26LIT|3aFLTARM|49CGEN|5CDMG|7RCR|8aVULN|aBPWR
4	32422 64222	   	281.80	DCR|2LIT|2FLTARM|2VULN|1CDMG	1aLWND|26LIT|3aFLTARM|4CGEN|5CDMG|7RCR|8aVULN|9RCVC|aBPWR
5	32422 64232	   	281.80	DCR|2LIT|2FLTARM|2VULN|1CDMG	1aLWND|26LIT|3aFLTARM|49CGEN|5CDMG|7RCR|8aVULN|aBPWR
6	53422 16211	 * 	281.56	DCR|3LIT|2VULN|1MLV|2ASPD	169LIT|2RPLT|38RMIN|4MLV|59VULN|79ASPD|9BPWR|aRCR
7	46322 11336	   	279.05	DCR|2LIT|3VULN|1MLV|1CDMG	1CDMG|23LIT|4RPLT|5DUST|689VULN|7RCR|aMLV
8	41123 23362	 * 	278.11	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG|1DUR	12CDMG|3MLV|4DUR|5FLTARM|6RCVC|7RCR|89VULN|aLIT
9	41123 33362	   	278.01	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG|2DUR	12CDMG|3MLV|46DUR|5FLTARM|7RCR|89VULN|aLIT
10	22233 24236	 * 	275.88	DCR|2LIT|2MLV|2VULN|1DMG	19ERES|2DMSP|36VULN|49MLV|5DMG|7DUST|89LIT|9BPWR|aRCR
11	43134 11126	 * 	274.93	DCR|3LIT|2VULN|1MLV|2CDMG|2SELL	19CDMG|29VULN|38SELL|4MLV|5LHND|679LIT|9BPWR|aRCR
12	43213 11126	 * 	274.93	DCR|3LIT|2VULN|1MLV|2CDMG|2SELL	19CDMG|29VULN|3MLV|4LWND|58SELL|679LIT|9BPWR|aRCR
13	41133 23362	   	274.26	DCR|1LIT|2VULN|1FLTARM|1MLV|2CDMG	12CDMG|3MLV|4LWND|5FLTARM|6RCVC|7RCR|89VULN|aLIT
14	43242 26111	 * 	273.12	ACR|2MLV|1LIT|2VULN|1FLTARM|2CDMG|1DMG	16CDMG|25VULN|39MLV|4RCR|7LIT|8FLTARM|aDMG
15	54115 31332	 * 	272.56	DCR|2LIT|3VULN|2DMG|1SELL	19LIT|289VULN|3SELL|4ZMB|5LHND|6RPLT|79DMG|9BPWR|aRCR
16	12611 34123	   	272.54	DCR|2LIT|3VULN|1MLV	1LHND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aZMB
17	32611 34123	   	272.54	DCR|2LIT|3VULN|1MLV	1LWND|25LIT|356VULN|4RMIN|5BPWR|7RCR|8RCVC|9MLV|aZMB
