0	Index      	 *	Score 	Summary	Detail	
1	55225 32224	 * 	303.40	DCR|2LIT|2MLV|3VULN|1ASPD	1aERES|28aVULN|3ASPD|4MBVNT|57LIT|6RCR|9aMLV|aBPWR
2	11152 65131	 * 	292.23	DCR|2LIT|4VULN|2DMG	1RPLT|2RCVC|348aVULN|5LHND|6RCR|7aDMG|9aLIT|aBPWR
3	11153 65131	   	292.23	DCR|2LIT|4VULN|2DMG	1RPLT|2RCVC|348aVULN|5FEWX|6RCR|7aDMG|9aLIT|aBPWR
4	42131 24232	 * 	291.93	DCR|3LIT|4VULN|3ZMB	18aZMB|2FEWX|389aVULN|4LWND|5LHND|6RCR|78aLIT|8aBPWR
5	41131 24232	   	291.83	DCR|3LIT|4VULN|3ZMB	18aZMB|2DUST|389aVULN|4LWND|5LHND|6RCR|78aLIT|8aBPWR
6	42151 24232	   	291.83	DCR|3LIT|4VULN|3ZMB	18aZMB|2FEWX|389aVULN|4DUST|5LHND|6RCR|78aLIT|8aBPWR
7	11112 65131	   	286.71	DCR|2LIT|3VULN|2DMG|1ASPD	1RPLT|2RCVC|38aVULN|4ASPD|5RMIN|6RCR|7aDMG|9aLIT|aBPWR
8	14112 65131	   	286.71	DCR|2LIT|3VULN|2DMG|1ASPD	12RPLT|38aVULN|4ASPD|5RMIN|6RCR|7aDMG|9aLIT|aBPWR
9	21364 23313	 * 	281.79	ACR|3LIT|2MLV|3VULN	1AART|2RCR|37aVULN|47MLV|567LIT|7BPWR|8DUST|9RCVC
10	33533 31131	   	280.08	DCR|2LIT|4VULN|1ASPD|1CDMG	1aBEXP|2FEWX|348aVULN|5CDMG|6ASPD|7RCR|9aLIT|aBPWR
11	61533 31131	   	280.08	DCR|2LIT|4VULN|1ASPD|1CDMG	1aFEWX|2BEXP|348aVULN|5CDMG|6ASPD|7RCR|9aLIT|aBPWR
12	41152 12241	   	279.50	DCR|2LIT|3VULN|2DMG|2ZMB	1aZMB|245DUST|356VULN|5aBPWR|7aDMG|8RCR|9aLIT
