0	Index      	 *	Score 	Summary	Detail	
1	21511 11543	 * 	368.22	2双倍秒伤3易伤2时间	168易伤2立即金币3头目4平台57时间9a双倍秒伤
2	23411 11543	   	368.12	2双倍秒伤3易伤2时间	168易伤2雷电3毒气减费4平台57时间9a双倍秒伤
3	23511 11543	   	368.12	2双倍秒伤3易伤2时间	168易伤2雷电3烈焰减费4平台57时间9a双倍秒伤
4	25133 33363	 * 	365.41	紫4易伤3伤害3时间1全技能	178a易伤2敌人爆炸3核4全技能57a伤害67a时间7a序列升级9技能
5	25133 33311	 * 	364.31	紫4易伤2伤害2时间1等级1全技能	1789易伤2敌人爆炸3核4全技能57伤害67时间7序列升级a等级
6	25134 33421	 * 	361.03	紫3易伤1双倍秒伤2时间1全技能	178易伤2敌人爆炸3核4全技能58火球减费68时间8序列升级9双倍秒伤a随机矿
7	25134 33422	   	361.03	紫3易伤1双倍秒伤2时间1全技能	178易伤2敌人爆炸3核4全技能58火球减费68时间8序列升级9双倍秒伤a立即金币
8	25134 33423	   	361.03	紫3易伤1双倍秒伤2时间1伤害1全技能	178易伤2敌人爆炸3核4全技能58火球减费68时间8序列升级9双倍秒伤a伤害
9	23334 34252	 * 	358.54	橙2易伤1双倍秒伤1暴击1时间	17易伤2雷电3最后敌人4随机矿5暴击6时间8核9激光对愈a双倍秒伤
10	23411 13543	   	355.67	2双倍秒伤3易伤1时间	168易伤2雷电3毒气减费47平台5时间9a双倍秒伤
11	23511 13543	   	355.67	2双倍秒伤3易伤1时间	168易伤2雷电3烈焰减费47平台5时间9a双倍秒伤
12	25133 33511	 * 	355.10	紫2易伤1双倍秒伤2伤害2时间1全技能	17易伤2敌人爆炸3核4全技能57伤害67时间7序列升级8机枪对壮9双倍秒伤a随机技能
13	25133 33512	   	355.10	紫2易伤1双倍秒伤2伤害2时间1全技能	17易伤2a敌人爆炸3核4全技能57伤害67时间7序列升级8机枪对壮9双倍秒伤
14	25133 33513	   	355.10	紫2易伤1双倍秒伤2伤害2时间1全技能	17易伤2敌人爆炸3核4全技能57伤害67时间7序列升级8机枪对壮9双倍秒伤a挖尘
15	25133 33515	   	355.10	紫2易伤1双倍秒伤2伤害2时间1全技能	17易伤2敌人爆炸3核4全技能57伤害67时间7序列升级8机枪对壮9双倍秒伤a金币生成
16	25133 33516	 * 	355.10	紫2易伤1双倍秒伤3时间2伤害1全技能	17易伤2敌人爆炸3核4全技能57伤害67a时间7序列升级8机枪对壮9双倍秒伤
17	22241 34163	 * 	351.83	2双倍秒伤2易伤1暴击2时间	16易伤2金币生成3挖尘47技能56时间6序列升级8暴击9a双倍秒伤
18	31134 53421	   	348.58	紫3易伤1双倍秒伤1时间1全技能	18敌人爆炸2时间3核4全技能578易伤68暴雪减费8序列升级9双倍秒伤a随机矿
19	31134 53422	   	348.58	紫3易伤1双倍秒伤1时间1全技能	18敌人爆炸2时间3核4全技能578易伤68暴雪减费8序列升级9双倍秒伤a立即金币
20	31134 53423	   	348.58	紫3易伤1双倍秒伤1伤害1时间1全技能	18敌人爆炸2时间3核4全技能578易伤68暴雪减费8序列升级9双倍秒伤a伤害
21	25112 11345	 * 	345.61	紫2双倍秒伤1易伤1暴击1时间	1易伤2敌人爆炸3核4低血量敌人5最后敌人6随机技能7时间8暴击9a双倍秒伤
22	25133 33163	 * 	342.14	紫3易伤3伤害1暴击2时间1全技能	17a易伤2敌人爆炸3核4全技能579伤害67时间7序列升级8暴击
23	24135 31153	 * 	340.99	3易伤1双倍秒伤2暴击1等级1时间	189易伤23掉矿48技能点5时间6等级78暴击8序列升级a双倍秒伤
