0	Index      	 *	Score 	Summary	Detail	
1	45333 11231	 * 	385.44	紫3易伤1双倍秒伤2伤害2时间	138易伤238低血量敌人38序列升级4基地爆炸5核69时间78伤害a双倍秒伤
2	22226 33166	 * 	381.40	紫3易伤1双倍秒伤1等级1伤害1时间	1伤害268易伤3额外掉落46低血量敌人5核6序列升级7时间9等级a双倍秒伤
3	21311 61261	 * 	381.35	橙2易伤1双倍秒伤2伤害2时间	18伤害23最后敌人48易伤58时间6加一7核8序列升级9烈焰减费a双倍秒伤
4	22321 61281	   	381.35	橙2易伤1双倍秒伤2伤害2时间	18伤害28易伤39最后敌人4火球减费58时间6加一7核8序列升级a双倍秒伤
5	22321 61261	   	381.25	橙2易伤1双倍秒伤2伤害2时间	18伤害28易伤3最后敌人4火球减费58时间6加一7核8序列升级9烈焰减费a双倍秒伤
6	22521 61261	   	381.25	橙2易伤1双倍秒伤2伤害2时间	18伤害28易伤3敌人爆炸4火球减费58时间6加一7核8序列升级9烈焰减费a双倍秒伤
7	22612 11451	 * 	378.61	橙2易伤1双倍秒伤1暴击1伤害1时间	1伤害24易伤3毒气减费5随机矿6暴击7时间8平台9核a双倍秒伤
8	22612 63361	 * 	377.31	橙2易伤1双倍秒伤1等级1伤害1时间	1伤害24易伤3毒气减费5随机矿6加一7等级8时间9核a双倍秒伤
9	45333 11221	   	372.98	紫3易伤1双倍秒伤2伤害1时间	138易伤238低血量敌人38序列升级49基地爆炸5核6时间78伤害a双倍秒伤
10	45333 11251	   	372.88	紫3易伤1双倍秒伤2伤害1时间	138易伤238低血量敌人38序列升级4基地爆炸5核6时间78伤害9烈焰减费a双倍秒伤
11	21162 14213	   	368.89	橙2易伤1双倍秒伤2伤害1时间	18伤害28最后敌人3挖尘4随机技能58易伤6赏金邻近7核8序列升级9时间a双倍秒伤
12	22161 14213	   	368.89	橙2易伤1双倍秒伤2伤害1时间	18伤害28易伤3挖尘4随机技能58低血量敌人6赏金邻近7核8序列升级9时间a双倍秒伤
13	26222 14263	   	368.89	橙2易伤1双倍秒伤2伤害1时间	18伤害28随机技能3基地爆炸4时间58易伤6赏金邻近7核8序列升级9挖尘a双倍秒伤
14	26262 14213	   	368.89	橙2易伤1双倍秒伤2伤害1时间	18伤害28随机技能3基地爆炸4挖尘58易伤6赏金邻近7核8序列升级9时间a双倍秒伤
15	23311 62661	   	368.79	橙2易伤1双倍秒伤2伤害1时间	17伤害2金币生成3策反48易伤5时间6加一9核a双倍秒伤
16	22613 22553	 * 	367.54	橙5易伤1伤害1时间	1伤害24568易伤3毒气减费7赏金塔9核a时间
17	22632 41253	 * 	366.29	橙3易伤2伤害1暴击2时间1全技能	1a伤害27a易伤3毒气减费4全技能5暴击6a时间8核9赏金邻近a序列升级
18	41362 51233	   	361.53	橙5易伤1时间1全技能	13589易伤235基地爆炸35序列升级4头目6全技能7核a时间
19	43362 51233	   	361.53	橙5易伤1时间1全技能	13589易伤235敌人爆炸35序列升级4头目6全技能7核a时间
20	41313 16141	   	361.13	紫3易伤1双倍秒伤1等级1时间	137易伤23基地爆炸3序列升级4雷电减费5核6时间8等级9技能点a双倍秒伤
21	41313 16341	   	361.13	紫3易伤1双倍秒伤1等级1时间	137易伤23基地爆炸3序列升级4雷电减费5核6时间8技能点9等级a双倍秒伤
22	45331 52312	   	358.74	橙2易伤1双倍秒伤1暴击1时间	13易伤23低血量敌人3序列升级4基地爆炸5敌人爆炸6暴击7时间8核9金币生成a双倍秒伤
23	45331 52322	   	358.74	橙2易伤1双倍秒伤1暴击1时间	13易伤23低血量敌人3序列升级4基地爆炸5敌人爆炸6暴击7时间8核9矿等a双倍秒伤
24	41311 52312	   	358.64	橙2易伤1双倍秒伤1暴击1时间	13易伤23基地爆炸3序列升级4雷电减费5敌人爆炸6暴击7时间8核9金币生成a双倍秒伤
25	41311 52343	   	358.64	橙2易伤1双倍秒伤1暴击1时间	13易伤23基地爆炸3序列升级4雷电减费5敌人爆炸6暴击7时间8核9随机技能a双倍秒伤
26	41311 52362	   	358.64	橙2易伤1双倍秒伤1暴击1时间	13易伤23基地爆炸3序列升级4雷电减费5敌人爆炸6暴击7时间8核9策反a双倍秒伤
27	45311 52312	   	358.64	橙2易伤1双倍秒伤1暴击1时间	13易伤23低血量敌人3序列升级4雷电减费5敌人爆炸6暴击7时间8核9金币生成a双倍秒伤
28	46131 22633	   	358.44	橙2易伤1双倍秒伤1暴击1时间	13易伤2赏金邻近3序列升级4攻速5时间6暴击7敌人爆炸8核9雷电a双倍秒伤
29	23151 41141	 * 	358.05	橙橙2易伤1双倍秒伤1等级1伤害1时间	1伤害2金币生成3等级4赏金塔5时间6双倍秒伤79核8a易伤
30	42153 12115	 * 	356.90	紫2易伤1双倍秒伤3等级2时间	17易伤278等级3挖尘4技能点5核67时间7序列升级9赏金塔a双倍秒伤
31	42153 12135	   	356.90	紫2易伤1双倍秒伤3等级2时间	17易伤278等级3挖尘4技能点5核67时间7序列升级9赏金邻近a双倍秒伤
32	43312 16362	 * 	355.67	2双倍秒伤3易伤1时间	136易伤23敌人爆炸3序列升级4雷电减费5随机技能7时间8赏金邻近9a双倍秒伤
