0	Index      	 *	Score 	Summary	Detail	
1	13215 52134	 * 	265.13	橙橙1易伤1等级1矿等1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a等级
2	31235 35334	 * 	260.65	橙橙2伤害1易伤2暴击	1基地爆炸25暴击345敌人爆炸5序列升级6易伤79核8a伤害
3	31423 35334	   	260.65	橙橙2伤害1易伤2暴击	135基地爆炸23暴击3序列升级4最后敌人6易伤79核8a伤害
4	31235 35331	   	256.71	橙橙1易伤1伤害2暴击1时间	1基地爆炸25暴击345敌人爆炸5序列升级6易伤79核8伤害a时间
5	31423 35331	   	256.71	橙橙1易伤1伤害2暴击1时间	135基地爆炸23暴击3序列升级4最后敌人6易伤79核8伤害a时间
6	31463 35331	   	256.71	橙橙1易伤1伤害2暴击1时间	135基地爆炸23暴击3序列升级4敌人爆炸6易伤79核8伤害a时间
7	41235 35331	   	256.61	橙橙1易伤1伤害2暴击1时间	1挖尘25暴击345敌人爆炸5序列升级6易伤79核8伤害a时间
8	23223 16155	 * 	256.04	橙橙1易伤1等级1伤害	1攻速2平台3最后敌人4激光对愈5易伤69核7等级8敌人爆炸a伤害
9	13215 52135	   	252.58	橙橙1易伤1矿等1技能1暴击	1烈焰减费2易伤3攻速4暴击5敌人爆炸6赏金塔79核8矿等a技能
10	52612 32284	 * 	248.15	橙橙2伤害1等级1暴击	1加一23伤害4暴击5立即金币6赏金塔79核8最后敌人a等级
11	52612 32484	   	248.15	橙橙2伤害1等级1暴击	1加一23伤害4暴击5立即金币6赏金塔79核8基地爆炸a等级
12	52445 63233	 * 	245.39	橙2易伤2伤害2等级1时间1全技能	1加一28伤害37等级48多重对愈58易伤6全技能8序列升级9核a时间
13	52446 15233	   	245.39	橙2易伤2伤害2等级1时间1全技能	1加一28伤害38等级4多重对愈5全技能6风暴减费78易伤8序列升级9核a时间
14	31613 14163	 * 	243.83	紫橙3伤害2时间1全技能1暴击	15a基地爆炸2暴击3a时间47核6全技能89a伤害a序列升级
15	13116 12612	   	243.49	橙橙1易伤1伤害1暴击	1烈焰减费2易伤3随机矿4暴击56低血量敌人7攻速89核a伤害
16	31235 35335	   	243.06	橙橙1易伤1伤害2暴击	1基地爆炸25暴击345敌人爆炸5序列升级6易伤79核8伤害a随机技能
17	31423 35335	   	243.06	橙橙1易伤1伤害2暴击	135基地爆炸23暴击3序列升级4最后敌人6易伤79核8伤害a随机技能
18	31235 35332	   	242.96	橙橙1易伤1伤害2暴击	1基地爆炸25暴击345敌人爆炸5序列升级6易伤79核8伤害a防空对愈
19	31235 35333	   	242.96	橙橙1易伤1伤害2暴击1挖怪	1基地爆炸25暴击345敌人爆炸5序列升级6易伤79核8伤害a挖怪
20	31423 35332	   	242.96	橙橙1易伤1伤害2暴击	135基地爆炸23暴击3序列升级4最后敌人6易伤79核8伤害a防空对愈
21	31423 35333	   	242.96	橙橙1易伤1伤害2暴击1挖怪	135基地爆炸23暴击3序列升级4最后敌人6易伤79核8伤害a挖怪
22	31463 35332	   	242.96	橙橙1易伤1伤害2暴击	135基地爆炸23暴击3序列升级4敌人爆炸6易伤79核8伤害a防空对愈
23	31463 35333	   	242.96	橙橙1易伤1伤害2暴击1挖怪	135基地爆炸23暴击3序列升级4敌人爆炸6易伤79核8伤害a挖怪
24	41235 35332	   	242.86	橙橙1易伤1伤害2暴击	1挖尘25暴击345敌人爆炸5序列升级6易伤79核8伤害a防空对愈
25	41235 35333	   	242.86	橙橙1易伤1伤害2暴击1挖怪	1挖尘25暴击345敌人爆炸5序列升级6易伤79核8伤害a挖怪
26	23321 15141	 * 	242.69	橙橙2易伤2攻速	14攻速2平台34易伤4序列升级5敌人爆炸6金币生成79核8雷电减费a基地爆炸
27	23321 15143	   	242.69	橙橙2易伤2攻速	14攻速2平台34易伤4序列升级5敌人爆炸6金币生成79核8雷电减费a低血量敌人
28	23321 15146	   	242.69	橙橙2易伤2攻速	14攻速2平台34易伤4序列升级5敌人爆炸6金币生成79核8雷电减费a额外掉落
29	23321 15142	   	242.59	橙橙2易伤2攻速	14攻速2平台34易伤4序列升级5敌人爆炸6金币生成79核8雷电减费a火球减费
30	23321 15144	   	242.59	橙橙2易伤2攻速	14攻速2平台34易伤4序列升级5敌人爆炸6金币生成79核8雷电减费a挖尘
31	23321 15145	   	242.59	橙橙2易伤2攻速	14攻速2平台34易伤4序列升级5敌人爆炸6金币生成79核8雷电减费a赏金塔
32	58414 22713	   	242.49	橙橙2易伤1暴击	1加一2暴击3a易伤4双倍秒伤5金币生成68核7平台9喷火对愈
33	58414 22743	   	242.49	橙橙2易伤1暴击	1加一2暴击3a易伤4双倍秒伤5金币生成68核7平台9毒液对冰
34	31651 14131	 * 	242.48	紫橙1易伤2时间1伤害1全技能1暴击	1基地爆炸2暴击34时间57核6全技能8伤害9策反a易伤
35	32216 18832	   	242.39	橙橙1易伤1等级1技能	1基地爆炸2赏金塔34掉矿5加一6易伤78核9等级a技能
36	24165 13212	 * 	240.89	橙橙2等级1伤害2攻速	1a攻速2伤害3随机技能49等级5掉矿6随机矿78核
37	31651 14123	 * 	239.63	紫橙3时间2伤害1全技能1暴击	1a基地爆炸2暴击34a时间57核6全技能8a伤害9立即金币a序列升级
