0	Index      	 *	Score 	Summary	Detail	
1	12436 22448	 * 	275.21	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1MBVNT|2LIT|3BOSS|46DUR|5VULN|79RCR|8TLV|aDMG
2	11241 24138	 * 	266.73	DCR|DCR|3MLV|1VULN|1DMG	1MBVNT|2AME|3DMG|4VULN|56aMLV|79RCR|8ASPD
3	11241 24137	   	257.63	DCR|DCR|1VULN|2MLV|1DMG	1MBVNT|2AME|3DMG|4VULN|56MLV|79RCR|8ASPD|aRAT
4	11241 24131	   	257.53	DCR|DCR|1VULN|2MLV|1DMG	1MBVNT|2AME|3DMG|4VULN|56MLV|79RCR|8ASPD|aAEWIND
5	11241 24132	   	257.53	DCR|DCR|1VULN|2MLV|1DMG|1MSE	1MBVNT|2AME|3DMG|4VULN|56MLV|79RCR|8ASPD|aMSE
6	11241 24133	   	257.53	DCR|DCR|1VULN|2MLV|1DMG	1MBVNT|2AME|3DMG|4VULN|56MLV|79RCR|8ASPD|aTBNT
7	11241 24134	   	257.53	DCR|DCR|1VULN|2MLV|1DMG	1MBVNT|2aAME|3DMG|4VULN|56MLV|79RCR|8ASPD
8	11241 24135	   	257.53	DCR|DCR|1VULN|2MLV|1DMG	1MBVNT|2AME|3DMG|4VULN|56MLV|79RCR|8ASPD|aVENFST
9	11241 74138	   	257.53	DCR|DCR|1VULN|2MLV|1DMG	1MBVNT|2AME|3DMG|4VULN|5aMLV|6AEWIND|79RCR|8ASPD
10	41313 63151	 * 	256.34	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1LIT|25VULN|3RCVC|4BBNT|6CDMG|7aRCR|8AAC|9DUR
11	11247 74133	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2AME|3DMG|4VULN|5AEPOI|6CGEN|79RCR|8ASPD|aTLV
12	11247 14133	   	255.74	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2AME|3DMG|4VULN|5AEPOI|6ERES|79RCR|8ASPD|aTLV
13	12436 22441	   	255.14	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2LIT|3BOSS|46DUR|5VULN|79RCR|8TLV|aBEXP
14	12436 22442	   	255.14	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2aLIT|3BOSS|46DUR|5VULN|79RCR|8TLV
15	12436 22444	   	255.14	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2LIT|3BOSS|46DUR|5VULN|79RCR|8TLV|aRCVC
16	12436 22446	   	255.14	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2LIT|3BOSS|46DUR|5VULN|79RCR|8TLV|aCGEN
17	12436 22443	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2LIT|3BOSS|46DUR|5VULN|79RCR|8TLV|aBBNT
18	12436 22447	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1MBVNT|2LIT|3BOSS|46DUR|5VULN|79RCR|8TLV|aERES
19	14218 84842	   	251.95	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VENICY|3VULN|4LIT|5DUR|6aRCR|7DMG|8MLV|9TBNT
20	14281 33466	 * 	250.87	ACR|DCR|3VULN|1DMG|1AART	1MBVNT|2VENICY|36aVULN|4BEXP|57RCR|8DMG|9AART
21	14241 33466	   	250.77	ACR|DCR|3VULN|1DMG|1AART	1MBVNT|2VENICY|36aVULN|4DUST|57RCR|8DMG|9AART
22	14281 33726	 * 	249.97	ACR|DCR|4VULN|1AART	1MBVNT|2VENICY|368aVULN|4BEXP|57RCR|9AART
23	14212 88382	   	249.43	DCR|DCR|2VULN|1AART	1MBVNT|2VENICY|3aVULN|4LIT|5DUST|69RCR|7AART|8ASPD
24	12436 21748	   	249.00	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2LIT|3BOSS|46DUR|5VULN|7RMIN|89RCR|aDMG
25	52123 35215	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2DLOT|3VULN|4DUST|5TLV|6DMG|7BELT|8aRCR|9RCVC
26	52123 35235	   	248.80	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2DLOT|3VULN|49DUST|5TLV|6DMG|7BELT|8aRCR
27	11641 24138	   	246.67	DCR|DCR|3MLV|1VULN|1AAC	1MBVNT|2AME|3AAC|4VULN|56aMLV|79RCR|8ASPD
28	14281 33722	   	246.41	ACR|DCR|3VULN|1MLV|1AART	1MBVNT|2VENICY|368VULN|4BEXP|57RCR|9AART|aMLV
29	14281 33465	 * 	246.32	ACR|DCR|2VULN|2DMG|1AART	1MBVNT|2VENICY|36VULN|4BEXP|57RCR|8aDMG|9AART
30	14241 33465	   	246.22	ACR|DCR|2VULN|2DMG|1AART	1MBVNT|2VENICY|36VULN|4DUST|57RCR|8aDMG|9AART
31	12136 32448	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1MBVNT|2LIT|3MLV|4DUR|5BOSS|6AME|79RCR|8TLV|aDMG
32	11241 74137	   	245.24	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2AME|3DMG|4VULN|5MLV|6AEWIND|79RCR|8ASPD|aRAT
33	11247 74138	   	245.24	DCR|DCR|1VULN|1DMG|1MLV	1MBVNT|2AME|3DMG|4VULN|5AEPOI|6CGEN|79RCR|8ASPD|aMLV
