0	Index      	 *	Score 	Summary	Detail	
1	22225 42352	 * 	285.52	DCR|DCR|3VULN|1DUR|1AAC|1CDMG	1DUR|29aVULN|3AAC|4LIT|5ASPD|67RCR|8CDMG
2	16225 42123	 * 	278.18	DCR|DCR|3VULN|1DMG	1DUST|2DMG|39aVULN|4LIT|5ASPD|67RCR|8RMIN
3	16225 42223	   	278.08	DCR|DCR|3VULN|1DMG	1DUST|2DMG|39aVULN|4LIT|5ASPD|67RCR|8AME
4	32225 42352	   	271.87	DCR|DCR|3VULN|1CDMG|1AAC	1LHND|29aVULN|3AAC|4LIT|5ASPD|67RCR|8CDMG
5	22225 42353	   	269.99	DCR|DCR|2VULN|1DUR|2ASPD|1AAC|1CDMG	1DUR|29VULN|3AAC|4LIT|5aASPD|67RCR|8CDMG
6	23234 12343	   	269.69	DCR|DCR|2VULN|1DMG|1DUR	1DUR|2RPLT|3DMG|4ASPD|56VULN|7aRCR|8BOSS|9MBVNT
7	22116 53161	 * 	267.64	DCR|3VULN|3DUR|2DMG|1TLV	189DUR|258VULN|3DUST|4RAT|6RCR|78DMG|8BPWR|aTLV
8	22225 42362	 * 	263.38	DCR|DCR|2VULN|2AAC|1DUR|1CDMG	1DUR|2aVULN|39AAC|4LIT|5ASPD|67RCR|8CDMG
9	22225 42512	 * 	263.38	DCR|DCR|1VULN|1TLV|1DUR|1AAC|1CDMG	1DUR|2VULN|3AAC|4LIT|5ASPD|67RCR|8BELT|9TLV|aCDMG
10	22225 42312	   	263.28	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1DUR|2aVULN|3AAC|4LIT|5ASPD|67RCR|8CDMG|9AEPOI
11	22225 42342	   	263.28	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1DUR|2aVULN|3AAC|4LIT|5ASPD|67RCR|8CDMG|9AEFBLL
12	22225 42351	   	263.28	DCR|DCR|2VULN|1DUR|1AAC|1CDMG	1DUR|29VULN|3AAC|4LIT|5ASPD|67RCR|8CDMG|aMDPS
13	22242 42343	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUR|25VULN|3AAC|4RPLT|6DMG|7aRCR|8BOSS|9MBVNT
14	23264 12343	   	262.75	DCR|DCR|2VULN|1DMG|1DUR|1AAC	1DUR|2RPLT|3DMG|46VULN|5AAC|7aRCR|8BOSS|9MBVNT
15	16225 42133	   	262.65	DCR|DCR|2VULN|1DMG|2ASPD	1DUST|2DMG|3aVULN|4LIT|59ASPD|67RCR|8RMIN
16	23262 42343	   	262.65	DCR|DCR|2VULN|1DMG|1DUR|1NUKE	1DUR|2RPLT|3DMG|45VULN|6NUKE|7aRCR|8BOSS|9MBVNT
17	16225 42233	   	262.55	DCR|DCR|2VULN|1DMG|2ASPD	1DUST|2DMG|3aVULN|4LIT|59ASPD|67RCR|8AME
18	22225 42511	 * 	262.18	DCR|DCR|1VULN|2AAC|1TLV|1DUR	1DUR|2VULN|3aAAC|4LIT|5ASPD|67RCR|8BELT|9TLV
19	51313 16323	 * 	259.24	DCR|DCR|2TLV|1VULN|1DMG	1RPLT|2BBNT|3VULN|4DUST|58TLV|69RCR|7ERES|aDMG
20	11355 42123	   	258.12	DCR|DCR|3VULN	1DUST|2LIT|3ZMB|49aVULN|5ASPD|67RCR|8RMIN
21	11355 42223	   	258.02	DCR|DCR|3VULN	1DUST|2LIT|3ZMB|49aVULN|5ASPD|67RCR|8AME
22	32225 42353	   	256.34	DCR|DCR|2VULN|2ASPD|1CDMG|1AAC	1LHND|29VULN|3AAC|4LIT|5aASPD|67RCR|8CDMG
23	33234 12343	   	256.04	DCR|DCR|2VULN|1DMG	1LHND|2RPLT|3DMG|4ASPD|56VULN|7aRCR|8BOSS|9MBVNT
24	13234 12343	   	255.94	DCR|DCR|2VULN|1DMG	1DUST|2RPLT|3DMG|4ASPD|56VULN|7aRCR|8BOSS|9MBVNT
25	16225 42121	   	255.94	DCR|DCR|2VULN|1DMG	1DUST|2DMG|39VULN|4LIT|5ASPD|67RCR|8RMIN|aSNITOX
26	16225 42122	   	255.94	DCR|DCR|2VULN|1DMG	1aDUST|2DMG|39VULN|4LIT|5ASPD|67RCR|8RMIN
27	16225 42221	   	255.94	DCR|DCR|2VULN|1DMG	1DUST|2DMG|39VULN|4LIT|5ASPD|67RCR|8AME|aFRZARM
28	63111 26521	   	255.84	DCR|DCR|2VULN|1DMG	14ERES|2ASPD|35VULN|69RCR|7DMG|8BEXP|aMDPS
29	63111 26522	   	255.84	DCR|DCR|2VULN|1DMG	14ERES|2ASPD|35VULN|69RCR|7DMG|8BEXP|aAEPOI
30	63111 26523	   	255.84	DCR|DCR|2VULN|1DMG	14ERES|2ASPD|35VULN|69RCR|7DMG|8BEXP|aAEFBLL
31	63114 26121	   	255.84	DCR|DCR|2VULN|1DMG	14ERES|2ASPD|38VULN|5BEXP|69RCR|7DMG|aMDPS
32	63114 26122	   	255.84	DCR|DCR|2VULN|1DMG	14ERES|2ASPD|38VULN|5BEXP|69RCR|7DMG|aAEPOI
33	63114 26123	   	255.84	DCR|DCR|2VULN|1DMG	14ERES|2ASPD|38VULN|5BEXP|69RCR|7DMG|aAEFBLL
34	16225 42222	   	255.84	DCR|DCR|2VULN|1DMG	1aDUST|2DMG|39VULN|4LIT|5ASPD|67RCR|8AME
