0	Index      	 *	Score 	Summary	Detail	
1	51531 21254	 * 	284.79	DCR|DCR|3VULN|1DMG|1DUR	1DMG|2MBVNT|38aVULN|4BBNT|5DUR|6RAT|79RCR
2	51531 21253	   	278.26	DCR|DCR|2VULN|1DMG|1MLV|1DUR	1DMG|2MBVNT|38VULN|4BBNT|5DUR|6RAT|79RCR|aMLV
3	53262 54322	   	271.24	DCR|DCR|3VULN|1DMG	1DMG|235VULN|458FEWX|5BPWR|6MBVNT|7aRCR|9MDPS
4	53262 54342	   	271.24	DCR|DCR|3VULN|1DMG	1DMG|235VULN|458FEWX|5BPWR|6MBVNT|7aRCR|9BBNT
5	51335 21254	   	271.14	DCR|DCR|3VULN|1DMG	1DMG|2MBVNT|3FEWX|4BBNT|58aVULN|6RAT|79RCR
6	35324 21242	 * 	265.28	DCR|DCR|2VULN|2TLV	1SPLARM|2aVULN|3AME|4AEPOI|5aAEBURN|68RCR|7DUST|9aTLV|aBPWR
7	51335 21253	   	264.61	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2MBVNT|3FEWX|4BBNT|58VULN|6RAT|79RCR|aMLV
8	61253 32334	   	262.85	DCR|DCR|2VULN|1DMG|1CDMG	1BEXP|2DMG|3RPLT|49VULN|5CDMG|6aRCR|7RMIN|8LIT
9	51531 21251	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1DMG|2MBVNT|38VULN|4BBNT|5DUR|6RAT|79RCR|aLWND
10	51223 21741	 * 	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7TLV|89RCR|aRCVC
11	51223 21743	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7TLV|89RCR|aRMIN
12	51223 21744	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7TLV|89RCR|aCGEN
13	51223 21746	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7TLV|89RCR|aBEXP
14	51223 26744	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7RMIN|89RCR|aTLV
15	51531 21252	   	262.55	DCR|DCR|2VULN|1DMG|1DUR	1DMG|2MBVNT|38VULN|4BBNT|5DUR|6RAT|79RCR|aDUST
16	51223 21742	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7TLV|89RCR|aAEWIND
17	51223 21745	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1DMG|2MBVNT|3ZMB|4VULN|5TBNT|6CDMG|7TLV|89RCR|aAEPOI
18	51513 21741	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|2MBVNT|3VULN|4NUKE|5TBNT|6CDMG|7TLV|89RCR|aRCVC
19	51513 21743	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|2MBVNT|3VULN|4NUKE|5TBNT|6CDMG|7TLV|89RCR|aRMIN
20	51513 21744	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|2MBVNT|3VULN|4NUKE|5TBNT|6CDMG|7TLV|89RCR|aCGEN
21	51513 21742	   	262.45	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1NUKE	1DMG|2MBVNT|3VULN|4NUKE|5TBNT|6CDMG|7TLV|89RCR|aAEWIND
