0	Index      	 *	Score 	Summary	Detail	
1	23441 32351	 * 	264.61	DCR|DCR|1VULN|1TLV|2AAC|1DMG|1MLV	16AAC|2TLV|3TBNT|4MLV|5DMG|7aRCR|8AETHUN|9VULN
2	12141 23614	 * 	263.08	DCR|DCR|2VULN|1DUR|1CDMG	1TBNT|2DUR|35VULN|4CDMG|6ASPD|7MDPS|8SPLREG|9aRCR
3	23362 11142	 * 	255.34	DCR|DCR|2VULN|1TLV|2AAC	13AAC|2TLV|45VULN|6aCGEN|79RCR|8VENTOX
4	23362 11144	   	255.34	DCR|DCR|2VULN|1TLV|2AAC	13AAC|2TLV|45VULN|6CGEN|79RCR|8VENTOX|aLWND
5	23362 11146	   	255.34	DCR|DCR|2VULN|2AAC|1TLV	13AAC|2TLV|45VULN|6CGEN|79RCR|8VENTOX|aRCVC
6	23362 11141	   	255.24	DCR|DCR|2VULN|1TLV|2AAC	13AAC|2TLV|45VULN|6CGEN|79RCR|8VENTOX|aAME
7	23362 11143	   	255.24	DCR|DCR|2VULN|1TLV|2AAC	13AAC|2TLV|45VULN|6CGEN|79RCR|8VENTOX|aCANSTR
8	23362 11145	   	255.24	DCR|DCR|2VULN|1TLV|2AAC|1MSE	13AAC|2TLV|45VULN|6CGEN|79RCR|8VENTOX|aMSE
9	35141 33142	   	255.24	DCR|DCR|2VULN|1TLV	1AEPOI|25RAT|3RCVC|45VULN|5BPWR|6TLV|79RCR|8AIRBOS|aLWND
10	35141 33143	   	255.24	DCR|DCR|2VULN|1TLV	1AEPOI|25RAT|3RCVC|45VULN|5BPWR|6TLV|79RCR|8AIRBOS|aFEWX
11	35141 33141	   	255.14	DCR|DCR|2VULN|1TLV	1AEPOI|25RAT|3RCVC|45VULN|5BPWR|6TLV|79RCR|8AIRBOS|aAEBURN
12	35142 33142	   	255.14	DCR|DCR|2VULN|1TLV	1AEPOI|2RAT|3RCVC|45VULN|6TLV|79RCR|8AIRBOS|aLWND
13	35142 33143	   	255.14	DCR|DCR|2VULN|1TLV	1AEPOI|2RAT|3RCVC|45VULN|6TLV|79RCR|8AIRBOS|aFEWX
14	35142 33141	   	255.04	DCR|DCR|2VULN|1TLV	1AEPOI|2RAT|3RCVC|45VULN|6TLV|79RCR|8AIRBOS|aAEBURN
15	11311 16121	 * 	254.04	DCR|DCR|2DMG|1VULN|1DUR|1AAC	1TBNT|2AAC|3ERES|4CGEN|58DMG|6VULN|7aRCR|9DUR
16	11311 56151	   	254.04	DCR|DCR|2DMG|1VULN|1DUR|1AAC	1TBNT|2AAC|3ERES|4CGEN|58DMG|6DUR|7aRCR|9VULN
17	12143 23614	 * 	249.33	DCR|DCR|1VULN|2DUR|1CDMG	1TBNT|25DUR|3VULN|4CDMG|6ASPD|7MDPS|8SPLREG|9aRCR
18	11221 32451	   	249.10	DCR|DCR|1VULN|1TLV|2AAC|1DMG	1TBNT|26AAC|3CGEN|4TLV|5DMG|7aRCR|8FEWX|9VULN
19	23411 32451	   	249.10	DCR|DCR|1VULN|1TLV|2AAC|1DMG	16AAC|2TLV|3TBNT|4CGEN|5DMG|7aRCR|8FEWX|9VULN
20	23442 62121	 * 	248.93	DCR|DCR|2TLV|2MLV|1DUR|1AAC	1AAC|25TLV|3TBNT|45MLV|5BPWR|6ZMB|7aRCR|8BEXP|9DUR
21	23442 62321	   	248.83	DCR|DCR|2TLV|2MLV|1DUR|1AAC	1AAC|25TLV|3TBNT|45MLV|5BPWR|6ZMB|7aRCR|8AETHUN|9DUR
22	23422 32121	 * 	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR|1AAC	1AAC|2TLV|3TBNT|4aRCR|58DMG|6CGEN|7VULN|9DUR
23	23441 32121	   	246.27	DCR|DCR|1TLV|2AAC|1DMG|1MLV|1DUR	16AAC|2TLV|3TBNT|4MLV|5DMG|7aRCR|8BEXP|9DUR
24	23441 32421	   	246.27	DCR|DCR|1TLV|2AAC|1DMG|1MLV|1DUR	16AAC|2TLV|3TBNT|4MLV|5DMG|7aRCR|8FEWX|9DUR
25	23441 32321	   	246.17	DCR|DCR|1TLV|2AAC|1DMG|1MLV|1DUR	16AAC|2TLV|3TBNT|4MLV|5DMG|7aRCR|8AETHUN|9DUR
26	21363 63322	 * 	245.56	DCR|2VULN|2MLV|2DUR|2AAC|1DMG|1AART|1CDMG	13AAC|27MLV|47VULN|57DUR|6AART|7BPWR|8CDMG|9RCR|aDMG
27	21562 63322	   	245.56	DCR|2VULN|2MLV|2DUR|2AAC|1DMG|1AART|1CDMG	14AAC|27MLV|37DUR|57VULN|6AART|7BPWR|8CDMG|9RCR|aDMG
