0	Index      	 *	Score 	Summary	Detail	
1	43221 23344	 * 	271.45	DCR|DCR|1VULN|2DUR|1DMG|1MLV	1ASPD|2BBNT|3DMG|45DUR|6AME|7aRCR|8VULN|9MLV
2	43223 23344	   	258.99	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1ASPD|2BBNT|3DMG|4DUR|5DMSP|6AME|7aRCR|8VULN|9MLV
3	43222 23344	   	258.89	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1ASPD|2BBNT|3DMG|4DUR|5AEPOI|6AME|7aRCR|8VULN|9MLV
4	24331 13653	 * 	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1RCVC|2BEXP|3FEWX|4TLV|5VULN|6MLV|7DUST|8aRCR|9DUR
5	13531 21511	 * 	256.04	DCR|DCR|2VULN|1DUR|1CDMG	1TSLARM|2CANSTR|37VULN|4DUR|5TBNT|6MDPS|8CDMG|9aRCR
6	52221 16353	 * 	255.04	DCR|DCR|1VULN|2DUR|1TLV	1BBNT|2BEXP|3TLV|46DUR|5ERES|7aRCR|8VULN|9CGEN
7	52222 16353	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1BBNT|2BEXP|3TLV|46DUR|5AME|7aRCR|8VULN|9CGEN
8	31516 13343	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	1ERES|2CGEN|3BEXP|4VULN|5TBNT|69DUR|7TLV|8aRCR
9	24331 55333	 * 	254.98	DCR|DCR|2TLV|1VULN|1MLV	1RCVC|2BEXP|3FEWX|48TLV|5VULN|6aRCR|7MDPS|9MLV
10	23315 56232	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1RCVC|2ERES|3RAT|4MLV|5TLV|67RCR|8LEGI|9LWND|aVULN
11	33315 56232	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1ERES|2AEBURN|3RAT|4MLV|5TLV|67RCR|8LEGI|9LWND|aVULN
12	21342 53363	   	242.89	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|34FEWX|4BPWR|5CGEN|6aRCR|7DUR|89LHND
13	21342 53413	   	242.89	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|34FEWX|4BPWR|58CGEN|6aRCR|7DUR|9LWND
14	21312 53363	   	242.79	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5CGEN|6aRCR|7DUR|89LHND
15	21312 53413	   	242.79	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|58CGEN|6aRCR|7DUR|9LWND
16	21312 54433	   	242.79	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|58CGEN|6aRCR|7BEXP|9DUR
17	21312 56533	   	242.79	DCR|DCR|2VULN|1DUR	17RCVC|24VULN|3FEWX|5CGEN|6aRCR|8BEXP|9DUR
18	21342 53243	   	242.79	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|34FEWX|4BPWR|5CGEN|6aRCR|7DUR|8AME|9RMIN
19	21342 53613	   	242.79	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|34FEWX|4BPWR|5CGEN|6aRCR|7DUR|8AEPOI|9LWND
20	21312 53243	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5CGEN|6aRCR|7DUR|8AME|9RMIN
21	21312 53613	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5CGEN|6aRCR|7DUR|8AEPOI|9LWND
22	21312 54633	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5CGEN|6aRCR|7BEXP|8AEPOI|9DUR
23	21313 46253	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5BBNT|6DUR|7aRCR|8LWND|9CGEN
24	21334 36353	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|25VULN|3FEWX|4LHND|6BBNT|7aRCR|8DUR|9CGEN
25	21342 51533	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|34FEWX|4BPWR|5CGEN|6aRCR|7AME|8ERES|9DUR
26	21342 53253	   	242.69	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|34FEWX|4BPWR|5CGEN|6aRCR|7DUR|8AME|9ERES
27	21312 51533	   	242.59	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5CGEN|6aRCR|7AME|8ERES|9DUR
28	21312 53253	   	242.59	DCR|DCR|2VULN|1DUR	1RCVC|24VULN|3FEWX|5CGEN|6aRCR|7DUR|8AME|9ERES
29	21323 42653	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2VULN|3FEWX|4MDPS|5RMIN|6AEWIND|7TLV|8aRCR|9DUR
30	21323 52653	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1RCVC|2VULN|3FEWX|4MDPS|5RMIN|6AEFRZ|7TLV|8aRCR|9DUR
31	23224 34316	 * 	241.54	DCR|DCR|2DMG|1TLV|1AAC	1RCVC|2ERES|38DMG|4LHND|5AAC|6ASPD|7aRCR|9TLV
