0	Index      	 *	Score 	Summary	Detail	
1	31333 23432	 * 	264.61	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2ERES|35VULN|4RAT|69RCR|7BBNT|8LWND|aMLV
2	23131 62221	 * 	263.53	ACR|DCR|3VULN|1TLV|1DMG	17RCR|2BASICY|3LIT|4TLV|589VULN|6LHND|aDMG
3	31333 23435	   	260.01	DCR|DCR|2VULN|1DMG|1NUKE	1DMG|2ERES|35VULN|4RAT|69RCR|7BBNT|8LWND|aNUKE
4	23132 64362	 * 	259.08	ACR|DCR|2VULN|2DMG|1TLV	16RCR|2BASICY|3aLIT|4TLV|5AEFRZ|7aDMG|8LHND|9aVULN|aBPWR
5	23131 62262	   	257.11	ACR|DCR|3VULN|1TLV|1DUR	17RCR|2BASICY|3LIT|4TLV|58aVULN|6LHND|9DUR
6	31333 23433	   	255.94	DCR|DCR|2VULN|1DMG	1DMG|2ERES|35VULN|4RAT|69RCR|7BBNT|8LWND|aASPD
7	23131 62215	   	255.04	ACR|DCR|2VULN|1TLV|1DMG|1CDMG	17RCR|2BASICY|3LIT|4TLV|58VULN|6LHND|9CDMG|aDMG
8	23132 63221	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	16RCR|2BASICY|3LIT|4TLV|5AEFRZ|7DUR|89VULN|aDMG
9	23132 64263	   	254.94	ACR|DCR|2VULN|1TLV|1DMG|1DUR	16RCR|2BASICY|3LIT|4TLV|5AEFRZ|7DMG|89VULN|aDUR
10	24421 62221	   	252.93	ACR|DCR|3VULN|1DMG|1MLV	17RCR|2MLV|3LSRICY|4BOSS|589VULN|6LHND|aDMG
11	23132 64212	 * 	251.62	ACR|DCR|2VULN|2TLV|1DMG	16RCR|2aBASICY|3LIT|4aTLV|5AEFRZ|7DMG|8aVULN|9LEGI|aBPWR
12	23132 64262	   	251.62	ACR|DCR|2VULN|2TLV|1DMG	16RCR|2BASICY|3LIT|4aTLV|5AEFRZ|7DMG|89VULN
13	36532 31411	 * 	251.40	DCR|2VULN|3DMG|2MLV|1TLV	189DMG|2AEFRZ|39VULN|4BBNT|5TLV|6LIT|79MLV|9BPWR|aRCR
14	31333 23431	   	248.90	DCR|DCR|2VULN|1DMG	1DMG|2ERES|35VULN|4RAT|69RCR|7BBNT|8LWND|aDUST
15	31333 23436	   	248.90	DCR|DCR|2VULN|1DMG	1DMG|2ERES|35VULN|4RAT|69RCR|7BBNT|8LWND|aMDPS
16	31334 63511	 * 	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ERES|3VULN|4RAT|5LIT|69RCR|7TLV|8LEGI|aSPLARM
17	31334 63512	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1MSE	1DMG|2ERES|3VULN|4RAT|5LIT|69RCR|7TLV|8LEGI|aMSE
18	31334 63513	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2ERES|3VULN|4RAT|5LIT|69RCR|7TLV|8LEGI|aBBNT
19	23132 63223	   	248.52	ACR|DCR|2VULN|1TLV|1DUR|1AART	16RCR|2BASICY|3LIT|4TLV|5AEFRZ|7DUR|89VULN|aAART
20	23131 62263	 * 	247.43	ACR|DCR|2VULN|2DUR|1TLV	17RCR|2BASICY|3LIT|4TLV|58VULN|6LHND|9aDUR
21	25246 21233	 * 	246.64	ACR|DCR|2VULN|2MSLTOX|1DUR	17RCR|2BELT|3LWND|48MSLTOX|56VULN|9DUR|aASPD
