0	Index      	 *	Score 	Summary	Detail	
1	22353 51152	 * 	221.45	橙5易伤2伤害1全技能2攻速	1359a易伤2全技能35序列升级45伤害68攻速7核
2	22353 51162	 * 	212.90	橙3易伤2全技能2伤害2攻速	135易伤2a全技能35序列升级45伤害68攻速7核9时间
3	22353 51134	 * 	210.07	橙3易伤3伤害1全技能2攻速	135易伤2全技能35序列升级45a伤害68攻速7核9防空对直升
4	22353 51132	   	208.52	橙4易伤2伤害1全技能2攻速	135a易伤2全技能35序列升级45伤害68攻速7核9防空对直升
5	22353 51151	   	208.52	橙4易伤2伤害1全技能2攻速	1359易伤2全技能35序列升级45伤害68攻速7核a基础对愈
6	22353 51153	   	208.52	橙4易伤2伤害1全技能2攻速	1359易伤2全技能35序列升级45伤害68攻速7核a掉矿
7	22353 51632	   	208.40	橙3易伤2伤害1全技能1暴击	135易伤2全技能35序列升级45伤害6攻速7核8加农对直升9暴击a时间
8	22353 51143	   	208.17	橙3易伤2伤害1全技能2攻速1暴击	135易伤2全技能35序列升级45伤害68攻速7核9雷电a暴击
9	22353 51135	   	205.87	橙3易伤2全技能2伤害2攻速	135易伤2a全技能35序列升级45伤害68攻速7核9防空对直升
10	22353 51352	 * 	203.63	橙3易伤3全技能2伤害	135易伤29a全技能35序列升级45伤害6攻速7核8基地爆炸
11	22353 51341	   	203.56	橙3易伤3伤害1全技能	135易伤2全技能35序列升级459伤害6攻速7核8基地爆炸a敌人爆炸
12	22353 51342	   	203.56	橙3易伤3伤害1全技能	135易伤2全技能35序列升级459伤害6攻速7核8基地爆炸a雷电
13	22353 51315	   	203.46	橙3易伤3伤害1全技能	135易伤2全技能35序列升级45a伤害6攻速7核8基地爆炸9挖青
14	22353 51343	   	203.46	橙3易伤3伤害1全技能	135易伤2全技能35序列升级459伤害6攻速7核8基地爆炸a挖尘
15	22353 43523	   	203.18	橙4易伤2伤害1全技能1策反2卖塔	135a易伤2全技能35序列升级45伤害67卖塔8核9策反
16	22353 51251	   	202.01	橙4易伤2伤害1全技能	135a易伤2全技能35序列升级45伤害6攻速7核8雷电9额外掉落
17	22353 51622	   	201.91	橙4易伤2伤害1全技能	135a易伤2全技能35序列升级45伤害6攻速7核8加农对直升9基地爆炸
18	22353 51161	   	201.46	橙3易伤2伤害1全技能2攻速	135易伤2全技能35序列升级45伤害68攻速7核9时间a平台
