0	Index      	 *	Score 	Summary	Detail	
1	15211 51213	 * 	218.55	紫4易伤3伤害1全技能1策反	19a狙击对直升289a易伤3策反4全技能5核6敌人爆炸79a伤害9a序列升级
2	15211 51612	   	218.09	紫3易伤3伤害1全技能1暴击1策反	189狙击对直升289易伤3策反4全技能5核6敌人爆炸789伤害89序列升级a暴击
3	15211 51613	   	204.44	紫3易伤3伤害1全技能1策反	189狙击对直升289易伤3策反4全技能5核6敌人爆炸789伤害89序列升级a低血量敌人
4	15211 31366	 * 	192.54	紫3易伤2伤害1全技能2策反	1狙击对直升268易伤36策反4全技能5核6序列升级7a伤害9随机矿
5	15411 31413	   	189.92	紫3伤害2易伤1全技能2时间	169狙击对直升26易伤3随机矿4全技能5核69序列升级79a伤害89时间
6	15211 31213	 * 	189.26	紫4易伤1全技能1伤害2策反	19a狙击对直升269a易伤36策反4全技能5核69a序列升级7伤害89a敌人爆炸
7	15211 31313	   	189.16	紫4易伤1全技能1伤害2策反	1a狙击对直升268a易伤36策反4全技能5核6a序列升级7伤害9a敌人爆炸
8	15211 31612	   	189.16	紫4易伤1全技能1伤害2策反	19狙击对直升269a易伤36策反4全技能5核69序列升级7伤害89基地爆炸
9	15211 31334	   	189.06	紫4易伤1全技能1伤害2策反	1狙击对直升268a易伤36策反4全技能5核6序列升级7伤害9金币生成
10	15211 31342	   	189.06	紫4易伤1全技能1伤害2策反	1狙击对直升268a易伤36策反4全技能5核6序列升级7伤害9基地爆炸
11	15211 31364	   	189.06	紫4易伤1全技能1伤害2策反	1狙击对直升268a易伤36策反4全技能5核6序列升级7伤害9随机矿
12	15211 51211	   	188.69	紫3易伤2伤害1全技能1策反	19狙击对直升289易伤3策反4全技能5核6敌人爆炸79伤害9序列升级a基地爆炸
13	15211 51212	   	188.69	紫3易伤2伤害1全技能1策反	19狙击对直升289易伤3策反4全技能5核6a敌人爆炸79伤害9序列升级
14	15211 51253	   	188.69	紫3易伤2伤害1全技能1策反	1a狙击对直升28a易伤3策反4全技能5核69敌人爆炸7a伤害a序列升级
15	15211 51215	   	188.59	紫3易伤2伤害1全技能1策反	19狙击对直升289易伤3策反4全技能5核6敌人爆炸79伤害9序列升级a挖尘
