0	Index      	 *	Score 	Summary	Detail	
1	52553 12123	 * 	211.28	紫3易伤3伤害1全技能2时间	18a易伤2立即金币3最后敌人4核5全技能68时间789伤害8序列升级
2	56513 32122	 * 	204.26	橙3易伤3伤害1全技能1时间	128易伤3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a时间
3	56513 32121	   	197.32	橙3易伤3伤害1全技能	128易伤3最后敌人48a敌人爆炸5全技能6核789伤害8序列升级
4	56513 32123	   	197.32	橙3易伤3伤害1全技能	128易伤3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a低血量敌人
5	52553 12121	   	195.62	紫3伤害2易伤1全技能2时间	18易伤2立即金币3最后敌人4核5全技能68时间789伤害8序列升级a敌人爆炸
6	52553 12122	   	195.52	紫3伤害2易伤1全技能2时间	18易伤2立即金币3最后敌人4核5全技能68时间789伤害8序列升级a挖青
7	56513 32131	   	195.32	橙3易伤2伤害1全技能1暴击	128易伤3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9低血量敌人a暴击
8	56513 32111	   	195.22	橙3易伤2伤害1全技能1暴击	128易伤3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9挖尘a暴击
9	56523 32121	   	195.12	橙3易伤2伤害1全技能1暴击	128易伤3最后敌人48挖尘5全技能6核78伤害8序列升级9低血量敌人a暴击
10	56523 32131	   	195.12	橙3易伤2伤害1全技能1暴击	128易伤3最后敌人48挖尘5全技能6核78伤害8序列升级9敌人爆炸a暴击
11	56523 32112	   	195.02	橙3易伤2伤害1全技能1暴击	128易伤3最后敌人489挖尘5全技能6核78伤害8序列升级a暴击
12	52553 12131	   	193.62	紫2易伤2伤害1全技能1暴击2时间	18易伤2立即金币3最后敌人4核5全技能68时间78伤害8序列升级9低血量敌人a暴击
13	52553 12111	   	193.52	紫2易伤2伤害1全技能1暴击2时间	18易伤2立即金币3最后敌人4核5全技能68时间78伤害8序列升级9挖尘a暴击
14	52513 32122	   	192.31	橙3伤害2易伤1全技能1时间	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a时间
15	52523 32152	 * 	191.97	橙2全技能2伤害2易伤1策反	18易伤2立即金币3最后敌人48挖尘5a全技能6核78伤害8序列升级9策反
16	53261 31241	 * 	189.94	紫4易伤2伤害1全技能1卖塔	134a易伤2卖塔5核6随机矿7全技能8a伤害9a金币生成a序列升级
17	52351 42123	   	189.73	紫3伤害2易伤1全技能1攻速	18易伤2立即金币3低血量敌人4核58最后敌人6全技能789伤害8序列升级a攻速
18	54261 21223	 * 	189.71	紫3易伤2全技能1伤害2暴击	134易伤2a暴击5核6金币生成79全技能8伤害
19	56321 42131	   	187.42	橙3易伤2伤害1全技能1暴击	128易伤38低血量敌人4挖尘5最后敌人6全技能78伤害8序列升级9核a暴击
20	54262 31231	   	187.07	橙3易伤1全技能1伤害1暴击1策反1时间	134易伤2暴击5时间6随机矿7全技能8伤害9核a策反
21	52513 32121	   	185.37	橙3伤害2易伤1全技能	18易伤2立即金币3最后敌人48a敌人爆炸5全技能6核789伤害8序列升级
22	52513 32123	   	185.37	橙3伤害2易伤1全技能	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a低血量敌人
23	52513 32125	   	185.37	橙3伤害2易伤1全技能	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a金币生成
24	52513 32126	   	185.37	橙3伤害2易伤1全技能	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a随机矿
25	52513 32124	   	185.27	橙3伤害2易伤1全技能	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核789伤害8序列升级a掉矿
26	52513 32161	   	185.27	橙3易伤2伤害1全技能	18a易伤2立即金币3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9加农对直升
27	54261 21221	   	183.40	紫3易伤2全技能1伤害1暴击	134易伤2暴击5核6金币生成79全技能8伤害a雷电
28	52513 32131	   	183.37	橙2易伤2伤害1全技能1暴击	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9低血量敌人a暴击
29	52513 32142	   	183.37	橙2易伤2伤害1全技能1暴击	18易伤2立即金币3最后敌人489敌人爆炸5全技能6核78伤害8序列升级a暴击
30	54261 21222	   	183.30	紫3易伤2全技能1伤害1暴击	134易伤2暴击5核6金币生成79全技能8伤害a激光对愈
31	52513 32111	   	183.27	橙2易伤2伤害1全技能1暴击	18易伤2立即金币3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9挖尘a暴击
32	52523 32121	   	183.17	橙2易伤2伤害1全技能1暴击	18易伤2立即金币3最后敌人48挖尘5全技能6核78伤害8序列升级9低血量敌人a暴击
33	52523 32131	   	183.17	橙2易伤2伤害1全技能1暴击	18易伤2立即金币3最后敌人48挖尘5全技能6核78伤害8序列升级9敌人爆炸a暴击
34	53261 21223	   	183.15	紫3易伤2全技能1伤害1暴击1卖塔	134易伤2卖塔5核6金币生成79全技能8伤害a暴击
35	52132 35342	 * 	183.12	橙4易伤1全技能1伤害1时间	1379易伤2立即金币3序列升级4时间5挖尘6全技能8核a伤害
36	52523 32112	   	183.07	橙2易伤2伤害1全技能1暴击	18易伤2立即金币3最后敌人489挖尘5全技能6核78伤害8序列升级a暴击
37	54261 21211	   	182.95	紫3易伤1全技能1伤害1暴击1策反	134易伤2暴击5核6金币生成7全技能8伤害9低血量敌人a策反
38	54261 31211	   	182.95	紫3易伤1全技能1伤害1暴击1策反	134易伤2暴击5核6随机矿7全技能8伤害9低血量敌人a策反
39	52351 42121	   	182.79	紫3伤害2易伤1全技能	18易伤2立即金币3低血量敌人4核58最后敌人6全技能789伤害8序列升级a敌人爆炸
40	52351 42122	   	182.79	紫3伤害2易伤1全技能	18易伤2立即金币3低血量敌人4核58最后敌人6全技能789伤害8序列升级a双倍矿
41	52513 12126	   	182.71	橙3伤害2易伤1全技能1时间	18易伤2立即金币38最后敌人4敌人爆炸5全技能6时间789伤害8序列升级a核
42	52331 42126	   	182.11	橙3伤害2易伤1全技能1时间	18易伤2立即金币38低血量敌人4时间5最后敌人6全技能789伤害8序列升级a核
43	56513 32133	   	181.67	橙3易伤2伤害1全技能	128易伤3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9a低血量敌人
44	56513 32132	   	181.57	橙3易伤2伤害1全技能	128易伤3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9低血量敌人a挖尘
45	51541 33312	 * 	181.53	橙3伤害2易伤2暴击1策反	16易伤2额外掉落3策反49暴击567伤害6序列升级8核a平台
46	56513 32112	   	181.47	橙3易伤2伤害1全技能	128易伤3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9a挖尘
47	56513 32113	   	181.47	橙3易伤2伤害1全技能	128易伤3最后敌人48敌人爆炸5全技能6核78伤害8序列升级9挖尘a加一
48	51541 33311	   	181.43	橙3伤害2易伤2暴击1策反	16易伤2额外掉落3策反49暴击567伤害6序列升级8核a挖尘
49	51541 33313	   	181.43	橙3伤害2易伤2暴击1策反	16易伤2额外掉落3策反49暴击567伤害6序列升级8核a加一
50	56523 32113	   	181.37	橙3易伤2伤害1全技能	128易伤3最后敌人489挖尘5全技能6核78伤害8序列升级a随机矿
51	56523 32122	   	181.37	橙3易伤2伤害1全技能	128易伤3最后敌人48a挖尘5全技能6核78伤害8序列升级9低血量敌人
52	56523 32123	   	181.37	橙3易伤2伤害1全技能	128易伤3最后敌人48挖尘5全技能6核78伤害8序列升级9低血量敌人a加一
53	56523 32132	   	181.37	橙3易伤2伤害1全技能	128易伤3最后敌人48a挖尘5全技能6核78伤害8序列升级9敌人爆炸
54	56523 32133	   	181.37	橙3易伤2伤害1全技能	128易伤3最后敌人48挖尘5全技能6核78伤害8序列升级9敌人爆炸a加一
