0	Index      	 *	Score 	Summary	Detail	
1	61613 42111	 * 	307.76	橙3易伤2等级3伤害	145伤害2挖青39a易伤6核7a等级8a敌人爆炸a序列升级
2	32212 78212	 * 	303.00	橙橙1等级1易伤2伤害1毒气减费	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a毒气减费
3	36212 78212	   	303.00	橙橙1等级1易伤2伤害1毒气减费	1矿等24基础对冰34伤害4序列升级5加一6等级7易伤89核a毒气减费
4	61613 42321	 * 	296.72	橙3等级2易伤3伤害	145伤害2挖青3a易伤6核78a等级9a低血量敌人a序列升级
5	61623 11124	   	292.63	橙2等级2易伤3伤害	15a伤害2挖青3a易伤4时间6额外掉落7挖尘8a等级9核a序列升级
6	61613 42211	   	292.36	橙3易伤2等级3伤害2挖怪	145伤害2挖青39a易伤6核7a等级8a挖怪a序列升级
7	32212 78218	   	289.88	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a随机技能
8	11635 22251	 * 	289.12	3易伤2等级3伤害3攻速1火球减费	189攻速2挖青38a易伤4火球减费5a等级6平台78a伤害8a序列升级
9	65332 16111	 * 	283.17	紫2易伤1等级3伤害3暴击	17a伤害2a雷电37低血量敌人4核567暴击7a序列升级8等级9a易伤
10	63613 42111	   	282.97	橙2等级2易伤3伤害	145伤害2a挖尘39易伤6核7a等级8a敌人爆炸a序列升级
11	32212 78213	   	282.94	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a立即金币
12	32212 78214	   	282.94	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a金币生成
13	32212 78215	   	282.94	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a雷电
14	32212 78216	   	282.94	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a基地爆炸
15	36212 78213	   	282.94	橙橙1等级1易伤2伤害	1矿等24基础对冰34伤害4序列升级5加一6等级7易伤89核a立即金币
16	36212 78214	   	282.94	橙橙1等级1易伤2伤害	1矿等24基础对冰34伤害4序列升级5加一6等级7易伤89核a金币生成
17	61613 42113	   	282.87	橙2等级2易伤3伤害	145伤害2挖青39易伤6核7a等级8敌人爆炸
18	63613 42113	   	282.87	橙2等级2易伤3伤害	145伤害2挖尘39易伤6核7a等级8敌人爆炸
19	32212 78211	   	282.84	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a掉矿
20	32212 78217	   	282.84	橙橙1等级1易伤2伤害	1矿等24毒液对冰34伤害4序列升级5加一6等级7易伤89核a风暴减费
21	36212 78211	   	282.84	橙橙1等级1易伤2伤害	1矿等24基础对冰34伤害4序列升级5加一6等级7易伤89核a掉矿
22	14212 78212	   	279.10	橙橙1等级1易伤1毒气减费1攻速	1攻速2技能点3立即金币4电塔对直升5加一6等级7易伤89核a毒气减费
23	16212 78212	   	279.10	橙橙1等级1易伤1毒气减费1攻速	1攻速2矿等3立即金币4电塔对直升5加一6等级7易伤89核a毒气减费
24	31112 78212	   	279.10	橙橙1等级1易伤1毒气减费1攻速	1矿等2双倍矿3攻速4电塔对直升5加一6等级7易伤89核a毒气减费
25	31162 78212	   	279.00	橙橙1等级1易伤1毒气减费1攻速	1矿等2双倍矿3攻速4散射对绿5加一6等级7易伤89核a毒气减费
