0	Index      	 *	Score 	Summary	Detail	
1	14134 53112	 * 	250.09	橙3易伤1散射对甲2伤害1全技能2暴击	17暴击26伤害37低血量敌人478易伤5全技能7序列升级9核a散射对甲
2	14134 63112	   	234.53	橙3易伤1散射对甲1全技能2暴击1伤害	17暴击2伤害37低血量敌人478易伤5全技能6立即金币7序列升级9核a散射对甲
3	14234 23112	   	234.33	橙3易伤1散射对甲1全技能2暴击1伤害	17暴击2伤害37挖尘478易伤5全技能6立即金币7序列升级9核a散射对甲
4	14134 43112	   	232.50	橙3易伤1散射对甲1全技能2暴击1伤害	17暴击2伤害37低血量敌人478易伤5全技能6双倍矿7序列升级9核a散射对甲
5	14134 53312	   	232.25	橙1散射对甲2易伤2伤害1全技能2暴击	17暴击26伤害37低血量敌人47易伤5全技能7序列升级8电球减费9核a散射对甲
6	14432 23611	 * 	231.73	橙2易伤2伤害1全技能2暴击1攻速	19暴击24伤害349矿等49序列升级5立即金币6核7全技能89易伤a攻速
7	14322 23615	   	231.63	橙2易伤2伤害1全技能2暴击1攻速	19暴击29伤害3电球减费4矿等5立即金币6核7全技能89易伤9序列升级a攻速
8	14432 23613	 * 	230.49	橙2易伤1双倍秒伤2伤害1全技能2暴击	19暴击24伤害349矿等49序列升级5立即金币6核7全技能89易伤a双倍秒伤
9	14432 23612	   	229.50	橙3易伤2伤害1全技能2暴击	19暴击24伤害349矿等49序列升级5立即金币6核7全技能89a易伤
10	53332 21311	 * 	224.02	橙2易伤2伤害2攻速1全技能1时间	1雷电2a攻速3低血量敌人4最后敌人5全技能6a伤害7时间8核9a易伤a序列升级
11	53335 52311	   	224.02	橙2易伤2伤害2攻速1全技能1时间	1雷电2a攻速3低血量敌人4最后敌人5a伤害6时间7全技能8核9a易伤a序列升级
12	14134 53111	   	220.94	橙3易伤2伤害1全技能2暴击	17暴击26伤害37低血量敌人478易伤5全技能7序列升级9核a基地爆炸
13	14134 53113	   	220.94	橙3易伤2伤害2暴击1全技能	17暴击26伤害37低血量敌人478易伤5全技能7序列升级9核a雷电
