0	Index      	Bounty	 *	Score 	Summary	Detail	
1	24135 32161	7	 * 	274.26	DCR|5VULN|3ASPD|1DUR	17LHND|24567VULN|37aASPD|7BPWR|8RCR|9DUR
2	14643 84444	4	 * 	268.05	DCR|4VULN|3DUR|1TLV	149ZMB|249aVULN|3MBVNT|49aBPWR|5TLV|6RCR|7aERES|89aDUR
3	14644 84444	5	   	268.05	DCR|4VULN|3DUR|1TLV	149ZMB|249aVULN|3MBVNT|49aBPWR|5TLV|6RCR|7aERES|89aDUR
4	34233 23441	1	 * 	266.95	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	17ERES|237DUR|49VULN|5TLV|67DMG|7BPWR|8RCR|aASPD
5	21124 14223	1	   	266.76	DCR|4VULN|3DUR|2LIT	19aLHND|249DUR|3ERES|5aLIT|689aVULN|7RCR|9aBPWR
6	24135 31313	9	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1LHND|2456VULN|3ASPD|79DUR|8TLV|aRCR
7	21324 14123	1	 * 	265.47	DCR|3VULN|3DUR|3LIT|1TLV	19aLHND|249DUR|3TLV|58aLIT|69aVULN|7RCR|9aBPWR
8	24135 32122	7	   	264.74	DCR|5VULN|2ASPD|1DUR	17LHND|24567VULN|37ASPD|7BPWR|8RCR|9ZMB|aDUR
9	24135 32142	7	   	264.74	DCR|5VULN|2ASPD|1DUR	17LHND|24567VULN|37ASPD|7BPWR|8RCR|9MLV|aDUR
10	24135 32162	7	   	264.74	DCR|5VULN|2ASPD|1DUR	17LHND|24567VULN|37ASPD|7BPWR|8RCR|9DUR|aRPLT
11	24135 32163	7	   	264.74	DCR|5VULN|2ASPD|1DUR	17LHND|24567VULN|37ASPD|7BPWR|8RCR|9DUR|aBEXP
12	24135 32431	9	   	264.74	DCR|5VULN|2ASPD|1DUR	17LHND|24567VULN|37ASPD|7BPWR|8DUR|9RPLT|aRCR
13	62533 53123	8	 * 	263.72	DCR|4VULN|2TLV|1DMG|1DUR	1DUST|2DUR|3DMG|45TLV|6789VULN|aRCR
14	23232 33211	5	   	262.80	DCR|4VULN|3DUR|1ASPD	17LHND|2RPLT|3ASPD|467DUR|5789VULN|7BPWR|aRCR
15	23233 33211	4	   	262.80	DCR|4VULN|3DUR|1ASPD	17LHND|2RPLT|3ASPD|467DUR|5789VULN|7BPWR|aRCR
16	14646 32121	4	 * 	262.72	DCR|4VULN|3TLV|1DMG|2LIT	149ZMB|249aVULN|3MBVNT|49aBPWR|5DMG|6aLIT|79aTLV|8RCR
17	24525 32113	8	 * 	261.64	DCR|4VULN|2DMG|1DUR	147LHND|2567VULN|37DMG|7BPWR|8MLV|9DUR|aRCR
18	24335 53213	7	   	261.34	DCR|4VULN|2DMG|1DUR	1LHND|2458VULN|3ERES|67DMG|9DUR|aRCR
19	34235 53213	7	   	261.34	DCR|4VULN|2DMG|1DUR	1ERES|2458VULN|3LHND|67DMG|9DUR|aRCR
20	24135 31363	9	   	261.25	DCR|4VULN|2ASPD|1TLV|1DUR	1LHND|2456VULN|39ASPD|7DUR|8TLV|aRCR
21	24135 63323	7	   	261.25	DCR|4VULN|2ASPD|1TLV|1DUR	1LHND|2459VULN|37ASPD|6TLV|8DUR|aRCR
22	32252 16152	3	 * 	260.69	DCR|5VULN|1DMG|1CDMG	156ERES|2MLV|3CDMG|45689VULN|56BPWR|7DMG|aRCR
23	21334 14323	1	   	260.46	DCR|3VULN|3DUR|1TLV|2LIT	149aLHND|289DUR|3TLV|5aLIT|69aVULN|7RCR|9aBPWR
24	21324 14125	1	   	260.26	DCR|3VULN|3DUR|1TLV|2LIT	19LHND|249DUR|3TLV|58LIT|69aVULN|7RCR|9BPWR
25	24235 31123	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	13LHND|2569VULN|4TLV|7DUR|8DMG|aRCR
26	54135 31123	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1CGEN|2569VULN|3RMIN|4TLV|7DUR|8DMG|aRCR
27	21124 14225	1	   	260.01	DCR|4VULN|3DUR	19LHND|249DUR|3ERES|5LIT|689aVULN|7RCR|9BPWR
28	23243 14221	1	   	260.01	DCR|4VULN|3DUR	19LHND|2689VULN|3LIT|4ERES|59aDUR|7RCR|9BPWR
29	24243 14221	2	   	260.01	DCR|4VULN|3DUR	19LHND|2689VULN|3LIT|4ERES|59aDUR|7RCR|9BPWR
30	62521 32325	9	 * 	258.68	DCR|3VULN|3DUR|1DMG|1AART	1aDUST|26aDUR|3DMG|4LWND|5AART|7RCR|89aVULN|aBPWR
31	54235 31113	9	 * 	258.44	DCR|4VULN|2DUR|1DMG	1CGEN|2456VULN|3LHND|79DUR|8DMG|aRCR
32	54335 31113	9	   	258.34	DCR|4VULN|2DUR|1DMG	1CGEN|2456VULN|3DUST|79DUR|8DMG|aRCR
33	64331 23423	3	   	258.34	DCR|4VULN|2DUR|1DMG	1DUST|2459VULN|38DUR|6DMG|7MLV|aRCR
34	24135 32114	7	   	258.15	DCR|5VULN|2ASPD|1AART	17LHND|24567VULN|37ASPD|7BPWR|8RCR|9LWND|aAART
35	24135 32134	7	   	258.05	DCR|5VULN|2ASPD|1AART	17LHND|24567VULN|37ASPD|7BPWR|8RCR|9DUST|aAART
36	24135 32111	7	   	258.01	DCR|5VULN|3ASPD	17LHND|24567VULN|37aASPD|7BPWR|8RCR|9LWND
37	24135 32131	7	   	257.91	DCR|5VULN|3ASPD	17LHND|24567VULN|37aASPD|7BPWR|8RCR|9DUST
38	64331 12423	3	 * 	257.81	DCR|5VULN|2DUR	1DUST|24569VULN|38DUR|7BEXP|aRCR
39	64331 13423	3	   	257.81	DCR|5VULN|2DUR	1DUST|24569VULN|38DUR|7LWND|aRCR
40	14224 12214	2	   	257.68	DCR|4VULN|2DUR|1ASPD	1ZMB|267aVULN|34DUR|5LIT|8RCR|9ASPD
41	34614 21724	8	   	257.33	DCR|3VULN|3DUR|1DMG	189ERES|289VULN|3MBVNT|4DMG|5LWND|6RCR|789DUR|89BPWR|aLIT
42	61124 14222	1	   	257.23	DCR|3VULN|3DUR|1DMG	19DUST|249DUR|3ERES|5LIT|689VULN|7RCR|9BPWR|aDMG
43	62124 14222	2	   	257.23	DCR|3VULN|3DUR|1DMG	19DUST|249DUR|3ERES|5LIT|689VULN|7RCR|9BPWR|aDMG
44	14235 32163	7	   	257.18	DCR|5VULN|1DUR|1CDMG	17ZMB|24567VULN|37LHND|7BPWR|8RCR|9DUR|aCDMG
45	24135 32632	8	   	256.80	DCR|5VULN|2ASPD	17LHND|24567VULN|37ASPD|7BPWR|8LIT|9BEXP|aRCR
46	24135 32622	8	   	256.70	DCR|5VULN|2ASPD	17LHND|24567VULN|37ASPD|7BPWR|8LIT|9DUST|aRCR
47	54233 23422	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	17CGEN|237DUR|4aVULN|5TLV|67DMG|7BPWR|8RCR|9RPLT
48	34233 23422	1	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	17ERES|237DUR|4aVULN|5TLV|67DMG|7BPWR|8RCR|9RPLT
49	34233 23442	1	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	17ERES|237DUR|49VULN|5TLV|67DMG|7BPWR|8RCR|aMLV
50	34233 23443	1	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	17ERES|237DUR|49VULN|5TLV|67DMG|7BPWR|8RCR|aCGEN
51	62533 53113	9	 * 	255.66	DCR|3VULN|2DUR|2TLV|1DMG	1DUST|29DUR|3DMG|45TLV|678VULN|aRCR
52	62533 53223	8	   	255.66	DCR|3VULN|2DUR|2TLV|1DMG	1DUST|28DUR|3DMG|45TLV|679VULN|aRCR
53	15123 51316	9	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	18ZMB|2CGEN|38DMG|4TLV|5LWND|678VULN|8BPWR|9DUR|aRCR
54	24513 15323	4	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	17LHND|269VULN|34DMG|5TLV|8DUR|aRCR
55	33433 51316	9	   	255.05	DCR|3VULN|2DMG|1DUR|1TLV	18ERES|2LWND|38DMG|4TLV|5ZMB|678VULN|8BPWR|9DUR|aRCR
56	36123 51316	9	   	255.05	DCR|3VULN|2DMG|1DUR|1TLV	18ERES|2ZMB|38DMG|4TLV|5LWND|678VULN|8BPWR|9DUR|aRCR
57	31432 48246	6	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	19ERES|2BEXP|39DMG|4TLV|5MBVNT|6DUR|789VULN|9BPWR|aRCR
58	21531 44231	4	   	254.95	DCR|3VULN|2DMG|1DUR|1TLV	1LHND|2DUST|3aDMG|4TLV|568VULN|7DUR|9RCR
59	62531 42231	4	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2DUR|3aDMG|4TLV|568VULN|7BEXP|9RCR
60	34135 53213	7	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1ERES|258VULN|3RMIN|4TLV|67DMG|9DUR|aRCR
61	34135 53223	8	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1ERES|259VULN|3RMIN|4TLV|67DMG|8DUR|aRCR
62	24135 33116	9	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7LWND|8DMG|9DUR|aRCR
63	15123 53324	10	 * 	254.85	DCR|3VULN|3DMG|1TLV	18aZMB|2aCGEN|378DMG|4TLV|5LWND|68aVULN|8aBPWR|9RCR
64	61121 13123	8	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	12DUST|35DMG|4TLV|6DUR|789VULN|aRCR
65	34333 23615	4	   	254.85	DCR|3VULN|2DMG|1DUR|1TLV	17ERES|247VULN|39DUST|5TLV|67DMG|7BPWR|8DUR|aRCR
66	24135 31136	8	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7DUR|8DMG|9LEGI|aRCR
67	24135 36123	10	   	254.76	DCR|4VULN|1DMG|1DUR|1ASPD	1LHND|2456VULN|3ASPD|7MBVNT|8DMG|9RCR|aDUR
68	24135 61323	7	   	254.76	DCR|4VULN|2TLV|1DUR|1ASPD	1LHND|2459VULN|3ASPD|67TLV|8DUR|aRCR
69	14235 31313	9	   	254.62	DCR|4VULN|2DUR|1TLV	1ZMB|2456VULN|3LHND|79DUR|8TLV|aRCR
70	21515 32353	10	   	254.55	DCR|3VULN|3DMG|1TLV	17LHND|2DUST|347DMG|567VULN|7BPWR|8BEXP|9TLV|aRCR
71	33433 53324	10	   	254.55	DCR|3VULN|3DMG|1TLV	18aERES|2aLWND|378DMG|4TLV|5ZMB|68aVULN|8aBPWR|9RCR
72	36123 53324	10	   	254.55	DCR|3VULN|3DMG|1TLV	18aERES|2aZMB|378DMG|4TLV|5LWND|68aVULN|8aBPWR|9RCR
73	14235 32161	7	   	254.53	DCR|5VULN|1DUR|1ASPD	17ZMB|24567VULN|37LHND|7BPWR|8RCR|9DUR|aASPD
74	21515 32125	7	   	254.45	DCR|3VULN|3DMG|1TLV	17LHND|2DUST|347DMG|567VULN|7BPWR|8MBVNT|9RCR|aTLV
75	21515 32127	7	   	254.45	DCR|3VULN|3DMG|1DUR	17LHND|2DUST|347DMG|567VULN|7BPWR|8MBVNT|9RCR|aDUR
76	24135 31423	8	   	254.33	DCR|5VULN|1DUR|1ASPD	1LHND|2456aVULN|3ASPD|7DUR|8RCR|9RCVC
77	14644 46231	8	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	146ZMB|24aVULN|3MBVNT|4aBPWR|5TLV|7RCR|8aLIT|9aDMG
78	14644 46241	9	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	146ZMB|24aVULN|3MBVNT|4aBPWR|5TLV|7RCR|8aLIT|9aDMG
79	21334 14325	1	   	253.71	DCR|3VULN|3DUR|1TLV	149LHND|289DUR|3TLV|5LIT|69aVULN|7RCR|9BPWR
80	34223 23436	2	   	253.63	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	17ERES|27VULN|34DUR|5TLV|67DMG|7BPWR|8ASPD|9LEGI|aRCR
81	36223 23436	1	   	253.63	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	17ERES|27VULN|34DUR|5TLV|67DMG|7BPWR|8ASPD|9LEGI|aRCR
82	14334 12243	4	   	253.40	DCR|4VULN|2DMG	1ZMB|2467VULN|3DUST|5LIT|8RCR|9aDMG
83	62515 11223	8	 * 	253.28	DCR|3VULN|2DMG|2DUR	1DUST|28DUR|34DMG|579VULN|6CGEN|aRCR
84	63431 13211	1	   	253.28	DCR|3VULN|2DMG|2DUR	137DUST|23aVULN|3aBPWR|4BBNT|5LWND|6aDUR|8RCR|9aDMG
85	64431 13211	2	   	253.28	DCR|3VULN|2DMG|2DUR	137DUST|23aVULN|3aBPWR|4BBNT|5LWND|6aDUR|8RCR|9aDMG
86	34614 21711	8	   	253.28	DCR|3VULN|2DMG|2DUR	18ERES|289VULN|3MBVNT|4aDMG|5LWND|6RCR|78DUR|8BPWR
87	34614 21712	10	   	253.28	DCR|3VULN|2DMG|2DUR	18ERES|28aVULN|3MBVNT|49DMG|5LWND|6RCR|78DUR|8BPWR
88	34614 21721	7	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|289VULN|3MBVNT|4aDMG|5LWND|6RCR|79DUR|9BPWR
89	61324 14122	1	   	253.22	DCR|2VULN|3DUR|1DMG|1TLV|2LIT	19DUST|249DUR|3TLV|58LIT|69VULN|7RCR|9BPWR|aDMG
90	62324 14122	4	   	253.22	DCR|2VULN|3DUR|1DMG|1TLV|2LIT	19DUST|239DUR|4TLV|58LIT|69VULN|7RCR|9BPWR|aDMG
91	62324 14122	2	   	253.22	DCR|2VULN|3DUR|1DMG|1TLV|2LIT	19DUST|249DUR|3TLV|58LIT|69VULN|7RCR|9BPWR|aDMG
92	14644 32154	8	   	252.55	DCR|3VULN|2DMG|1TLV|1CDMG	14aZMB|24aVULN|3MBVNT|4aBPWR|5TLV|6CDMG|7RCR|8aDMG|9LEGI
93	14634 32154	8	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	1aZMB|24aVULN|3MBVNT|5TLV|6CDMG|7RCR|8aDMG|9LEGI|aBPWR
94	14644 32162	10	   	252.45	DCR|3VULN|2DMG|1TLV|1CDMG	14ZMB|24aVULN|3MBVNT|4BPWR|5TLV|6CDMG|7RCR|89DMG
95	33412 13512	1	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	17ERES|2CGEN|37DMG|4DUR|5LWND|679VULN|7BPWR|8RCR|aCDMG
96	35112 13512	3	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	17ERES|2CGEN|37DMG|4DUR|5LWND|679VULN|7BPWR|8RCR|aCDMG
97	35112 13512	4	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	17ERES|2CGEN|37DMG|4DUR|5LWND|679VULN|7BPWR|8RCR|aCDMG
98	35112 13512	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	17ERES|2CGEN|37DMG|4DUR|5FEWX|679VULN|7BPWR|8RCR|aCDMG
99	35412 13512	2	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	17ERES|2CGEN|37DMG|4DUR|5LWND|679VULN|7BPWR|8RCR|aCDMG
100	14634 32162	10	   	252.35	DCR|3VULN|2DMG|1TLV|1CDMG	1ZMB|24aVULN|3MBVNT|5TLV|6CDMG|7RCR|89DMG
101	24235 31113	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	13LHND|256VULN|4TLV|79DUR|8DMG|aRCR
102	54135 31113	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|256VULN|3RMIN|4TLV|79DUR|8DMG|aRCR
103	21515 32121	7	   	251.85	DCR|3VULN|3DMG|1CDMG	17LHND|2DUST|347DMG|567VULN|7BPWR|8MBVNT|9RCR|aCDMG
