0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33512 25224	7	 * 	311.94	DCR|4VULN|3DMG|2DUR|2TLV	179aVULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR
2	35113 51313	10	 * 	311.80	DCR|4VULN|3DMG|3CDMG|1TLV	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aTLV
3	35113 51315	9	   	311.80	DCR|4VULN|3DMG|3CDMG|1TLV	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aTLV
4	35153 51313	10	   	311.80	DCR|4VULN|3DMG|3CDMG|1TLV	1278VULN|378DMG|4LWND|5LIT|678CDMG|78BPWR|9RCR|aTLV
5	34512 25222	7	 * 	308.51	DCR|3VULN|2DMG|2DUR|2ASPD|2TLV|1CDMG	179VULN|29ASPD|37TLV|47DMG|5MBVNT|6RCR|79BPWR|89DUR|aCDMG
6	35113 51312	9	   	305.22	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aAART
7	35153 51312	9	   	305.22	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LWND|5LIT|678CDMG|78BPWR|9RCR|aAART
8	33512 25221	7	   	302.95	DCR|3VULN|3DMG|2DUR|2TLV|1CDMG	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aCDMG
9	32235 24221	7	   	302.81	DCR|3VULN|3DMG|2DUR|2TLV|1CDMG|1SELL	179VULN|2RPLT|3SELL|47TLV|579DMG|6RCR|79BPWR|89DUR|aCDMG
10	32235 24225	7	   	300.16	DCR|3VULN|3DMG|2DUR|2TLV|1ASPD|1SELL	179VULN|2RPLT|3SELL|47TLV|579DMG|6RCR|79BPWR|89DUR|aASPD
11	33512 25226	7	   	298.96	DCR|3VULN|3DMG|2DUR|2TLV	179VULN|2RMIN|37TLV|479DMG|5MBVNT|6RCR|79BPWR|89DUR|aAART
12	35113 51311	9	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aCGEN
13	35113 51311	10	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aCGEN
14	35113 51314	10	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aBEXP
15	35113 51316	9	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aFEWX
16	35113 51316	10	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LHND|5LIT|678CDMG|78BPWR|9RCR|aLWND
17	35153 51311	10	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LWND|5LIT|678CDMG|78BPWR|9RCR|aCGEN
18	35153 51311	9	   	295.55	DCR|4VULN|3DMG|3CDMG	1278VULN|378DMG|4LWND|5LIT|678CDMG|78BPWR|9RCR|aCGEN
