0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15621 12262	4	 * 	287.39	DCR|5VULN|2DMG|3LIT|1DUR	1RCVC|28DMG|368LIT|45689VULN|68BPWR|7RCR|aDUR
2	15621 12226	4	 * 	286.80	DCR|5VULN|3DMG|3LIT	1RCVC|289DMG|368LIT|4568aVULN|68BPWR|7RCR
3	15621 12216	4	 * 	278.90	DCR|4VULN|2DMG|1TLV|3LIT	1RCVC|28DMG|368LIT|4568VULN|68BPWR|7RCR|9TBNT|aTLV
4	15621 12212	5	 * 	273.61	DCR|3VULN|3DMG|1TLV|3LIT	1RCVC|258DMG|368LIT|468VULN|68BPWR|7RCR|9BEXP|aTLV
5	15621 12222	5	   	273.61	DCR|3VULN|3DMG|1TLV|3LIT	1RCVC|258DMG|368LIT|468VULN|68BPWR|7RCR|9LHND|aTLV
6	15621 12232	5	   	273.61	DCR|3VULN|3DMG|1TLV|3LIT	1RCVC|258DMG|368LIT|468VULN|68BPWR|7RCR|9LWND|aTLV
7	15621 12252	5	   	273.32	DCR|3VULN|3DMG|3LIT|1DUR|1AART	1RCVC|258DMG|368LIT|468VULN|68BPWR|7RCR|9AART|aDUR
8	15621 12214	4	   	271.04	DCR|5VULN|2DMG|3LIT	1RCVC|28DMG|368LIT|4568aVULN|68BPWR|7RCR|9TBNT
9	15621 12231	4	   	271.04	DCR|5VULN|2DMG|3LIT	1RCVC|28DMG|368LIT|4568aVULN|68BPWR|7RCR|9ERES
10	15621 12263	4	   	271.04	DCR|5VULN|2DMG|3LIT	1RCVC|28DMG|368LIT|45689VULN|68BPWR|7RCR|aLEGI
11	15621 12261	4	   	270.90	DCR|5VULN|2DMG|3LIT|1SELL	1RCVC|28DMG|368LIT|45689VULN|68BPWR|7RCR|aSELL
12	51362 21253	3	 * 	270.74	DCR|3VULN|2TLV|3CDMG|1DMG|1DUR	12aCDMG|2aBPWR|3RPLT|47aVULN|5DMG|6DUR|8aTLV|9RCR
13	15621 12242	4	   	269.05	DCR|4VULN|2DMG|3LIT|1DUR	1RCVC|28DMG|368LIT|4568VULN|68BPWR|7RCR|9DUR|aCGEN
14	15621 12243	4	   	269.05	DCR|4VULN|2DMG|3LIT|1DUR	1RCVC|28DMG|368LIT|4568VULN|68BPWR|7RCR|9DUR|aBEXP
15	15621 12233	4	   	268.95	DCR|4VULN|2DMG|3LIT|1DUR	1RCVC|28DMG|368LIT|4568VULN|68BPWR|7RCR|9ERES|aDUR
16	15621 12241	4	   	268.95	DCR|4VULN|2DMG|3LIT|1DUR	1RCVC|28DMG|368LIT|4568VULN|68BPWR|7RCR|9DUR|aERES
17	15621 12214	5	   	268.45	DCR|4VULN|3DMG|3LIT	1RCVC|258DMG|368LIT|468aVULN|68BPWR|7RCR|9BEXP
18	15621 12222	4	   	268.45	DCR|4VULN|3DMG|3LIT	1RCVC|289DMG|368LIT|4568VULN|68BPWR|7RCR|aZMB
19	15621 12224	5	   	268.45	DCR|4VULN|3DMG|3LIT	1RCVC|258DMG|368LIT|468aVULN|68BPWR|7RCR|9LHND
20	15621 12225	4	   	268.45	DCR|4VULN|3DMG|3LIT	1RCVC|289DMG|368LIT|4568VULN|68BPWR|7RCR|aBEXP
21	15621 12234	5	   	268.45	DCR|4VULN|3DMG|3LIT	1RCVC|258DMG|368LIT|468aVULN|68BPWR|7RCR|9LWND
22	15621 12221	4	   	268.35	DCR|4VULN|3DMG|3LIT	1RCVC|289DMG|368LIT|4568VULN|68BPWR|7RCR|aTBNT
23	15621 12223	4	   	268.35	DCR|4VULN|3DMG|3LIT	1RCVC|289DMG|368LIT|4568VULN|68BPWR|7RCR|aERES
24	15621 12224	4	   	268.35	DCR|4VULN|3DMG|3LIT	1RCVC|289DMG|368LIT|4568VULN|68BPWR|7RCR|aDUST
25	56123 31133	7	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|369VULN|4TLV|5BEXP|7DUR|aRCR
26	56123 31133	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|369VULN|4TLV|5BEXP|7DUR|aRCR
27	56123 31163	9	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|369VULN|4TLV|5BEXP|7DUR|aRCR
28	56125 31133	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|369VULN|4TLV|5FEWX|7DUR|aRCR
29	56125 31133	7	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|369VULN|4TLV|5FEWX|7DUR|aRCR
30	56333 31133	7	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|3TLV|469VULN|5BEXP|7DUR|aRCR
31	56333 31133	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|3TLV|469VULN|5BEXP|7DUR|aRCR
32	56333 31163	9	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|3TLV|469VULN|5BEXP|7DUR|aRCR
33	56335 31133	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|3TLV|469VULN|5FEWX|7DUR|aRCR
34	56335 31133	7	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1CDMG|28DMG|3TLV|469VULN|5FEWX|7DUR|aRCR
35	56123 14323	5	 * 	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aCDMG|2aDMG|369VULN|4TLV|5aBEXP|7RCR|8AART|aBPWR
36	56123 14323	4	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aCDMG|2aDMG|369VULN|4TLV|5aFEWX|7RCR|8AART|aBPWR
37	56123 34323	6	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aCDMG|2aDMG|369VULN|4TLV|5aBEXP|7RCR|8AART|aBPWR
38	56333 14323	5	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aCDMG|2aDMG|3TLV|469VULN|5aBEXP|7RCR|8AART|aBPWR
39	56333 14323	4	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aCDMG|2aDMG|3TLV|469VULN|5aFEWX|7RCR|8AART|aBPWR
40	56333 34323	6	   	267.61	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	1aCDMG|2aDMG|3TLV|469VULN|5aBEXP|7RCR|8AART|aBPWR
41	24633 36331	1	   	267.13	DCR|5VULN|2DMG|1DUR	17DUST|24678VULN|3BBNT|57DMG|7BPWR|9RCR|aDUR
42	15342 33321	3	 * 	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	15RCVC|2aDMG|3CDMG|4aDUR|6TLV|7RCR|8LIT|9aVULN|aBPWR
43	15345 23321	5	 * 	265.90	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1RCVC|2aDMG|35CDMG|4aTLV|6DUR|7RCR|8LIT|9aVULN|aBPWR
44	15341 23321	5	 * 	265.90	DCR|2VULN|2DMG|3TLV|2CDMG|1DUR	1RCVC|2aDMG|35CDMG|45aTLV|5aBPWR|6DUR|7RCR|8LIT|9aVULN
45	15341 53321	6	   	265.90	DCR|2VULN|2DMG|3TLV|2CDMG|1DUR	1RCVC|2aDMG|35CDMG|45aTLV|5aBPWR|6DUR|7RCR|8LIT|9aVULN
46	15342 23321	4	   	265.90	DCR|2VULN|2DMG|3TLV|2CDMG|1DUR	1RCVC|2aDMG|35CDMG|45aTLV|5aBPWR|6DUR|7RCR|8LIT|9aVULN
47	56332 23321	3	   	265.90	DCR|2VULN|2DMG|3TLV|2CDMG|1DUR	1aCDMG|25DMG|35aTLV|4DMSP|5aBPWR|6DUR|7RCR|8LIT|9aVULN
48	56123 31433	8	 * 	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2DMG|369VULN|4TLV|5BEXP|78DUR|aRCR
49	56125 31333	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2DMG|369VULN|4TLV|5FEWX|78DUR|aRCR
50	56333 31433	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2DMG|3TLV|469VULN|5BEXP|78DUR|aRCR
51	56335 31333	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2DMG|3TLV|469VULN|5FEWX|78DUR|aRCR
52	54113 12121	7	 * 	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	17CDMG|2FEWX|357VULN|4RPLT|678DUR|7BPWR|9TLV|aRCR
53	54113 12321	8	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	17CDMG|2FEWX|357VULN|4RPLT|678DUR|7BPWR|9TLV|aRCR
54	54113 12361	9	   	264.36	DCR|3VULN|3DUR|1TLV|2CDMG	17CDMG|2FEWX|357VULN|4RPLT|678DUR|7BPWR|9TLV|aRCR
55	56351 23321	5	 * 	262.89	DCR|2VULN|2TLV|2DUR|1DMG|2CDMG	1aCDMG|2DMG|3aTLV|46DUR|5DMSP|7RCR|8LIT|9aVULN|aBPWR
56	15625 33223	5	   	261.95	DCR|3VULN|3DMG|1TLV	1RCVC|289DMG|3LIT|478VULN|58FEWX|6RCR|8BPWR|aTLV
57	56122 13134	4	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|369VULN|4TLV|5LWND|8RCR|aAART
58	56123 13134	4	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|369VULN|4TLV|5FEWX|8RCR|aAART
59	56123 13134	5	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|369VULN|4TLV|5BEXP|8RCR|aAART
60	56123 33134	6	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|369VULN|4TLV|5BEXP|8RCR|aAART
61	56332 13134	4	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|3TLV|469VULN|5LWND|8RCR|aAART
62	56333 13134	4	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|3TLV|469VULN|5FEWX|8RCR|aAART
63	56333 13134	5	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|3TLV|469VULN|5BEXP|8RCR|aAART
64	56333 33134	6	   	261.10	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1CDMG|27DMG|3TLV|469VULN|5BEXP|8RCR|aAART
65	56123 13132	5	 * 	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|369VULN|4aTLV|5BEXP|8RCR
66	56123 14132	5	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28DMG|369VULN|4aTLV|5BEXP|7RCR
67	56123 33132	6	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|369VULN|4aTLV|5BEXP|8RCR
68	56123 34132	7	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|369VULN|4aTLV|5BEXP|8RCR
69	56123 34132	6	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28DMG|369VULN|4aTLV|5BEXP|7RCR
70	56333 13132	5	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|3aTLV|469VULN|5BEXP|8RCR
71	56333 14132	5	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28DMG|3aTLV|469VULN|5BEXP|7RCR
72	56333 33132	6	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|3aTLV|469VULN|5BEXP|8RCR
73	56333 34132	7	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|27DMG|3aTLV|469VULN|5BEXP|8RCR
74	56333 34132	6	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	1CDMG|28DMG|3aTLV|469VULN|5BEXP|7RCR
75	56332 23323	3	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1CDMG|25DMG|35TLV|4DMSP|5BPWR|6DUR|7RCR|8LIT|9aVULN
76	63162 22124	3	 * 	259.05	ACR|4VULN|2DMG|3CDMG|2ASPD|1DUR	1RCR|259CDMG|345aVULN|5aBPWR|6DUR|7aDMG|8aASPD
77	21615 14121	1	 * 	259.02	DCR|3VULN|2TLV|2DUR|1DMG	19DUST|25DUR|359VULN|4BBNT|59BPWR|6LEGI|79TLV|8RCR|aDMG
78	23615 14121	2	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	19DUST|25DUR|359VULN|4BBNT|59BPWR|6LEGI|79TLV|8RCR|aDMG
79	52352 42223	7	 * 	258.98	DCR|3VULN|3TLV|3CDMG|1DUR	178CDMG|2MLV|378TLV|4DUR|5LIT|678VULN|78BPWR|9DUST|aRCR
80	56122 12224	9	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2DMG|39aVULN|4TLV|5LIT|6RMIN|7RCR|8DUR
81	56332 12224	9	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1CDMG|2DMG|3TLV|49aVULN|5LIT|6RMIN|7RCR|8DUR
82	56123 31633	8	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CDMG|2DMG|369VULN|48TLV|5BEXP|7DUR|aRCR
83	56333 31633	8	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1CDMG|2DMG|38TLV|469VULN|5BEXP|7DUR|aRCR
84	56121 16133	5	   	258.01	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1aCDMG|2DMG|36aVULN|4aTLV|5AART|7RCR|8BBNT|9RCVC|aBPWR
85	56121 16333	5	   	258.01	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1aCDMG|2DMG|36aVULN|4aTLV|5AART|7RCR|8TBNT|9RCVC|aBPWR
86	56331 16133	5	   	258.01	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1aCDMG|2DMG|3aTLV|46aVULN|5AART|7RCR|8BBNT|9RCVC|aBPWR
87	56331 16333	5	   	258.01	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1aCDMG|2DMG|3aTLV|46aVULN|5AART|7RCR|8TBNT|9RCVC|aBPWR
88	52122 45222	5	   	257.82	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	18CDMG|2MLV|38VULN|4TLV|5LIT|68DMG|7RCR|8BPWR|9FEWX|aDUR
89	56131 21253	4	   	257.59	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1aCDMG|2aDMG|37VULN|4DMSP|5RPLT|6DUR|8aTLV|9RCR|aBPWR
90	56123 31163	7	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|36VULN|4TLV|5BEXP|79DUR|aRCR
91	56123 31163	8	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|36VULN|4TLV|5BEXP|79DUR|aRCR
92	56333 31163	8	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|3TLV|46VULN|5BEXP|79DUR|aRCR
93	56333 31163	7	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|3TLV|46VULN|5BEXP|79DUR|aRCR
94	56352 32133	7	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|3TLV|47DUR|5FEWX|69VULN|aRCR
95	56352 32133	8	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1CDMG|28DMG|3TLV|47DUR|5FEWX|69VULN|aRCR
