0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13133 26145	6	 * 	294.14	DCR|3VULN|3DMG|2DUR|1TLV|1AART	18aDMG|268VULN|3LWND|4TLV|58DUR|7AART|8BPWR|9RCR
2	13133 26142	6	 * 	291.71	DCR|3VULN|3DUR|2DMG|1TLV|1AART	18DMG|268VULN|3LWND|4TLV|58aDUR|7AART|8BPWR|9RCR
3	13253 22135	7	 * 	289.87	DCR|4VULN|2DMG|2DUR|1TLV	19DMG|2489VULN|3ZMB|5TLV|69DUR|7RPLT|9BPWR|aRCR
4	13132 31543	4	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	17DMG|278aVULN|3LWND|4TLV|5MBVNT|67DUR|7BPWR|9RCR
5	13652 31543	3	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	17DMG|278aVULN|3TLV|4LWND|5MBVNT|67DUR|7BPWR|9RCR
6	13633 21126	5	   	288.29	DCR|2VULN|3DMG|2DUR|1TLV|2LIT|1CDMG	168DMG|28VULN|3TLV|45DUR|78LIT|8BPWR|9CDMG|aRCR
7	13614 31632	5	 * 	286.66	ACR|4VULN|3DMG|3DUR|1TLV	178DMG|279aVULN|3TLV|4RCR|59LHND|679DUR|79BPWR
8	13652 12134	10	 * 	285.11	DCR|3VULN|2DMG|2TLV|2DUR	18DMG|24aVULN|38TLV|5ERES|6LIT|78DUR|8BPWR|9RCR
9	13633 35153	6	 * 	283.40	DCR|2VULN|3DUR|2DMG|2TLV|1AART	18DMG|29VULN|38TLV|458DUR|6AART|7RCR|8BPWR|aLIT
10	13232 12135	7	 * 	283.37	DCR|4VULN|2DMG|2TLV|1DUR	19DMG|2689VULN|3ZMB|4DUR|59TLV|7RPLT|9BPWR|aRCR
11	13132 31544	4	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|278VULN|3LWND|4TLV|5MBVNT|67DUR|7BPWR|9RCR|aCDMG
12	13652 31544	3	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|278VULN|3TLV|4LWND|5MBVNT|67DUR|7BPWR|9RCR|aCDMG
13	13433 21126	4	   	282.25	DCR|3VULN|3DMG|1TLV|2LIT|1CDMG	168DMG|248VULN|34LHND|48BPWR|5TLV|78LIT|9CDMG|aRCR
14	13634 21126	3	   	282.15	DCR|3VULN|3DMG|1TLV|2LIT|1CDMG	168DMG|248VULN|3TLV|5LWND|78LIT|8BPWR|9CDMG|aRCR
15	13632 21126	5	 * 	281.79	DCR|2VULN|3DMG|2TLV|1DUR|2LIT|1CDMG	168DMG|28VULN|35TLV|4DUR|78LIT|8BPWR|9CDMG|aRCR
16	13435 31243	8	   	281.74	DCR|4VULN|2DMG|2DUR|1AART	1aDMG|247aVULN|34LHND|4aBPWR|5ASPD|6AART|8aDUR|9RCR
17	13133 26141	6	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18DMG|268VULN|3LWND|4TLV|58DUR|7AART|8BPWR|9RCR|aRCVC
18	13133 26143	6	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18DMG|268VULN|3aLWND|4TLV|58DUR|7AART|8BPWR|9RCR
19	13133 26144	6	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18DMG|268VULN|3LWND|4TLV|58DUR|7AART|8BPWR|9RCR|aFEWX
20	13133 26146	6	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18DMG|268VULN|3LWND|4TLV|58DUR|7AART|8BPWR|9RCR|aBELT
21	12331 33535	5	   	278.47	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	19DMG|2RPLT|369VULN|4DUR|57TLV|89ASPD|9BPWR|aRCR
22	12333 23535	6	   	278.47	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	19DMG|2RPLT|359VULN|4DUR|67TLV|89ASPD|9BPWR|aRCR
23	12333 33535	4	   	278.47	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	19DMG|2RPLT|369VULN|4DUR|57TLV|89ASPD|9BPWR|aRCR
24	12353 33535	3	   	278.47	DCR|3VULN|2DMG|2TLV|2ASPD|1DUR	19DMG|2RPLT|369VULN|4DUR|57TLV|89ASPD|9BPWR|aRCR
25	13132 36145	6	 * 	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	18aDMG|28VULN|3LWND|45TLV|68DUR|7AART|8BPWR|9RCR
26	11153 52134	10	   	277.13	DCR|3VULN|2DMG|2DUR|1TLV	18DMG|2LIT|3RCVC|48aVULN|5TLV|6MLV|78DUR|8BPWR|9RCR
27	13132 31548	4	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	17DMG|278VULN|3LWND|4TLV|5MBVNT|67DUR|7BPWR|9RCR|aLIT
28	13232 12435	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	19DMG|269VULN|3ZMB|48DUR|59TLV|7RPLT|9BPWR|aRCR
29	13232 12545	7	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	18DMG|268VULN|3ZMB|49DUR|58TLV|7RPLT|8BPWR|aRCR
30	12331 23135	5	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	19DMG|2RPLT|378VULN|49DUR|59TLV|6NUKE|9BPWR|aRCR
31	12331 34135	5	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	19DMG|2RPLT|368VULN|49DUR|59TLV|7NUKE|9BPWR|aRCR
32	12333 23135	4	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR|1NUKE	19DMG|2RPLT|378VULN|49DUR|59TLV|6NUKE|9BPWR|aRCR
