0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62135 21432	10	 * 	302.43	DCR|3VULN|3DMG|3DUR|3LIT	149DUR|234LIT|49BPWR|589DMG|69aVULN|7RCR
2	53142 12612	9	 * 	299.44	DCR|4VULN|2DMG|2DUR|1CDMG|1NUKE	1378VULN|2CDMG|47DMG|5NUKE|67DUR|7BPWR|9AART|aRCR
3	53612 12612	9	   	299.44	DCR|4VULN|2DMG|2DUR|1CDMG|1NUKE	1478VULN|2CDMG|3NUKE|57DMG|67DUR|7BPWR|9AART|aRCR
4	53133 22424	4	 * 	297.87	DCR|4VULN|3DUR|3CDMG|1DMG	1379VULN|256CDMG|456DUR|56BPWR|8RCR|aDMG
5	63133 21681	4	 * 	297.34	DCR|5VULN|3DUR|3CDMG	149DUR|256CDMG|3569aVULN|569BPWR|7RCR|8MBVNT
6	63123 21683	4	   	297.34	DCR|5VULN|3DUR|3CDMG	19aDUR|256CDMG|34569VULN|569BPWR|7RCR|8MBVNT
7	53133 21461	5	   	295.46	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG|1ASPD	136VULN|2CDMG|4DUR|567DMG|6BPWR|8RCR|9ASPD|aTLV
8	53523 22612	9	 * 	294.89	DCR|4VULN|2ASPD|1DMG|2CDMG|1DUR	1478VULN|27CDMG|3DUR|5DMG|67ASPD|7BPWR|9AART|aRCR
9	53133 22612	9	   	294.89	DCR|4VULN|2ASPD|1DMG|2CDMG|1DUR	1378VULN|27CDMG|4DUR|5DMG|67ASPD|7BPWR|9AART|aRCR
10	63123 26412	4	   	294.09	DCR|5VULN|3CDMG|1TLV|1DUR	1DUR|256CDMG|34567VULN|56BPWR|8RCR|9LIT|aTLV
11	53133 22423	4	   	294.05	DCR|4VULN|3DUR|3CDMG|1TLV	1379VULN|256CDMG|456DUR|56BPWR|8RCR|aTLV
12	53523 22423	4	   	294.05	DCR|4VULN|3DUR|3CDMG|1TLV	1479VULN|256CDMG|356DUR|56BPWR|8RCR|aTLV
13	53132 25236	4	   	292.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	1389VULN|2CDMG|48DUR|5RPLT|68TLV|7RCR|8BPWR|aDMG
14	53132 25236	5	   	292.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	1389VULN|2CDMG|48DUR|5RPLT|68TLV|7RCR|8BPWR|aDMG
15	63122 25236	4	   	292.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	18DUR|2CDMG|3489VULN|5RPLT|68TLV|7RCR|8BPWR|aDMG
16	63122 25236	5	   	292.25	DCR|4VULN|2DUR|2TLV|1DMG|1CDMG	18DUR|2CDMG|3489VULN|5RPLT|68TLV|7RCR|8BPWR|aDMG
17	53132 25234	5	   	291.73	DCR|5VULN|2DUR|2TLV|1CDMG	1389aVULN|2CDMG|48DUR|5RPLT|68TLV|7RCR|8BPWR
18	53132 25234	4	   	291.73	DCR|5VULN|2DUR|2TLV|1CDMG	1389aVULN|2CDMG|48DUR|5RPLT|68TLV|7RCR|8BPWR
19	63122 25234	4	   	291.73	DCR|5VULN|2DUR|2TLV|1CDMG	18DUR|2CDMG|3489aVULN|5RPLT|68TLV|7RCR|8BPWR
20	63122 25234	5	   	291.73	DCR|5VULN|2DUR|2TLV|1CDMG	18DUR|2CDMG|3489aVULN|5RPLT|68TLV|7RCR|8BPWR
21	53523 21422	5	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG	146VULN|2aCDMG|39DUR|567DMG|6BPWR|8RCR
22	53133 21422	5	   	289.10	DCR|3VULN|3DMG|2DUR|2CDMG	136VULN|2aCDMG|49DUR|567DMG|6BPWR|8RCR
23	53162 12612	9	   	288.26	DCR|4VULN|2DUR|1DMG|2CDMG	1378VULN|27CDMG|4ZMB|5DMG|67DUR|7BPWR|9AART|aRCR
24	53312 12612	9	   	288.26	DCR|4VULN|2DUR|1DMG|2CDMG	1478VULN|27CDMG|3ZMB|5DMG|67DUR|7BPWR|9AART|aRCR
25	53533 22612	9	 * 	286.83	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	178VULN|27CDMG|34DUR|5DMG|67ASPD|7BPWR|9AART|aRCR
26	63123 22612	9	   	286.83	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	17DUR|27CDMG|348VULN|5DMG|67ASPD|7BPWR|9AART|aRCR
27	63123 21312	4	   	285.78	DCR|5VULN|3CDMG|1TLV|1DUR	1DUR|256CDMG|34569VULN|56BPWR|7RCR|8LHND|aTLV
28	63123 26162	4	   	285.78	DCR|5VULN|3CDMG|1TLV|1DUR	1DUR|256CDMG|34567VULN|56BPWR|8FEWX|9RCR|aTLV
29	63123 21112	4	   	285.68	DCR|5VULN|3CDMG|1TLV|1DUR	1DUR|256CDMG|34569VULN|56BPWR|7RCR|8LEGI|aTLV
30	63123 21612	4	   	285.68	DCR|5VULN|3CDMG|1TLV|1DUR	1DUR|256CDMG|34569VULN|56BPWR|7RCR|8MBVNT|aTLV
