0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21562 22234	5	 * 	287.10	DCR|3VULN|2DMG|2DUR|3LIT|1CDMG	167LIT|2CDMG|357VULN|47DMG|7BPWR|8RCR|9aDUR
2	21562 22225	5	 * 	285.22	DCR|4VULN|2DMG|3LIT|2CDMG	167LIT|2aCDMG|3579VULN|47DMG|7BPWR|8RCR
3	23562 22226	5	   	281.26	DCR|4VULN|2DMG|3LIT|1TLV|1SELL	167LIT|2579VULN|3SELL|47DMG|7BPWR|8RCR|aTLV
4	21562 22222	5	   	278.90	DCR|4VULN|2DMG|3LIT|1CDMG	167LIT|2CDMG|3579VULN|47DMG|7BPWR|8RCR|aCGEN
5	21562 62222	6	   	278.90	DCR|4VULN|2DMG|3LIT|1CDMG	167LIT|2CDMG|3579VULN|47DMG|7BPWR|8RCR|aCGEN
6	21562 22235	5	   	278.83	DCR|3VULN|2DMG|3LIT|2CDMG|1DUR	167LIT|2aCDMG|357VULN|47DMG|7BPWR|8RCR|9DUR
7	21562 22221	5	   	278.80	DCR|4VULN|2DMG|3LIT|1CDMG	167LIT|2CDMG|3579VULN|47DMG|7BPWR|8RCR|aERES
8	21562 22223	5	   	278.80	DCR|4VULN|2DMG|3LIT|1CDMG	167LIT|2CDMG|3579VULN|47DMG|7BPWR|8RCR|aBBNT
9	21562 62221	6	   	278.80	DCR|4VULN|2DMG|3LIT|1CDMG	167LIT|2CDMG|3579VULN|47DMG|7BPWR|8RCR|aERES
10	21562 62223	6	   	278.80	DCR|4VULN|2DMG|3LIT|1CDMG	167LIT|2CDMG|3579VULN|47DMG|7BPWR|8RCR|aBBNT
11	23562 22225	5	   	278.66	DCR|4VULN|2DMG|3LIT|1CDMG|1SELL	167LIT|2579VULN|3SELL|47DMG|7BPWR|8RCR|aCDMG
12	62132 32155	6	 * 	278.60	DCR|4VULN|2DUR|1DMG|2CDMG	19CDMG|2579VULN|3CGEN|4LHND|6RCR|89DUR|9BPWR|aDMG
13	23123 61112	8	 * 	278.50	DCR|4VULN|2DUR|3LIT|1DMG	169LIT|2489VULN|3LHND|5DMG|79DUR|9BPWR|aRCR
14	23123 61142	9	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	169LIT|2489VULN|3LHND|5DMG|79DUR|9BPWR|aRCR
15	23123 63512	8	   	278.50	DCR|4VULN|2DUR|3LIT|1DMG	169LIT|2479VULN|3LHND|5DMG|89DUR|9BPWR|aRCR
