0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32544 46236	8	 * 	307.02	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|278DUR|3MBVNT|4LIT|5TLV|678DMG|78BPWR|9BBNT|aRCR
2	31251 22331	5	 * 	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	1348aVULN|28ASPD|5RCVC|6RCR|78DUR|8BPWR|9TLV
3	24412 63212	8	 * 	293.64	DCR|4VULN|3DMG|1TLV|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9TLV|aDUR
4	24412 63312	7	   	293.64	DCR|4VULN|3DMG|1TLV|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9TLV|aDUR
5	32512 12136	4	 * 	289.67	DCR|4VULN|2DMG|2DUR|1CDMG	1489VULN|28DUR|3MBVNT|5TBNT|68DMG|7RCR|8BPWR|aCDMG
6	32535 36433	6	 * 	289.35	DCR|4VULN|3DUR|2DMG	1789VULN|248DUR|3MBVNT|5RPLT|68DMG|8BPWR|aRCR
7	31251 22333	5	 * 	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1348VULN|28ASPD|5RCVC|6RCR|78aDUR|8BPWR|9TLV
8	34212 36433	4	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	124aVULN|3BELT|5RCVC|6ASPD|7RCR|8aDUR|9aDMG|aBPWR
9	24412 63212	9	   	287.06	DCR|4VULN|3DMG|1DUR	1BELT|27ZMB|357DMG|4578VULN|57BPWR|6RCR|9DUR|aAART
10	31251 22335	5	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1348VULN|28ASPD|5RCVC|6RCR|78DUR|8BPWR|9TLV|aAART
11	32544 87241	5	   	284.82	DCR|3VULN|2DMG|2TLV|1DUR|2LIT|1ASPD	169VULN|2DUR|3MBVNT|49LIT|56TLV|69BPWR|7ASPD|89DMG|aRCR
12	31251 22324	5	   	283.10	DCR|4VULN|2DUR|2ASPD|1CDMG	1348VULN|28ASPD|5RCVC|6RCR|78DUR|8BPWR|9CDMG|aAART
13	11213 62112	2	 * 	282.60	DCR|4VULN|2DMG|3CDMG|1ASPD	138CDMG|236BEXP|368BPWR|4568VULN|78DMG|9ASPD|aRCR
14	11213 62112	1	   	282.60	DCR|4VULN|2DMG|3CDMG|1ASPD	138CDMG|236BEXP|368BPWR|4568VULN|78DMG|9ASPD|aRCR
15	32544 27241	5	   	281.01	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	169VULN|2DUR|3MBVNT|49LIT|5TLV|7ASPD|89DMG|9BPWR|aRCR
16	32544 66241	7	   	281.01	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1ASPD	169VULN|2DUR|3MBVNT|49LIT|5TLV|7ASPD|89DMG|9BPWR|aRCR
