0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16213 78412	4	 * 	305.53	DCR|4VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478aVULN|578ASPD|6RCR|78BPWR|9DMSP
2	16232 17448	4	 * 	305.00	DCR|3VULN|3DMG|3ASPD|3CDMG	148DMG|2MBVNT|34aCDMG|48aBPWR|58aASPD|6RCR|78aVULN|9AART
3	16232 17448	5	   	305.00	DCR|3VULN|3DMG|3ASPD|3CDMG	148DMG|2MBVNT|34aCDMG|48aBPWR|58aASPD|6RCR|78aVULN|9AART
4	11221 34244	10	 * 	296.19	DCR|4VULN|2DMG|2DUR|2CDMG	19DMG|2589VULN|34CDMG|6LWND|79DUR|9BPWR|aRCR
5	11221 24244	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	19DMG|2589VULN|34CDMG|6DUST|79DUR|9BPWR|aRCR
6	16211 54253	10	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	19DMG|2MBVNT|36CDMG|4789VULN|59DUR|9BPWR|aRCR
7	16232 17483	4	   	295.83	DCR|3VULN|3DMG|2ASPD|2CDMG|1TLV	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78aVULN|9TLV
8	16232 17483	5	   	295.83	DCR|3VULN|3DMG|2ASPD|2CDMG|1TLV	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78aVULN|9TLV
9	11211 42531	7	 * 	294.63	DCR|5VULN|2DMG|1DUR|1CDMG	16DMG|24589VULN|3CDMG|7DUR|aRCR
10	11211 43431	8	   	294.63	DCR|5VULN|2DMG|1DUR|1CDMG	16DMG|24579VULN|3CDMG|8DUR|aRCR
11	11211 43541	7	   	294.63	DCR|5VULN|2DMG|1DUR|1CDMG	16DMG|24578VULN|3CDMG|9DUR|aRCR
12	11211 43641	8	   	294.63	DCR|5VULN|2DMG|1DUR|1CDMG	16DMG|24578VULN|3CDMG|9DUR|aRCR
13	11211 43641	9	   	294.63	DCR|5VULN|2DMG|1DUR|1CDMG	16DMG|24578VULN|3CDMG|9DUR|aRCR
14	34513 78431	4	 * 	294.30	DCR|4VULN|3ASPD|3CDMG|1DMG	1MBVNT|278CDMG|3DMG|4789VULN|578ASPD|6RCR|78BPWR|aAART
15	16213 38474	4	 * 	292.66	DCR|2VULN|3DMG|3DUR|3CDMG|1ASPD	178DMG|2MBVNT|378CDMG|4aVULN|5ASPD|678DUR|78BPWR|9RCR
16	34513 38474	4	   	292.66	DCR|2VULN|3DMG|3DUR|3CDMG|1ASPD	1MBVNT|278CDMG|378DMG|4aVULN|5ASPD|678DUR|78BPWR|9RCR
17	11211 52551	7	 * 	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1DMG|24568VULN|3CDMG|79DUR|aRCR
18	11211 53451	7	   	291.63	DCR|5VULN|2DUR|1DMG|1CDMG	1DMG|24567VULN|3CDMG|89DUR|aRCR
19	16213 78414	4	   	291.19	DCR|3VULN|3DMG|3ASPD|1CDMG	178DMG|2MBVNT|3CDMG|478VULN|578ASPD|6RCR|78BPWR|9DMSP|aLIT
20	42332 35323	8	 * 	290.87	DCR|3VULN|3DMG|3DUR	189DUR|2RCVC|389VULN|4BEXP|5DUST|6RCR|789DMG|89BPWR|aLIT
21	43232 51262	8	 * 	290.59	DCR|3VULN|2DMG|2DUR|3CDMG|1ASPD	19DUR|24DMG|349CDMG|49BPWR|5ASPD|6ERES|7RCR|89aVULN
22	16232 17442	4	   	289.24	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78aVULN|9AART
23	16232 17442	5	   	289.24	DCR|3VULN|3DMG|2ASPD|2CDMG	148DMG|2MBVNT|34CDMG|48BPWR|58ASPD|6RCR|78aVULN|9AART
24	16213 78421	4	   	289.20	DCR|3VULN|3DMG|3ASPD|2CDMG	178DMG|2MBVNT|3aCDMG|478VULN|578ASPD|6RCR|78BPWR|9BEXP
25	16213 78431	4	   	289.20	DCR|3VULN|3DMG|3ASPD|2CDMG	178DMG|2MBVNT|3aCDMG|478VULN|578ASPD|6RCR|78BPWR|9FEWX
26	16231 71254	10	 * 	287.05	DCR|4VULN|3DMG|3CDMG	149DMG|2MBVNT|349CDMG|49BPWR|589aVULN|6RCVC|7RCR
27	34531 71254	10	   	287.05	DCR|4VULN|3DMG|3CDMG	1MBVNT|249CDMG|349DMG|49BPWR|589aVULN|6RCVC|7RCR
28	16212 81254	10	   	286.95	DCR|4VULN|3DMG|3CDMG	169DMG|2MBVNT|359CDMG|489aVULN|7RCR|9BPWR
29	34512 81254	10	   	286.95	DCR|4VULN|3DMG|3CDMG	1MBVNT|259CDMG|369DMG|489aVULN|7RCR|9BPWR
