0	Index      	Bounty	 *	Score 	Summary	Detail	
1	68321 11225	10	 * 	303.00	DCR|4VULN|3DUR|2DMG|1CDMG	1MBVNT|2579VULN|3CDMG|478DUR|67DMG|7BPWR|aRCR
2	43223 36533	1	 * 	296.04	DCR|5VULN|2DMG|1TLV|2LIT	17LIT|2678aVULN|3BEXP|4TLV|57DMG|7BPWR|9RCR
3	43123 36631	1	   	289.70	DCR|3VULN|2DMG|2DUR|3LIT|1TLV	17aLIT|267VULN|3aDUST|4TLV|57DMG|7aBPWR|8aDUR|9RCR
4	68321 11611	7	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aLHND
5	68321 11612	7	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aBEXP
6	68321 11614	7	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aFEWX
7	68321 11711	8	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aLHND
8	68321 11712	8	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aBEXP
9	68321 11714	8	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aFEWX
10	68321 11613	7	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aDUST
11	68321 11713	8	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8TLV|9RCR|aDUST
12	43313 56333	1	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1LIT|257aVULN|34DUR|6DMG|8TLV|9RCR
13	43363 52333	1	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1LIT|245aVULN|37DUR|6DMG|8TLV|9RCR
14	68321 11214	7	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8LWND|9RCR
15	68321 11314	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8BEXP|9RCR
16	68321 11322	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8BEXP|9RCR
17	68321 11324	9	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8BEXP|9RCR
18	68321 11414	8	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8FEWX|9RCR
19	68321 11414	7	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8FEWX|9RCR
20	68321 11422	10	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8FEWX|9RCR
21	68321 11424	9	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8FEWX|9RCR
22	68321 11814	8	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8DUST|9RCR
23	68321 11814	7	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8DUST|9RCR
24	68321 11822	10	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8DUST|9RCR
25	68321 11824	9	   	280.26	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|257VULN|3CDMG|47aDUR|67DMG|7BPWR|8DUST|9RCR
26	68321 11213	7	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8LWND|9RCR|aASPD
27	68321 11313	8	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8BEXP|9RCR|aASPD
28	68321 11323	9	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8BEXP|9RCR|aASPD
29	68321 11327	10	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8BEXP|9RCR|aASPD
30	68321 11413	8	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aASPD
31	68321 11413	7	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aASPD
32	68321 11423	9	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aASPD
33	68321 11427	10	   	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aASPD
34	68321 11813	7	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8DUST|9RCR|aASPD
35	68321 11813	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8DUST|9RCR|aASPD
36	68321 11823	9	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8DUST|9RCR|aASPD
37	68321 11316	8	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8BEXP|9RCR|aAART
38	68321 11326	9	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8BEXP|9RCR|aAART
39	68321 11416	7	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aAART
40	68321 11416	8	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aAART
41	68321 11426	9	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|257VULN|3CDMG|47DUR|67DMG|7BPWR|8FEWX|9RCR|aAART
42	43223 36333	1	   	276.50	DCR|4VULN|2DMG|1TLV|2LIT	17LIT|267aVULN|38BEXP|4TLV|57DMG|7BPWR|9RCR
