0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65332 11121	7	 * 	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8CDMG|9RCR|aDMG
2	65332 11126	7	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8CDMG|9RCR|aDUR
3	65332 11225	8	   	273.23	DCR|5VULN|1TLV|1DUR|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9DUR|aCDMG
4	65332 11133	9	   	271.70	DCR|5VULN|1DMG|1TLV	1RCVC|23457VULN|45BPWR|6TLV|8DMG|9LIT|aRCR
5	65332 11134	10	   	271.70	DCR|5VULN|1DMG|1TLV	1RCVC|23457VULN|45BPWR|6TLV|8DMG|9LIT|aRCR
6	66331 14731	5	 * 	271.01	DCR|4VULN|3DUR|1ASPD	1RCVC|246DUR|3469VULN|46BPWR|5MBVNT|7LIT|8ASPD|aRCR
7	66331 11324	5	   	267.95	DCR|4VULN|3DUR|1TLV	1RCVC|246DUR|3468VULN|46BPWR|5MBVNT|7BEXP|9TLV|aRCR
8	66331 11534	5	   	267.95	DCR|4VULN|3DUR|1TLV	1RCVC|246DUR|3469VULN|46BPWR|5MBVNT|7BEXP|8TLV|aRCR
9	65332 11232	9	 * 	267.11	DCR|5VULN|2TLV|1DMG	1RCVC|23457VULN|459BPWR|69TLV|8RCR|aDMG
10	21335 13663	4	 * 	266.94	DCR|4VULN|2DUR|1DMG	124LHND|3468VULN|46BPWR|56DUR|7DMG|9LIT|aRCR
11	66331 13461	5	   	266.56	DCR|4VULN|3DUR|2LIT	1RCVC|246DUR|3467VULN|467BPWR|5MBVNT|89LIT|aRCR
12	65332 11211	9	   	263.39	DCR|5VULN|1DMG|1TLV	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9CGEN|aDMG
13	65332 11241	9	   	263.39	DCR|5VULN|1DMG|1TLV	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9RMIN|aDMG
14	65332 11125	7	 * 	263.29	DCR|5VULN|2CDMG|1TLV	1RCVC|23457VULN|45BPWR|6TLV|8aCDMG|9RCR
15	65332 11216	8	   	263.29	DCR|5VULN|2TLV|1DUR	1RCVC|23457VULN|45BPWR|69TLV|8RCR|aDUR
16	66331 54442	10	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1RCVC|24DUR|346VULN|4BPWR|5MBVNT|7DMG|8TLV|9RCR|aASPD
17	66332 36322	4	   	263.03	DCR|4VULN|2DUR|1TLV	1RCVC|24DUR|3469VULN|4BPWR|5DMSP|7LIT|8RCR|aTLV
18	66323 12163	8	 * 	261.79	DCR|3VULN|2DMG|2DUR	1RCVC|26DUR|358VULN|45DMG|5BPWR|7LHND|9LIT|aRCR
19	65332 51321	6	   	260.79	DCR|5VULN|1DMG|1CDMG	1RCVC|23457VULN|45BPWR|6CDMG|8RMIN|9RCR|aDMG
20	65332 33421	5	   	260.69	DCR|5VULN|1DMG|1CDMG	1RCVC|23458VULN|45BPWR|6ERES|7CDMG|9RCR|aDMG
21	65332 11211	8	   	260.69	DCR|5VULN|2TLV|1CDMG	1RCVC|23457VULN|45BPWR|69TLV|8RCR|aCDMG
22	66331 54441	9	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1RCVC|24DUR|346VULN|4BPWR|5MBVNT|7DMG|8TLV|9RCR|aLIT
23	66331 14531	5	   	260.01	DCR|4VULN|3DUR	1RCVC|246DUR|3469VULN|46BPWR|5MBVNT|7LIT|8MLV|aRCR
24	65331 13163	7	   	260.00	DCR|4VULN|2CDMG|1TLV|1DUR	1RCVC|2348VULN|48BPWR|58CDMG|6RCR|78DUST|9DUR|aTLV
25	66331 14831	5	   	259.91	DCR|4VULN|3DUR	1RCVC|246DUR|3469VULN|46BPWR|5MBVNT|7LIT|8ERES|aRCR
26	65332 11221	8	   	259.58	DCR|5VULN|1TLV|1DUR	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9DUR|aZMB
27	65332 11222	8	   	259.58	DCR|5VULN|1TLV|1DUR	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9DUR|aCGEN
28	65332 11226	8	   	259.58	DCR|5VULN|1TLV|1DUR	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9DUR|aMLV
29	65332 11224	8	   	259.48	DCR|5VULN|1TLV|1DUR	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9DUR|aERES
30	65332 63324	8	   	259.48	DCR|5VULN|1TLV|1DUR	1RCVC|23458VULN|45BPWR|6MBVNT|7TLV|9DUR|aRCR
31	66333 15232	8	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	1RCVC|246DUR|349VULN|4BPWR|5TLV|7RCR|8BEXP|aCDMG
32	66333 15232	7	   	258.96	DCR|3VULN|3DUR|1TLV|1CDMG	1RCVC|246DUR|349VULN|4BPWR|5TLV|7RCR|8LWND|aCDMG
33	66333 15332	8	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RCVC|246DUR|349VULN|4BPWR|5TLV|7RCR|8DUST|aCDMG
34	21335 13162	4	   	258.64	DCR|4VULN|2DUR|1DMG	1249LHND|3469VULN|469BPWR|56DUR|7DMG|89DUST|aRCR
35	26335 13162	4	   	258.64	DCR|4VULN|2DUR|1DMG	149LHND|2RCVC|3469VULN|469BPWR|56DUR|7DMG|89DUST|aRCR
36	65332 21122	8	   	258.15	DCR|5VULN|1DMG|1ASPD	1RCVC|23457VULN|45BPWR|6ZMB|8DMG|9ASPD|aRCR
37	65332 11235	9	   	258.05	DCR|5VULN|2TLV|1ASPD	1RCVC|23457VULN|459BPWR|69TLV|8RCR|aASPD
38	66331 14241	5	 * 	257.43	DCR|3VULN|3DUR|1DMG	18RCVC|246DUR|346VULN|46BPWR|5MBVNT|7LIT|9DMG|aRCR
39	65332 11122	7	   	256.98	DCR|5VULN|1TLV|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8CDMG|9RCR|aFEWX
40	65332 11124	7	   	256.98	DCR|5VULN|1TLV|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8CDMG|9RCR|aBEXP
41	65332 11225	9	   	256.98	DCR|5VULN|1TLV|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9FEWX|aCDMG
42	65332 11123	7	   	256.88	DCR|5VULN|1TLV|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8CDMG|9RCR|aERES
43	65332 11232	8	   	256.88	DCR|5VULN|1TLV|1CDMG	1RCVC|23457VULN|45BPWR|6TLV|8RCR|9BBNT|aCDMG
44	65332 11213	8	   	256.70	DCR|5VULN|2TLV|1AART	1RCVC|23457VULN|45BPWR|69TLV|8RCR|aAART
45	66331 11523	5	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	1RCVC|246DUR|346VULN|46BPWR|5MBVNT|7BEXP|8TLV|9ASPD|aRCR
