0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16324 11621	8	 * 	271.78	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1CDMG|238VULN|4ASPD|5DUR|6RCR|7TLV|9AART|aDMG
2	16324 11613	9	 * 	271.01	DCR|4VULN|2CDMG|1TLV|1DUR|1ASPD	1aCDMG|2389VULN|4ASPD|5DUR|6RCR|7TLV
3	16324 61313	10	 * 	270.33	DCR|3VULN|3DUR|2ASPD|2CDMG	19CDMG|239VULN|49ASPD|567DUR|8BELT|9BPWR|aRCR
4	12613 42225	5	 * 	268.53	DCR|2VULN|3DMG|2DUR|3CDMG	17aCDMG|27LWND|3BELT|4aDUR|5aVULN|679DMG|7aBPWR|8RCR
5	16335 33412	7	 * 	267.16	DCR|4VULN|1DMG|1DUR|1CDMG|1AART	1CDMG|2378VULN|4FEWX|5AART|6DMG|9DUR|aRCR
6	16321 61522	9	   	266.77	DCR|3VULN|2DUR|2ASPD|2CDMG|1AART	19CDMG|239VULN|45ASPD|6FEWX|79DUR|8AART|9BPWR|aRCR
7	35521 11316	8	   	266.24	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1DMSP|29VULN|3CGEN|49DUR|5CDMG|6RCR|7TLV|89DMG|9BPWR|aAART
8	16121 27454	3	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	1aCDMG|24aVULN|3BEXP|5MBVNT|6TLV|79aDUR|8RCR|aBPWR
9	16121 27454	2	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	1aCDMG|24aVULN|3BEXP|5MBVNT|6TLV|79aDUR|8RCR|aBPWR
10	16331 27454	3	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	1aCDMG|23aVULN|4BEXP|5MBVNT|6TLV|79aDUR|8RCR|aBPWR
11	16316 12513	6	 * 	264.80	DCR|3VULN|2DMG|3CDMG|1TLV	19aCDMG|239VULN|4ERES|5TLV|6LEGI|79DMG|8RCR|9BPWR
12	16324 11611	10	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2389VULN|4ASPD|5DUR|6RCR|7TLV|aFEWX
13	16324 11611	9	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2389VULN|4ASPD|5DUR|6RCR|7TLV|aLWND
14	16324 11612	9	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2389VULN|4ASPD|5DUR|6RCR|7TLV|aLHND
15	16324 11613	10	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2389VULN|4ASPD|5DUR|6RCR|7TLV|aLHND
16	16623 21621	8	 * 	264.68	DCR|4VULN|2DUR|3CDMG	168CDMG|2568VULN|3BELT|4DMSP|68BPWR|78DUR|9RCR|aLWND
17	16623 21622	8	   	264.68	DCR|4VULN|2DUR|3CDMG	168CDMG|2568VULN|3BELT|4DMSP|68BPWR|78DUR|9RCR|aFEWX
18	16623 21623	8	   	264.68	DCR|4VULN|2DUR|3CDMG	168CDMG|2568VULN|3BELT|4DMSP|68BPWR|78DUR|9RCR|aMLV
