0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12611 46112	9	 * 	286.56	DCR|3VULN|2DMG|2TLV|2DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9aDUR
2	12611 46111	8	 * 	286.34	DCR|3VULN|3DMG|3TLV|2LIT|1AART	17aDMG|278VULN|3RCVC|47aTLV|5AART|6RCR|7aBPWR|9aLIT
3	12612 35162	5	   	282.37	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DMG|29aVULN|3RCVC|4TLV|5MBVNT|6CDMG|79DUR|8RCR|9BPWR
4	12611 46112	8	   	280.29	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9LIT|aDUR
5	12611 46113	10	   	280.29	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9DUR|aASPD
6	16622 13224	2	 * 	279.35	DCR|5VULN|2DMG|2CDMG	19DMG|2LIT|35689VULN|49CDMG|7BBNT|9BPWR|aRCR
7	16622 13224	3	   	279.35	DCR|5VULN|2DMG|2CDMG	19DMG|2LIT|35689VULN|49CDMG|7BBNT|9BPWR|aRCR
8	52631 13413	4	   	277.18	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	19TLV|247VULN|3RCVC|59DMG|69LIT|8RCR|9BPWR|aDUR
9	52631 13413	5	   	277.18	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	19TLV|247VULN|3RCVC|59DMG|69LIT|8RCR|9BPWR|aDUR
10	12616 13413	5	   	277.18	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	19DMG|257VULN|3RCVC|49TLV|69LIT|8RCR|9BPWR|aDUR
11	52232 53212	3	 * 	275.64	DCR|3VULN|3DUR|2TLV|2LIT	19TLV|269VULN|3ASPD|48LIT|579DUR|9BPWR|aRCR
12	12612 73462	7	 * 	274.10	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	19DMG|29aVULN|3RCVC|4TLV|5MBVNT|6RCR|7DUR|89CDMG|9BPWR
13	52226 34122	5	 * 	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|2589VULN|3ASPD|47DUR|6CDMG|aRCR
14	12241 22156	3	 * 	273.51	DCR|2VULN|3DUR|2DMG|1TLV|2ASPD	19DMG|26VULN|39ASPD|459DUR|7RPLT|8RCR|9BPWR|aTLV
15	12241 22154	3	 * 	272.00	DCR|3VULN|3DUR|2DMG|2ASPD	19DMG|26aVULN|39ASPD|459DUR|7RPLT|8RCR|9BPWR
16	12611 46111	9	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9DUR|aZMB
17	12611 46112	10	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9DUR|aDMSP
18	12611 46113	9	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9DUR|aRMIN
19	12611 46122	8	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9FEWX|aDUR
20	12611 46132	9	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47TLV|5AART|6RCR|7BPWR|9LWND|aDUR
21	12611 46111	10	   	271.88	DCR|3VULN|2DMG|3TLV|1DUR|1AART	17DMG|278VULN|3RCVC|47aTLV|5AART|6RCR|7BPWR|9DUR
22	12631 42523	10	   	271.38	DCR|3VULN|3DMG|2TLV|1AART	15aDMG|24aVULN|3RCVC|6RMIN|7RCR|8aTLV|9AART|aBPWR
23	12432 11262	9	   	271.14	DCR|5VULN|2DMG|2CDMG	18DMG|2678aVULN|3ZMB|4CGEN|58CDMG|8BPWR|9RCR
24	56232 23423	6	 * 	270.64	DCR|5VULN|1TLV|1DUR|2LIT|1NUKE	1TLV|25LIT|3NUKE|4567aVULN|5BPWR|8RCR|9DUR
25	52462 11212	8	 * 	269.50	DCR|4VULN|2TLV|1DMG|2CDMG	18TLV|2678VULN|3ZMB|4DMG|58CDMG|8BPWR|9CGEN|aRCR
26	12616 13411	5	   	269.23	DCR|3VULN|2DMG|2TLV|2LIT	19DMG|257VULN|3RCVC|49TLV|69LIT|8RCR|9BPWR|aASPD
27	52631 13411	5	   	269.23	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|247VULN|3RCVC|59DMG|69LIT|8RCR|9BPWR|aASPD
28	52631 13411	4	   	269.23	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|247VULN|3RCVC|59DMG|69LIT|8RCR|9BPWR|aASPD
29	12432 11266	9	 * 	268.45	DCR|4VULN|3DMG|2CDMG	18aDMG|2678VULN|3ZMB|4CGEN|58CDMG|8BPWR|9RCR
30	16332 21131	7	 * 	268.09	DCR|2VULN|3DMG|2DUR|1TLV	158DMG|2LIT|38CGEN|45VULN|58BPWR|6TLV|78DUR|9ERES|aRCR
31	16332 26131	6	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	158DMG|2LIT|38CGEN|45VULN|58BPWR|6TLV|78DUR|9ERES|aRCR
