0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23214 16332	6	 * 	290.13	DCR|3VULN|3DUR|2DMG|2TLV	14aDUR|269VULN|3aTLV|5RCVC|7RCR|8aDMG|aBPWR
2	23145 43312	9	 * 	286.75	DCR|3VULN|3DUR|1TLV|3CDMG|2ASPD	148DUR|289VULN|3FEWX|59ASPD|6RCR|789CDMG|89BPWR|aTLV
3	23145 43311	9	 * 	281.60	DCR|4VULN|3DUR|3CDMG|2ASPD	148DUR|289aVULN|3FEWX|59ASPD|6RCR|789CDMG|89BPWR
4	61432 33252	3	 * 	280.90	DCR|4VULN|2DMG|1TLV|1CDMG	1LIT|24DMG|3457VULN|4BPWR|6LWND|8CDMG|9RCR|aTLV
5	25225 36332	4	   	279.09	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	18aDUR|28ERES|3aDMG|4CDMG|58TLV|6RPLT|7RCR|8aBPWR|9aVULN
6	23612 61132	2	 * 	278.55	DCR|5VULN|2TLV|2DUR|1NUKE	1aDUR|2359aVULN|4aTLV|6NUKE|7RCVC|8RCR|aBPWR
7	26612 61132	1	   	278.55	DCR|5VULN|2TLV|2DUR|1NUKE	1aDUR|2359aVULN|4aTLV|6NUKE|7RCVC|8RCR|aBPWR
8	61432 32631	3	   	276.91	DCR|4VULN|2DMG|1TLV|1AART	1LIT|24DMG|3459VULN|4BPWR|6LWND|7RCR|8TLV|aAART
9	21625 16332	6	 * 	276.80	DCR|4VULN|3DUR|2DMG	13aDUR|2DMSP|4ERES|569aVULN|7RCR|8aDMG|aBPWR
10	23315 16332	6	   	276.70	DCR|4VULN|3DUR|2DMG	14aDUR|2569VULN|3aERES|7RCR|8aDMG|aBPWR
11	25261 22132	6	   	276.70	DCR|4VULN|3DUR|2DMG	14aDUR|26ERES|3aDMG|579aVULN|8RCR|aBPWR
12	61432 32623	3	   	276.10	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|24DMG|345VULN|4BPWR|6LWND|7RCR|8TLV|9DUR|aCDMG
13	61432 13252	3	   	276.10	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|24DMG|345VULN|4BPWR|6DMSP|7DUR|8CDMG|9RCR|aTLV
14	21655 13132	7	 * 	273.53	DCR|4VULN|3DUR|2TLV	13aDUR|2DMSP|4aTLV|569aVULN|7RMIN|8RCR|aBPWR
15	23214 13132	7	   	273.53	DCR|4VULN|3DUR|2TLV	14aDUR|269aVULN|3aTLV|5RCVC|7RMIN|8RCR|aBPWR
16	23212 61132	4	   	273.43	DCR|4VULN|3DUR|2TLV|1NUKE	14aDUR|259aVULN|3aTLV|6NUKE|7RCVC|8RCR|aBPWR
17	23262 61132	3	   	273.43	DCR|4VULN|3DUR|2TLV|1NUKE	14aDUR|259aVULN|3aTLV|6NUKE|7RCVC|8RCR|aBPWR
18	23212 45622	6	 * 	272.91	DCR|2VULN|3DMG|3DUR|1TLV	149DUR|29VULN|3TLV|5LEGI|6RCR|7MLV|89aDMG|9BPWR
19	23212 41322	7	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	149DUR|29VULN|3TLV|5LEGI|6RCR|7ERES|89aDMG|9BPWR
20	23312 44322	6	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	149DUR|29VULN|3ERES|5LEGI|6RCR|7TLV|89aDMG|9BPWR
21	23312 46322	7	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	149DUR|29VULN|3ERES|5LEGI|6RCR|7TLV|89aDMG|9BPWR
22	23214 16333	6	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	14DUR|269aVULN|3TLV|5RCVC|7RCR|8DMG
23	23315 16336	6	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	14DUR|2569VULN|3ERES|7RCR|8DMG|aTLV
24	61432 32613	3	 * 	271.51	DCR|3VULN|3DMG|1TLV|1AART	1LIT|249DMG|345VULN|4BPWR|6LWND|7RCR|8TLV|aAART
25	23243 31121	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|267aVULN|3TLV|4BEXP|5CDMG|8DMG|9RCR
26	23243 31123	10	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|267aVULN|3TLV|4BEXP|5CDMG|8DMG|9RCR
