0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14231 23552	8	 * 	292.58	DCR|3VULN|3DMG|2TLV|1DUR|1AART	167DMG|2AART|3DUR|47TLV|57aVULN|7BPWR|8LIT|9RCR
2	12231 33663	1	 * 	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17DMG|278VULN|36DUR|4ERES|57CDMG|7BPWR|9RCR|aTLV
3	16332 33663	6	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9RCR|aTLV
4	16332 33663	5	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9RCR|aTLV
5	16333 33663	5	   	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	17DMG|27CDMG|36DUR|4ERES|578VULN|7BPWR|9RCR|aTLV
6	12231 33664	1	 * 	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	17DMG|278VULN|36aDUR|4ERES|57CDMG|7BPWR|9RCR
7	31423 11334	2	 * 	285.41	DCR|4VULN|3DUR|3LIT|1CDMG	138LIT|238aVULN|38BPWR|4LHND|5CDMG|6RCR|789DUR
8	23342 12411	1	 * 	284.19	DCR|4VULN|2DMG|3ASPD|1SELL	1SELL|257aVULN|3LIT|47DMG|679ASPD|7BPWR|8RCR
9	11133 33663	6	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|27DUR|3CDMG|4ERES|578VULN|6RCVC|7BPWR|9RCR|aTLV
10	11133 53663	5	   	283.38	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|27DUR|3CDMG|4ERES|578VULN|6RCVC|7BPWR|9RCR|aTLV
11	11133 53663	6	   	283.28	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	17DMG|27DUR|3CDMG|46ERES|578VULN|7BPWR|9RCR|aTLV
12	11152 35412	9	   	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	19DMG|29DUR|36CDMG|4AART|5LHND|789VULN|9BPWR|aRCR
13	13131 61218	9	 * 	282.32	DCR|3VULN|3DMG|3DUR|1SELL	17aDMG|2SELL|3LWND|47aDUR|5RMIN|67aVULN|7aBPWR|8MBVNT|9RCR
14	13321 61218	9	 * 	282.22	DCR|3VULN|3DMG|3DUR|1SELL	17aDMG|2SELL|37aDUR|4LEGI|5RMIN|67aVULN|7aBPWR|8MBVNT|9RCR
15	23342 12356	1	 * 	281.21	DCR|4VULN|2DMG|2ASPD|2LIT|1SELL	1SELL|257aVULN|38LIT|47DMG|67ASPD|7BPWR|9RCR
16	56312 32363	6	 * 	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	18aERES|28aCDMG|35DUR|4TLV|678aVULN|8aBPWR|9RCR
17	56312 32363	5	   	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	18aERES|28aCDMG|35DUR|4TLV|678aVULN|8aBPWR|9RCR
18	56313 32363	5	   	280.73	DCR|4VULN|2DUR|3CDMG|1TLV	18aERES|28aCDMG|36DUR|4TLV|578aVULN|8aBPWR|9RCR
19	11133 33664	6	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	17DMG|27aDUR|3CDMG|4ERES|578VULN|6RCVC|7BPWR|9RCR
20	11641 23115	10	 * 	279.72	DCR|2VULN|3DMG|2DUR|2TLV|2AART	167DMG|28DUR|37TLV|49AART|57VULN|7BPWR|aRCR
21	14231 23115	10	   	279.72	DCR|2VULN|3DMG|2DUR|2TLV|2AART	167DMG|29AART|38DUR|47TLV|57VULN|7BPWR|aRCR
22	14622 13115	10	   	279.72	DCR|2VULN|3DMG|2DUR|2TLV|2AART	137DMG|29AART|48DUR|57TLV|67VULN|7BPWR|aRCR
23	16321 61222	10	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	17DMG|2CDMG|37DUR|4LEGI|5RMIN|679VULN|7BPWR|8AART|aRCR
24	14231 53422	10	   	276.39	DCR|3VULN|2DMG|2TLV|2AART|1DUR	17DMG|29AART|3DUR|47TLV|567VULN|7BPWR|8LWND|aRCR
25	14131 23552	8	   	276.33	DCR|3VULN|3DMG|2TLV|1AART	167DMG|2AART|3LHND|47TLV|57aVULN|7BPWR|8LIT|9RCR
26	16333 33663	6	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	17DMG|27CDMG|3DUR|4ERES|578VULN|6RCVC|7BPWR|9RCR|aTLV
27	12231 53663	1	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	17DMG|278VULN|3DUR|4ERES|57CDMG|6RCVC|7BPWR|9RCR|aTLV
28	52125 35213	1	 * 	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1aERES|249aVULN|3TLV|5RMIN|6RCR|7CDMG|8aDMG|aBPWR
29	23342 12422	1	 * 	274.66	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|257aVULN|3LIT|47DMG|67ASPD|7BPWR|8RCR|9ZMB
30	16613 33251	2	 * 	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	137DMG|27CDMG|4DUR|5MLV|678VULN|7BPWR|9RCR|aBEXP
31	16613 33251	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	137DMG|27CDMG|4DUR|5MLV|678VULN|7BPWR|9RCR|aBEXP
32	16613 33252	2	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	137DMG|27CDMG|4DUR|5MLV|678VULN|7BPWR|9RCR|aRMIN
33	16613 33252	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	137DMG|27CDMG|4DUR|5MLV|678VULN|7BPWR|9RCR|aRMIN
34	16613 33253	2	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	137DMG|27CDMG|4DUR|5MLV|678VULN|7BPWR|9RCR|aCGEN
35	16613 33253	3	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	137DMG|27CDMG|4DUR|5MLV|678VULN|7BPWR|9RCR|aCGEN
36	23342 12433	1	 * 	274.56	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|257aVULN|3LIT|47DMG|67ASPD|7BPWR|8RCR|9BBNT
37	23342 12452	1	 * 	274.56	DCR|4VULN|2DMG|2ASPD|1SELL	1SELL|257aVULN|3LIT|47DMG|67ASPD|7BPWR|8RCR|9ERES
38	16312 33615	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|34DUR|5CGEN|678VULN|7BPWR|9BBNT|aRCR
39	16313 33255	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|34DUR|5MLV|679VULN|7BPWR|8TBNT|aRCR
40	16313 33615	3	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|34DUR|5MLV|678VULN|7BPWR|9BBNT|aRCR
41	12231 33661	1	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|278VULN|36DUR|4ERES|57CDMG|7BPWR|9RCR|aMLV
42	12231 33662	1	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|278VULN|36DUR|4ERES|57CDMG|7BPWR|9RCR|aLHND
43	12231 33666	1	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|278VULN|36DUR|4ERES|57CDMG|7BPWR|9RCR|aBELT
44	16332 33661	6	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9RCR|aMLV
45	16332 33661	5	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9RCR|aMLV
46	16332 33662	6	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9RCR|aLHND
47	16332 33662	5	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9RCR|aLHND
48	16333 33661	5	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|36DUR|4ERES|578VULN|7BPWR|9RCR|aMLV
49	16333 33662	5	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|36DUR|4ERES|578VULN|7BPWR|9RCR|aLHND
50	16316 33412	9	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	19DMG|26CDMG|39DUR|489VULN|5DLOT|7LEGI|9BPWR|aRCR
51	12231 33615	1	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|278VULN|36DUR|4ERES|57CDMG|7BPWR|9BBNT|aRCR
52	16332 33615	5	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9BBNT|aRCR
53	16332 33615	6	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|35DUR|4ERES|678VULN|7BPWR|9BBNT|aRCR
54	16333 33615	5	   	273.35	DCR|3VULN|2DMG|2DUR|2CDMG	17DMG|27CDMG|36DUR|4ERES|578VULN|7BPWR|9BBNT|aRCR
55	13314 33255	5	 * 	273.20	DCR|3VULN|2DMG|2DUR|2TLV|1SELL	17DMG|2SELL|36DUR|479VULN|57TLV|7BPWR|8TBNT|aRCR
56	13314 33615	5	 * 	273.20	DCR|3VULN|2DMG|2DUR|2TLV|1SELL	17DMG|2SELL|36DUR|478VULN|57TLV|7BPWR|9BBNT|aRCR
57	23345 21316	1	   	272.65	DCR|3VULN|2DMG|2DUR|1ASPD|1SELL	1SELL|289VULN|3LIT|48DMG|5ASPD|6BEXP|78DUR|8BPWR|aRCR
58	16364 33122	3	   	272.45	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV|1AART	17DMG|27CDMG|36DUR|4TLV|57VULN|7BPWR|8ERES|9AART|aRCR
59	31423 11315	2	   	272.09	DCR|4VULN|2DUR|3LIT|1CDMG	138LIT|238aVULN|38BPWR|4LHND|5CDMG|6RCR|78DUR|9BBNT
60	11613 41163	4	 * 	271.96	ACR|3VULN|3DMG|2DUR|2TLV|2LIT	178DMG|2aDUR|38TLV|4RCR|58aVULN|6RMIN|8aBPWR|9aLIT
61	11616 31163	4	   	271.96	ACR|3VULN|3DMG|2DUR|2TLV|2LIT	178DMG|2aDUR|38TLV|4RCR|5RMIN|68aVULN|8aBPWR|9aLIT
62	34212 13563	6	   	271.76	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1LIT|2ASPD|37DMG|4TLV|589VULN|6CDMG|aRCR
63	33261 11311	5	   	271.43	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	18LIT|2TLV|38DMG|4CDMG|5FEWX|6RCR|78DUR|8BPWR|9aVULN
64	33262 11311	5	   	271.43	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	18LIT|2TLV|38DMG|4CDMG|5LWND|6RCR|78DUR|8BPWR|9aVULN
65	14251 53312	10	   	271.30	DCR|4VULN|2DMG|1DUR|1AART	17DMG|2AART|3DUR|47ZMB|5679VULN|7BPWR|8RCVC|aRCR
66	15161 11311	3	   	271.19	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	18DMG|2LHND|38CDMG|4TLV|5LIT|6RCR|78DUR|8BPWR|9aVULN
67	14638 23442	9	 * 	270.51	DCR|4VULN|3DMG|1AART	137DMG|2AART|4MBVNT|579aVULN|6RMIN|7aBPWR|8RCR
68	14638 23444	9	   	270.51	DCR|4VULN|3DMG|1AART	137DMG|2AART|4MBVNT|579aVULN|6RMIN|7BPWR|8RCR
69	11114 63122	6	   	269.85	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG|1AART	17DMG|27DUR|3CDMG|46VULN|57TLV|7BPWR|8ERES|9AART|aRCR
