0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33315 33622	7	 * 	282.46	DCR|3VULN|3DMG|3DUR	1RPLT|247DUR|3RCVC|57aVULN|67aDMG|7aBPWR|8TBNT|9RCR
2	11122 22151	3	 * 	276.02	DCR|4VULN|2DMG|2DUR	19ERES|279aVULN|38DMG|4BEXP|59DUR|6RCR|9BPWR
3	11142 22151	4	   	275.92	DCR|4VULN|2DMG|2DUR	19ERES|279aVULN|38DMG|4DUST|59DUR|6RCR|9BPWR
4	32226 12252	4	 * 	271.20	ACR|4VULN|3DMG|3CDMG|1TLV	1RPLT|289CDMG|3BEXP|4RCR|589DMG|6789VULN|89BPWR|aTLV
5	11122 22251	2	 * 	268.92	DCR|5VULN|2DUR|1ASPD	19ERES|2789aVULN|3ASPD|4BEXP|59DUR|6RCR|9BPWR
6	12122 22251	1	   	268.92	DCR|5VULN|2DUR|1ASPD	19ERES|2789aVULN|3ASPD|4BEXP|59DUR|6RCR|9BPWR
7	33613 12235	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|38DMG|4CDMG|5LHND|678VULN|8BPWR|9FEWX|aRCR
8	33613 62235	6	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|38DMG|4CDMG|5LHND|678VULN|8BPWR|9FEWX|aRCR
9	33622 12235	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|38DMG|4LWND|5CDMG|678VULN|8BPWR|9FEWX|aRCR
10	33652 12235	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|38DMG|4LHND|5CDMG|678VULN|8BPWR|9FEWX|aRCR
11	33632 12235	5	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|38DMG|4DUST|5CDMG|678VULN|8BPWR|9FEWX|aRCR
12	33211 36256	5	   	266.71	DCR|3VULN|3DUR|2DMG	1RPLT|24aDUR|3DLOT|5FEWX|67aVULN|8RCR|9aDMG|aBPWR
13	43622 21325	1	   	266.42	DCR|5VULN|2DUR	1aBEXP|2LIT|3478aVULN|5RMIN|6aDUR|9RCR|aBPWR
14	32226 12254	4	   	265.96	ACR|4VULN|3DMG|3CDMG|1ASPD	1RPLT|289CDMG|3BEXP|4RCR|589DMG|6789VULN|89BPWR|aASPD
15	11153 22151	3	   	261.44	DCR|4VULN|2DMG|1DUR	19ERES|279aVULN|38DMG|4DUR|59BEXP|6RCR|9BPWR
16	11122 22111	3	   	261.34	DCR|4VULN|2DMG|1DUR	1ERES|279aVULN|38DMG|4BEXP|5DUR|6RCR
17	11153 22111	3	   	261.34	DCR|4VULN|2DMG|1DUR	1ERES|279aVULN|38DMG|4DUR|5BEXP|6RCR
18	11142 22111	4	   	261.24	DCR|4VULN|2DMG|1DUR	1ERES|279aVULN|38DMG|4DUST|5DUR|6RCR
19	11226 22151	3	 * 	260.74	DCR|4VULN|3DMG	19ERES|279aVULN|3BEXP|4DUST|589DMG|6RCR|9BPWR
20	13232 54121	9	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1ERES|2CGEN|3DMG|4DUR|567aVULN|8TLV|9RCR
21	11162 41122	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1ERES|2578VULN|3DMG|4CGEN|6TLV|9RCR|aDUR
22	11214 56211	7	   	259.48	DCR|5VULN|1TLV|1DUR	1ERES|2489aVULN|3BEXP|5TLV|6RCR|7DUR
23	32122 12235	4	 * 	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	1RPLT|28CDMG|38DMG|4LHND|5DUR|678VULN|8BPWR|9FEWX|aRCR
24	32122 12235	3	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1RPLT|28CDMG|38DMG|4DUST|5DUR|678VULN|8BPWR|9FEWX|aRCR
25	32142 12235	4	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1RPLT|28CDMG|38DMG|4DUST|5DUR|678VULN|8BPWR|9FEWX|aRCR
26	41122 22653	3	   	258.64	DCR|4VULN|2DUR|1DMG	149BEXP|2LHND|3789VULN|59DUR|6RCR|9BPWR|aDMG
27	11153 22551	3	   	258.44	DCR|4VULN|2DUR|1DMG	19ERES|279aVULN|3DMG|48DUR|59BEXP|6RCR|9BPWR
28	11122 22511	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|279aVULN|3DMG|4BEXP|58DUR|6RCR
29	11153 22511	3	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|279aVULN|3DMG|48DUR|5BEXP|6RCR
30	11612 51325	10	   	258.34	DCR|4VULN|2DUR|1DMG	15aERES|247aVULN|3FEWX|6DMG|8aDUR|9RCR|aBPWR
31	11612 52325	10	   	258.34	DCR|4VULN|2DUR|1DMG	15aERES|248aVULN|3FEWX|6DMG|7aDUR|9RCR|aBPWR
32	11142 22511	4	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|279aVULN|3DMG|4DUST|58DUR|6RCR
33	11222 22251	2	   	257.91	DCR|5VULN|2DUR	19ERES|2789aVULN|3ZMB|4BEXP|59DUR|6RCR|9BPWR
34	12222 22251	1	   	257.91	DCR|5VULN|2DUR	19ERES|2789aVULN|3ZMB|4BEXP|59DUR|6RCR|9BPWR
35	11122 22556	3	   	257.33	DCR|3VULN|3DUR|1DMG	19ERES|279VULN|3DMG|4BEXP|589DUR|6RCR|9BPWR|aLIT
36	33614 23225	9	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|28DUR|38DMG|4CDMG|5RMIN|6DUST|78VULN|8BPWR|9TLV|aRCR
37	33615 23225	9	 * 	256.20	DCR|2VULN|2DUR|1DMG|2CDMG|1TLV|1ASPD	1RPLT|28DUR|3DMG|48CDMG|5ASPD|6DUST|78VULN|8BPWR|9TLV|aRCR
38	11166 13231	2	   	256.09	DCR|4VULN|2DMG|1ASPD	18ERES|289aVULN|3ASPD|4MLV|58DMG|6BBNT|7RCR|8BPWR
39	12166 13231	1	   	256.09	DCR|4VULN|2DMG|1ASPD	18ERES|289aVULN|3ASPD|4MLV|58DMG|6BBNT|7RCR|8BPWR
40	32136 63154	10	 * 	255.90	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	1RPLT|2aCDMG|3DMG|4MBVNT|5aASPD|67aVULN|8RCR|9AART|aBPWR
41	11633 42363	2	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19ERES|29aVULN|3CDMG|4TLV|59DUR|6AART|7RMIN|8RCR|9BPWR
42	12633 42363	1	   	255.29	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	19ERES|29aVULN|3CDMG|4TLV|59DUR|6AART|7RMIN|8RCR|9BPWR
43	32226 12253	4	   	254.95	ACR|4VULN|3DMG|3CDMG	1RPLT|289CDMG|3BEXP|4RCR|589DMG|6789VULN|89BPWR|aBELT
44	32226 12256	4	   	254.95	ACR|4VULN|3DMG|3CDMG	1RPLT|289CDMG|3BEXP|4RCR|589DMG|6789VULN|89BPWR|aMLV
45	11164 41122	10	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1ERES|278VULN|36DMG|4CGEN|5TLV|9RCR|aDUR
