0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52132 42214	4	 * 	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479aVULN|57DUR|6RCR|7BPWR|8CDMG
2	52233 53236	8	 * 	289.45	DCR|4VULN|3DUR|2DMG	1RPLT|28DMG|3458VULN|689DUR|7BELT|8BPWR|aRCR
3	52232 13355	3	 * 	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1RPLT|29DMG|369VULN|4TBNT|56ASPD|69BPWR|7CDMG|89DUR|aRCR
4	55213 53122	6	 * 	282.85	DCR|4VULN|2DMG|2ASPD|1DUR	1RPLT|235aVULN|4aASPD|6DUR|7CGEN|8RCR|9aDMG|aBPWR
5	52233 62124	5	 * 	278.38	DCR|5VULN|2DMG|1CDMG	1RPLT|26DMG|34567VULN|6BPWR|8CDMG|9BBNT|aRCR
6	36141 61212	6	   	277.57	DCR|3VULN|3DUR|2DMG|1ASPD|1SELL	1RMIN|247DUR|37DMG|578VULN|6SELL|7BPWR|9RCR|aASPD
7	36251 61212	6	   	277.57	DCR|3VULN|3DUR|2DMG|1ASPD|1SELL	1RMIN|237DUR|47DMG|578VULN|6SELL|7BPWR|9RCR|aASPD
8	55634 32223	10	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1RPLT|269aVULN|3DUR|4MBVNT|5aDMG|7aLIT|8RCR|aBPWR
9	36141 61211	6	   	276.23	DCR|3VULN|3DUR|2DMG|1AART|1SELL	1RMIN|247DUR|37DMG|578VULN|6SELL|7BPWR|9RCR|aAART
10	36251 61211	6	   	276.23	DCR|3VULN|3DUR|2DMG|1AART|1SELL	1RMIN|237DUR|47DMG|578VULN|6SELL|7BPWR|9RCR|aAART
11	52233 53224	8	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|28DMG|3458VULN|68DUR|7BELT|8BPWR|9LHND|aRCR
12	52233 53224	9	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|28DMG|3458VULN|68DUR|7BELT|8BPWR|9LWND|aRCR
13	52231 23315	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|27DMG|3489VULN|57DUR|67LWND|7BPWR|aRCR
14	52232 13315	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|27DMG|3489VULN|57LWND|67DUR|7BPWR|aRCR
15	55233 35122	5	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|235aVULN|4CGEN|6aDUR|7RMIN|8RCR|9aDMG|aBPWR
16	52353 13315	5	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|27DMG|3RCVC|4LWND|5789VULN|67DUR|7BPWR|aRCR
17	52532 23315	4	   	276.22	DCR|4VULN|2DMG|2DUR	1RPLT|27DMG|35DUR|4789VULN|67LWND|7BPWR|aRCR
18	52132 42124	4	   	276.12	DCR|4VULN|2DMG|2DUR	1RPLT|27DMG|3DUST|479aVULN|57DUR|6RCR|7BPWR|8LHND
19	52132 42334	4	   	276.12	DCR|4VULN|2DMG|2DUR	1RPLT|27DMG|3DUST|479aVULN|57DUR|6RCR|7BPWR|8BEXP
20	12226 61533	3	   	276.12	DCR|4VULN|2DMG|2DUR	18LHND|28DUR|3ERES|4569VULN|78DMG|8BPWR|aRCR
21	52132 42611	4	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|27DMG|3DUST|479VULN|57DUR|6RCR|7BPWR|8LIT|aCDMG
