0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33174 14415	10	 * 	308.03	DCR|4VULN|3DMG|2DUR|1TLV	12aDMG|2aBPWR|3MBVNT|4TLV|5aDUR|689aVULN|7RCR
2	33112 22233	2	 * 	305.20	DCR|4VULN|3DMG|3DUR	129DMG|269BPWR|36CGEN|4569VULN|7RCR|89aDUR
3	33165 34415	10	   	297.16	DCR|4VULN|3DMG|2TLV|1DUR	12aDMG|2aBPWR|3MBVNT|4DUR|589aVULN|6aTLV|7RCR
4	33112 22234	2	   	291.98	DCR|4VULN|3DMG|2DUR	129DMG|269BPWR|36CGEN|4569VULN|7RCR|89DUR|aBEXP
5	33112 22236	2	   	291.98	DCR|4VULN|3DMG|2DUR	129DMG|269BPWR|36CGEN|4569VULN|7RCR|89DUR|aLWND
6	36112 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|358LHND|468aVULN|68BPWR|9RCR
7	36114 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|38LHND|468aVULN|5DMSP|68BPWR|9RCR
8	36116 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|38LHND|468aVULN|5RCVC|68BPWR|9RCR
9	36134 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|38LHND|4RCVC|568aVULN|68BPWR|9RCR
10	36314 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|38LWND|468aVULN|5DMSP|68BPWR|9RCR
11	36316 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|38LWND|468aVULN|5RCVC|68BPWR|9RCR
12	36334 33412	7	   	291.98	DCR|4VULN|3DMG|2DUR	168DMG|27DUR|38LWND|4RCVC|568aVULN|68BPWR|9RCR
13	33112 22232	2	   	291.88	DCR|4VULN|3DMG|2DUR	129DMG|269BPWR|36CGEN|4569VULN|7RCR|89DUR|aERES
14	33112 22231	2	   	291.73	DCR|4VULN|3DMG|2DUR|1SELL	129DMG|269BPWR|36CGEN|4569VULN|7RCR|89DUR|aSELL
15	33134 14415	10	   	291.68	DCR|4VULN|3DMG|2DUR	12aDMG|2aBPWR|3MBVNT|4ERES|5aDUR|689aVULN|7RCR
16	34333 23144	1	   	291.16	DCR|4VULN|2DMG|2CDMG|1DUR	1aDMG|249aVULN|3DUST|5AART|6DUR|7aCDMG|8RCR|aBPWR
17	36112 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|358LHND|468VULN|68BPWR|9RCR|aTLV
18	36114 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|38LHND|468VULN|5DMSP|68BPWR|9RCR|aTLV
19	36116 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|38LHND|468VULN|5RCVC|68BPWR|9RCR|aTLV
20	36134 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|38LHND|4RCVC|568VULN|68BPWR|9RCR|aTLV
21	36314 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|38LWND|468VULN|5DMSP|68BPWR|9RCR|aTLV
22	36316 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|38LWND|468VULN|5RCVC|68BPWR|9RCR|aTLV
23	36334 33413	7	   	285.59	DCR|3VULN|3DMG|2DUR|1TLV	168DMG|27DUR|38LWND|4RCVC|568VULN|68BPWR|9RCR|aTLV
24	33174 14475	10	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	12aDMG|2aBPWR|3MBVNT|4TLV|5aDUR|68aVULN|7RCR|9RCVC
25	33174 14615	10	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	12aDMG|2aBPWR|3MBVNT|4TLV|5aDUR|69aVULN|7RCR|8RCVC
26	36236 62233	8	   	284.28	DCR|3VULN|3DMG|3LIT|1DUR	167DMG|2DUR|379LIT|467VULN|5AART|67BPWR|8LWND|aRCR
27	33115 22233	2	   	282.56	DCR|3VULN|3DMG|3DUR	129DMG|269BPWR|36CGEN|469VULN|5DMSP|7RCR|89aDUR
28	33115 34715	10	   	280.91	DCR|4VULN|3DMG|2TLV	12aDMG|2aBPWR|3MBVNT|4LWND|589aVULN|6aTLV|7RCR
29	33145 34415	10	   	280.91	DCR|4VULN|3DMG|2TLV	12aDMG|2aBPWR|3MBVNT|4BEXP|589aVULN|6aTLV|7RCR
30	32642 11132	9	   	280.07	DCR|4VULN|3DUR|1DMG	1DMG|2RMIN|357DUR|4569VULN|5BPWR|8LIT|aRCR
31	32642 11136	10	   	280.07	DCR|4VULN|3DUR|1DMG	1DMG|2RMIN|357DUR|4569VULN|5BPWR|8LIT|aRCR
32	36661 11132	9	   	279.97	DCR|4VULN|3DUR|1DMG	1DMG|247DUR|3469VULN|4BPWR|5ERES|8LIT|aRCR
33	36236 24231	10	 * 	279.08	DCR|2VULN|3DUR|2DMG|2ASPD	17DMG|278DUR|3LIT|49VULN|5AART|67ASPD|7BPWR|aRCR
