0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43161 33121	2	 * 	269.76	DCR|4VULN|2TLV|2DUR|1AART	19ERES|2AART|3478VULN|59DUR|69TLV|9BPWR|aRCR
2	12112 21531	5	   	269.62	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579aVULN|6TBNT|8RCR|9BPWR
3	12112 61531	5	   	269.62	DCR|4VULN|2TLV|2DUR|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579aVULN|6BBNT|8RCR|9BPWR
4	12553 43333	10	 * 	268.94	DCR|2VULN|3DUR|2DMG|2CDMG|1AART|1SELL	1SELL|269DUR|39CDMG|4LIT|56DMG|69BPWR|7AART|89VULN|aRCR
5	12112 21533	5	 * 	268.63	DCR|3VULN|2TLV|2DUR|1DMG|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6TBNT|8RCR|9BPWR|aDMG
6	12112 61533	5	 * 	268.63	DCR|3VULN|2TLV|2DUR|1DMG|1AART|1SELL	1SELL|29DUR|39TLV|4AART|579VULN|6BBNT|8RCR|9BPWR|aDMG
7	62255 21212	10	 * 	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1BEXP|2356VULN|4DMG|7DUR|8TLV|9RCR|aAART
8	13215 21214	10	 * 	265.44	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	1SELL|2aCDMG|356aVULN|4BEXP|7DUR|8aTLV|9RCR|aBPWR
9	13236 21214	10	 * 	265.44	DCR|4VULN|2TLV|2CDMG|1DUR|1SELL	1SELL|2aCDMG|356aVULN|4FEWX|7DUR|8aTLV|9RCR|aBPWR
10	21233 23522	3	 * 	264.91	ACR|4VULN|2DMG|1TLV|2LIT|1CDMG|1AART	1RCR|2AART|3689VULN|4CDMG|58LIT|78DMG|8BPWR|aTLV
11	21221 23522	2	 * 	264.68	ACR|4VULN|2DMG|1TLV|2CDMG|1AART	1RCR|2AART|38CDMG|4LIT|5689VULN|78DMG|8BPWR|aTLV
12	52224 51222	7	 * 	261.49	DCR|5VULN|1TLV|1CDMG	1LHND|23569VULN|4CDMG|7TLV|8LIT|aRCR
13	21233 23556	3	   	260.11	ACR|3VULN|2DMG|1TLV|1DUR|2LIT|1CDMG|1AART	1RCR|2AART|368VULN|4CDMG|58LIT|78DMG|8BPWR|9DUR|aTLV
14	21221 23556	2	   	259.88	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1RCR|2AART|38CDMG|4LIT|568VULN|78DMG|8BPWR|9DUR|aTLV
15	21232 16453	3	 * 	258.64	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1RCR|2AART|379VULN|4CDMG|57DUR|67TLV|7BPWR|8DMG|aASPD
16	62255 21211	10	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2356VULN|4DMG|7DUR|8TLV|9RCR|aRCVC
17	62255 21211	9	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2356VULN|4DMG|7DUR|8TLV|9RCR|aRCVC
18	62255 21213	10	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2356VULN|4DMG|7DUR|8TLV|9RCR|aLHND
19	62255 21213	9	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1aBEXP|2356VULN|4DMG|7DUR|8TLV|9RCR
