0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25235 36121	3	 * 	333.86	DCR|5VULN|3DUR|3CDMG|1DMG|1TLV	1378aVULN|27aCDMG|4DMG|5TLV|67aDUR|7aBPWR|9RCR
2	25133 26121	4	 * 	322.94	DCR|5VULN|3DMG|3CDMG|1DUR	1478aVULN|27aCDMG|3ERES|5DUR|67aDMG|7aBPWR|9RCR
3	25214 36121	4	   	317.61	DCR|5VULN|3DUR|3CDMG|1DMG	1378aVULN|27aCDMG|4CGEN|5DMG|67aDUR|7aBPWR|9RCR
4	25224 36121	3	   	317.61	DCR|5VULN|3DUR|3CDMG|1DMG	1378aVULN|27aCDMG|4CGEN|5DMG|67aDUR|7aBPWR|9RCR
5	25231 36121	3	   	317.61	DCR|5VULN|3DUR|3CDMG|1DMG	1378aVULN|27aCDMG|4DMG|5CGEN|67aDUR|7aBPWR|9RCR
6	25134 36121	4	   	317.51	DCR|5VULN|3DUR|3CDMG|1DMG	1478aVULN|27aCDMG|3ERES|5DMG|67aDUR|7aBPWR|9RCR
7	25232 36121	3	   	317.51	DCR|5VULN|3DUR|3CDMG|1DMG	1378aVULN|27aCDMG|4DMG|5ERES|67aDUR|7aBPWR|9RCR
8	65331 36121	4	 * 	308.67	DCR|3VULN|3DMG|3DUR|3CDMG	17aCDMG|27aDMG|348VULN|5CGEN|67aDUR|7aBPWR|9RCR
9	65331 36121	5	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	17aCDMG|27aDMG|348VULN|5ERES|67aDUR|7aBPWR|9RCR
10	65332 36121	4	   	308.57	DCR|3VULN|3DMG|3DUR|3CDMG	17aCDMG|27aDMG|348VULN|5ERES|67aDUR|7aBPWR|9RCR
11	25213 26121	4	   	306.79	DCR|5VULN|3DMG|3CDMG	1378aVULN|27aCDMG|4CGEN|5LHND|67aDMG|7aBPWR|9RCR
12	25214 26121	5	   	306.79	DCR|5VULN|3DMG|3CDMG	1378aVULN|27aCDMG|4CGEN|5LHND|67aDMG|7aBPWR|9RCR
13	25216 31621	8	   	306.79	DCR|5VULN|3DMG|3CDMG	1358aVULN|28aCDMG|4CGEN|6LHND|78aDMG|8aBPWR|9RCR
14	25216 61321	7	   	306.79	DCR|5VULN|3DMG|3CDMG	1358aVULN|28aCDMG|4CGEN|6FEWX|78aDMG|8aBPWR|9RCR
15	25223 26121	3	   	306.79	DCR|5VULN|3DMG|3CDMG	1378aVULN|27aCDMG|4CGEN|5LHND|67aDMG|7aBPWR|9RCR
16	25231 11621	8	   	306.79	DCR|5VULN|3DMG|3CDMG	1348aVULN|28aCDMG|5LHND|6CGEN|78aDMG|8aBPWR|9RCR
17	25232 11321	7	   	306.79	DCR|5VULN|3DMG|3CDMG	1348aVULN|28aCDMG|5FEWX|6CGEN|78aDMG|8aBPWR|9RCR
18	25232 11621	8	   	306.79	DCR|5VULN|3DMG|3CDMG	1348aVULN|28aCDMG|5FEWX|6CGEN|78aDMG|8aBPWR|9RCR
19	25633 26121	4	   	306.79	DCR|5VULN|3DMG|3CDMG	1478aVULN|27aCDMG|3MLV|5LWND|67aDMG|7aBPWR|9RCR
20	25132 26121	5	   	306.69	DCR|5VULN|3DMG|3CDMG	1478aVULN|27aCDMG|3ERES|5FEWX|67aDMG|7aBPWR|9RCR
21	25134 26121	5	   	306.69	DCR|5VULN|3DMG|3CDMG	1478aVULN|27aCDMG|3ERES|5LHND|67aDMG|7aBPWR|9RCR
22	25136 31621	8	   	306.69	DCR|5VULN|3DMG|3CDMG	1458aVULN|28aCDMG|3ERES|6LHND|78aDMG|8aBPWR|9RCR
23	25136 61321	7	   	306.69	DCR|5VULN|3DMG|3CDMG	1458aVULN|28aCDMG|3ERES|6FEWX|78aDMG|8aBPWR|9RCR
24	25233 11621	8	   	306.69	DCR|5VULN|3DMG|3CDMG	1348aVULN|28aCDMG|5DUST|6CGEN|78aDMG|8aBPWR|9RCR
25	25133 26121	5	   	306.59	DCR|5VULN|3DMG|3CDMG	1478aVULN|27aCDMG|3ERES|5DUST|67aDMG|7aBPWR|9RCR
26	25235 36123	3	   	304.51	DCR|4VULN|2DUR|1DMG|2CDMG|1TLV	1378VULN|27CDMG|4DMG|5TLV|67DUR|7BPWR|9RCR|aAART
