0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36146 13133	10	 * 	278.10	DCR|4VULN|3DUR|3CDMG	1RMIN|278aVULN|3RPLT|4aBEXP|578DUR|678CDMG|78aBPWR|9RCR
2	62162 34322	4	   	275.21	DCR|4VULN|3DUR|1CDMG|1AART	1AART|28MLV|3568VULN|458DUR|58BPWR|7RCVC|9CDMG|aRCR
3	36136 13133	10	   	271.61	DCR|3VULN|3DUR|3CDMG|1TLV	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aTLV
4	52353 27334	1	 * 	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|269VULN|3RMIN|4MBVNT|56DMG|6BPWR|7CDMG|aRCR
5	36136 13135	10	   	266.37	DCR|3VULN|3DUR|3CDMG|1ASPD	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aASPD
6	31625 13433	6	 * 	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1RMIN|2AART|38CDMG|489VULN|5CGEN|6DMG|78DUR|8BPWR|aRCR
7	51216 32431	4	   	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	18DUR|23CGEN|489VULN|58CDMG|6RCR|7AART|8BPWR|aDMG
8	51226 32431	2	   	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	18DUR|2CGEN|3DMSP|489VULN|58CDMG|6RCR|7AART|8BPWR|aDMG
9	51226 32431	3	   	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	18DUR|23CGEN|489VULN|58CDMG|6RCR|7AART|8BPWR|aDMG
10	36136 13134	9	   	263.67	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aLIT
11	64431 12112	1	   	263.27	DCR|3VULN|3DUR|1CDMG|1ASPD|1AART	1AART|256DUR|379VULN|4CDMG|8RCR|aASPD
12	36523 23142	10	 * 	263.07	DCR|3VULN|3DUR|1DMG|1CDMG	1RMIN|278VULN|378DUR|4BEXP|5DMG|678LHND|78BPWR|9CDMG|aRCR
13	36133 23225	2	 * 	261.44	DCR|4VULN|2DMG|1DUR	1RMIN|2689VULN|3DUST|4DUR|56DMG|6BPWR|7BEXP|aRCR
14	36133 24225	2	   	261.44	DCR|4VULN|2DMG|1DUR	1RMIN|2689VULN|3DUST|4DUR|56DMG|6BPWR|7LWND|aRCR
15	36133 25125	2	   	261.44	DCR|4VULN|2DMG|1DUR	1RMIN|2679VULN|3DUST|4DUR|56DMG|6BPWR|8LWND|aRCR
16	36133 25225	2	   	261.44	DCR|4VULN|2DMG|1DUR	1RMIN|2679VULN|3DUST|4DUR|56DMG|6BPWR|8BEXP|aRCR
17	36653 23112	9	 * 	260.48	ACR|4VULN|2DMG|3ASPD|1DUR	1RMIN|278aVULN|3RCR|4DUR|578ASPD|678aLHND|78aBPWR|9aDMG
18	22141 43613	1	 * 	258.96	DCR|3VULN|2DMG|3LIT|1DUR	1aFEWX|24aVULN|348LIT|4aBPWR|5DUR|6LWND|7aDMG|9RCR
19	35313 13141	7	   	258.86	DCR|3VULN|2DMG|3LIT|1TLV	1RMIN|239LIT|39BPWR|49DMG|589VULN|6RPLT|7RCR|aTLV
20	33344 13612	10	 * 	258.44	DCR|4VULN|2DUR|1DMG	1RMIN|2aERES|3DMG|4RPLT|589aVULN|6aDUR|7RCR|aBPWR
21	34336 52311	1	 * 	258.23	DCR|2VULN|3DMG|2DUR|1TLV|1SELL	1RMIN|2BBNT|35aDMG|4SELL|5aBPWR|6TLV|7RCR|8aVULN|9aDUR
22	52146 23233	1	 * 	258.18	DCR|5VULN|1DUR|2LIT	1DUR|2468aVULN|34LIT|4BPWR|5LHND|7TBNT|9RCR
23	61232 15122	9	   	256.77	DCR|3VULN|2DMG|1TLV|1AART	1AART|2LIT|35DMG|4RPLT|68aVULN|7RCR|9TLV
24	51216 32432	4	   	256.56	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	18DUR|23CGEN|489VULN|58CDMG|6RCR|7AART|8BPWR|aASPD
25	51226 32432	2	   	256.56	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	18DUR|2CGEN|3DMSP|489VULN|58CDMG|6RCR|7AART|8BPWR|aASPD
26	51226 32432	3	   	256.56	DCR|3VULN|2DUR|2CDMG|1ASPD|1AART	18DUR|23CGEN|489VULN|58CDMG|6RCR|7AART|8BPWR|aASPD
27	61232 16324	8	 * 	256.17	DCR|3VULN|3DMG|1AART	1AART|2LIT|357DMG|4RPLT|689VULN|aRCR
28	31445 22331	4	 * 	255.97	ACR|4VULN|2DUR|2TLV|1DMG|1AART	1RMIN|2AART|38TLV|48DUR|5RCR|678aVULN|8BPWR|9DMG
29	31452 22331	5	   	255.97	ACR|4VULN|2DUR|2TLV|1DMG|1AART	1RMIN|2AART|38TLV|4RCR|58DUR|678aVULN|8BPWR|9DMG
30	53122 35243	3	 * 	255.93	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	179DUR|29TLV|3RPLT|4BEXP|5CDMG|6RCR|89VULN|9BPWR|aDMG
31	35313 16142	7	 * 	255.86	DCR|3VULN|2DUR|3LIT|1DMG	1RMIN|239LIT|39BPWR|4DMG|589VULN|6RPLT|79DUR|aRCR
32	36136 13131	10	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aLHND
33	36136 13132	9	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aLHND
34	36136 13132	10	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aFEWX
35	36136 13133	9	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aZMB
36	36136 13134	10	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aMLV
37	36136 13135	9	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aFEWX
38	36136 13136	10	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aCGEN
39	36136 13136	9	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4aLWND|578DUR|678CDMG|78BPWR|9RCR
40	36136 13162	8	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9MLV|aRCR
41	36146 13131	10	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4BEXP|578DUR|678CDMG|78BPWR|9RCR|aLHND
42	36146 13132	9	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4BEXP|578DUR|678CDMG|78BPWR|9RCR|aLHND
43	36146 13132	10	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4BEXP|578DUR|678CDMG|78BPWR|9RCR|aBELT
44	36146 13133	9	   	255.36	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4BEXP|578DUR|678CDMG|78BPWR|9RCR|aZMB
45	36136 13131	9	   	255.26	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4LWND|578DUR|678CDMG|78BPWR|9RCR|aTBNT
46	36146 13131	9	   	255.26	DCR|3VULN|3DUR|3CDMG	1RMIN|278VULN|3RPLT|4BEXP|578DUR|678CDMG|78BPWR|9RCR|aTBNT
47	52253 13225	1	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1DUR|2589VULN|3FEWX|4DMG|6BEXP|7ASPD|aRCR
48	36163 43121	10	 * 	254.01	DCR|4VULN|3CDMG|1DMG	1RMIN|2789VULN|3RPLT|478CDMG|578LHND|6RCR|78BPWR|aDMG
49	36163 43122	9	   	254.01	DCR|4VULN|3CDMG|1DMG	1RMIN|2789VULN|3RPLT|478CDMG|578LHND|6RCR|78BPWR|aDMG
50	62433 23212	1	   	253.51	DCR|4VULN|2CDMG|1DUR|1AART	1AART|26LHND|3578VULN|45CDMG|5BPWR|9DUR|aRCR
51	65433 23212	2	   	253.51	DCR|4VULN|2CDMG|1DUR|1AART	1AART|26LHND|3578VULN|45CDMG|5BPWR|9DUR|aRCR
52	42146 23113	1	   	253.43	DCR|4VULN|2DUR|2LIT	1aLWND|246aVULN|34LIT|4aBPWR|5LHND|7TBNT|8aDUR|9RCR
53	64133 46413	8	 * 	253.42	DCR|3VULN|2DMG|2ASPD|1AART	1AART|2aASPD|37aVULN|4RMIN|5MBVNT|6aDMG|8RCR|9TBNT|aBPWR
54	33344 13512	10	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|2aERES|38DMG|4RPLT|59aVULN|6aDUR|7RCR|aBPWR
55	36133 23245	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RMIN|268VULN|3DUST|49DUR|56DMG|6BPWR|7BEXP|aRCR
56	52141 11133	1	   	253.23	DCR|4VULN|2DUR|2LIT	15DUR|249aVULN|34LIT|4BPWR|6MLV|7RCR|8TBNT
57	52141 51133	1	   	253.23	DCR|4VULN|2DUR|2LIT	15DUR|249aVULN|34LIT|4BPWR|6RMIN|7RCR|8TBNT
58	62123 52116	3	   	253.09	DCR|5VULN|1DUR|1AART	1AART|28MLV|35678VULN|4DMSP|8BPWR|9DUR|aRCR
59	61552 13132	9	   	252.83	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1AART|2LIT|36aVULN|4CDMG|5DMG|7TLV|8FEWX|9RCR
60	21216 36224	4	   	252.65	DCR|3VULN|2DMG|1TLV|1CDMG	1aFEWX|23CGEN|49aVULN|5CDMG|6RCR|7TLV|8aDMG|aBPWR
61	22141 63611	1	   	252.42	DCR|3VULN|1DMG|1TLV|1DUR|2LIT	1FEWX|249VULN|34LIT|4BPWR|5DUR|6RCR|7DMG|8CGEN|aTLV
62	64431 12111	1	   	252.27	DCR|3VULN|3DUR|1CDMG|1AART	1AART|256DUR|379VULN|4CDMG|8RCR|aRPLT
63	64431 12113	1	   	252.27	DCR|3VULN|3DUR|1CDMG|1AART	1AART|256DUR|379VULN|4CDMG|8RCR|aCGEN
64	64431 12322	1	   	252.27	DCR|3VULN|3DUR|1CDMG|1AART	1AART|256DUR|378VULN|4CDMG|9ZMB|aRCR
65	42141 23622	1	   	252.05	DCR|3VULN|2DUR|3LIT|1TLV	17LWND|246VULN|347LIT|47BPWR|57DUR|8RCR|9DUST|aTLV
66	52143 23622	1	   	252.05	DCR|3VULN|2DUR|3LIT|1TLV	17DUR|246VULN|347LIT|47BPWR|57LWND|8RCR|9DUST|aTLV
67	53151 31151	5	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1aDUR|2TLV|3RPLT|489VULN|5DMG|6LHND|7RCR
