0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35412 12161	7	 * 	303.38	DCR|4VULN|2DMG|2DUR|1TLV|1ASPD	178aVULN|2ERES|38DMG|4TLV|5ASPD|68DUR|8BPWR|9RCR
2	35412 12162	7	   	290.40	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	178VULN|2ERES|38DMG|4TLV|5ASPD|68DUR|8BPWR|9RCR|aAART
3	32153 55321	1	 * 	280.81	DCR|4VULN|3DMG|3LIT|1NUKE	147aVULN|2NUKE|379LIT|567DMG|7BPWR|8RCR
4	35412 12163	7	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	178VULN|2ERES|38DMG|4TLV|5ASPD|68DUR|8BPWR|9RCR|aLWND
5	35412 11161	6	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	18aVULN|27ERES|38DMG|4TLV|5ASPD|68DUR|8BPWR|9RCR
6	31126 51335	7	 * 	279.79	DCR|5VULN|2DMG|2LIT	1457aVULN|2DMSP|3RPLT|6RCR|8aLIT|9aDMG|aBPWR
7	31126 52335	6	   	279.79	DCR|5VULN|2DMG|2LIT	1457aVULN|2DMSP|3RPLT|6RCR|8aLIT|9aDMG|aBPWR
8	34233 46314	8	   	277.39	DCR|4VULN|3DMG|1DUR	1789VULN|2LWND|389FEWX|4MBVNT|589DMG|6RCR|89BPWR|aDUR
9	34233 48334	9	   	277.39	DCR|4VULN|3DMG|1DUR	1789VULN|2LWND|378FEWX|4MBVNT|578DMG|6RCR|78BPWR|aDUR
10	34233 48336	10	   	277.39	DCR|4VULN|3DMG|1DUR	1789VULN|2LWND|378FEWX|4MBVNT|578DMG|6RCR|78BPWR|aDUR
11	34233 48354	8	   	277.39	DCR|4VULN|3DMG|1DUR	1789VULN|2LWND|378FEWX|4MBVNT|578DMG|6RCR|78BPWR|aDUR
12	32466 32323	7	   	276.40	DCR|4VULN|2DMG|1TLV|2LIT	1789VULN|2TLV|37DMG|4LWND|5ERES|67LIT|7BPWR|aRCR
13	33624 38143	6	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	137aVULN|2LHND|47DMG|5MBVNT|67LIT|7BPWR|8RCR|9DUR
14	34233 46334	8	   	276.32	DCR|4VULN|2DMG|2DUR	178aVULN|2aLWND|38FEWX|4MBVNT|58DMG|6RCR|8aBPWR|9aDUR
15	36233 47324	9	   	276.32	DCR|4VULN|2DMG|2DUR	178aVULN|2aBEXP|38LWND|4MBVNT|58DMG|6RCR|8aBPWR|9aDUR
16	36233 47334	8	   	276.32	DCR|4VULN|2DMG|2DUR	178aVULN|2aBEXP|38LWND|4MBVNT|58DMG|6RCR|8aBPWR|9aDUR
17	33624 12813	10	   	276.12	DCR|4VULN|2DMG|2DUR	136aVULN|2LHND|4aDMG|5MBVNT|7RMIN|8RCR|9aDUR|aBPWR
18	31224 12881	8	   	276.12	DCR|4VULN|2DMG|2DUR	169aVULN|2DMSP|39DUR|49DMG|5MBVNT|7RMIN|8RCR|9BPWR
19	31224 42881	8	   	276.12	DCR|4VULN|2DMG|2DUR	179aVULN|2DMSP|39DUR|49DMG|5MBVNT|6RMIN|8RCR|9BPWR
20	34624 34141	9	   	275.44	DCR|3VULN|2DMG|2DUR|1CDMG	13aVULN|2LWND|4aDMG|5MBVNT|6LIT|7CDMG|8aDUR|9RCR|aBPWR
21	31222 35634	10	 * 	274.83	DCR|4VULN|2ASPD|1DMG|1DUR	1679VULN|2DMSP|3DUR|4DMG|56ASPD|6BPWR|8AART|aRCR
22	34233 48321	10	   	274.79	DCR|4VULN|3DMG|1CDMG	178aVULN|2LWND|378FEWX|4MBVNT|578DMG|6RCR|78BPWR|9CDMG
23	34233 48322	9	   	274.79	DCR|4VULN|3DMG|1CDMG	178aVULN|2LWND|378FEWX|4MBVNT|578DMG|6RCR|78BPWR|9CDMG
24	33623 11131	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	137aVULN|2LHND|4DMG|5CDMG|6TLV|8DUR|9RCR
25	33623 13431	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	138aVULN|2LHND|4DMG|5CDMG|6TLV|7DUR|9RCR
26	34623 11131	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	137aVULN|2LWND|4DMG|5CDMG|6TLV|8DUR|9RCR
27	34623 13431	9	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	138aVULN|2LWND|4DMG|5CDMG|6TLV|7DUR|9RCR
28	36623 11161	8	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	137aVULN|2BEXP|4DMG|5CDMG|6TLV|8DUR|9RCR
29	32153 33542	1	   	273.46	DCR|4VULN|2DMG|2CDMG|1NUKE	146aVULN|2NUKE|3LIT|5aDMG|7TBNT|8aCDMG|9RCR|aBPWR
