0	Index      	 *	Score 	Summary	Detail	
1	61132 32154	 * 	323.38	橙橙2易伤1等级1伤害1攻速	12易伤3伤害4暴雪减费5等级6攻速7随机技能8全技能9a核
2	22111 25166	 * 	297.97	橙橙2伤害1等级1技能1攻速1暴击	1等级2毒液对冰3技能45伤害6挖尘7a核8攻速9暴击
3	22111 25616	   	297.97	橙橙2伤害1等级1技能1攻速1暴击	1等级2毒液对冰3技能45伤害6挖尘7a核8暴击9攻速
4	22352 34163	 * 	296.72	橙2易伤2矿等2等级3攻速	18等级2毒液对冰378攻速4a矿等5最后敌人68易伤8序列升级9核
5	61111 33254	 * 	294.85	橙4易伤3伤害1等级1攻速	1279易伤379伤害4低血量敌人5攻速679毒气减费79序列升级8核a等级
6	26352 31416	 * 	293.96	橙橙3易伤1等级	1等级2加一3低血量敌人4技能点59a易伤6雷电78核
7	21111 12154	 * 	293.95	橙橙2等级2攻速1伤害	17等级25攻速3伤害4低血量敌人6随机技能8全技能9a核
8	21111 42154	   	293.95	橙橙2等级2攻速1伤害	16等级25攻速3伤害4低血量敌人7随机技能8全技能9a核
9	21311 12154	   	293.95	橙橙2等级2攻速1伤害	17等级25攻速3最后敌人4伤害6随机技能8全技能9a核
10	21311 42154	   	293.95	橙橙2等级2攻速1伤害	16等级25攻速3最后敌人4伤害7随机技能8全技能9a核
11	21411 12154	   	293.85	橙橙2等级2攻速1伤害	17等级25攻速3雷电减费4伤害6随机技能8全技能9a核
