0	Index      	 *	Score 	Summary	Detail	
1	23434 11522	 * 	272.61	橙2易伤2等级2伤害1矿等	18挖尘28伤害3最后敌人47等级5全技能68易伤8序列升级9矿等a核
2	33412 32433	 * 	266.73	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a随机技能
3	33412 32431	   	259.80	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a雷电
4	33412 32432	   	259.80	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a敌人爆炸
5	33412 32435	   	259.70	橙橙2易伤1伤害	1技能点2金币生成3伤害4多重对甲56易伤79核8赏金邻近a掉矿
6	53533 21632	 * 	259.66	橙3攻速2伤害1易伤1等级3时间	19a敌人爆炸2a伤害369时间4等级5易伤79a攻速8核9a序列升级
7	23434 12522	   	258.43	橙2易伤2伤害1等级1矿等	18挖尘28伤害37最后敌人4等级5全技能68易伤8序列升级9矿等a核
8	23253 52433	 * 	258.02	橙橙2伤害1等级	1挖尘25伤害3狙击对黄4金币生成6等级79核8赏金邻近a随机技能
9	23134 54233	 * 	257.13	紫橙1易伤1等级1矿等1伤害	1挖尘2伤害3技能点4等级59核6雷电7易伤8散射对绿a矿等
10	51312 32221	   	254.14	紫橙1易伤1矿等1伤害1暴击	1敌人爆炸2最后敌人3a核4易伤5随机技能6暴击7矿等8全技能9伤害
11	21312 32221	   	254.04	紫橙1易伤1矿等1伤害1暴击	1挖尘2最后敌人3a核4易伤5随机技能6暴击7矿等8全技能9伤害
12	41112 13336	   	252.28	橙橙1等级1技能1暴击	1雷电2低血量敌人3双倍秒伤4等级5暴击6挖尘79核8时间a技能
13	46112 23136	   	252.28	橙橙1等级1技能1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8挖尘a技能
14	46112 23431	   	251.73	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8敌人爆炸a攻速
15	46112 23531	   	251.73	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8低血量敌人a攻速
16	41112 13331	   	251.63	橙橙1等级1攻速1暴击	1雷电2低血量敌人3双倍秒伤4等级5暴击6挖尘79核8时间a攻速
17	42112 13331	   	251.63	橙橙1等级1攻速1暴击	1雷电2敌人爆炸3双倍秒伤4等级5暴击6挖尘79核8时间a攻速
18	46112 13431	   	251.63	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6挖尘79核8敌人爆炸a攻速
19	46112 13531	   	251.63	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6挖尘79核8低血量敌人a攻速
20	46112 23131	   	251.63	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6最后敌人79核8挖尘a攻速
21	46112 13231	   	251.53	橙橙1等级1攻速1暴击	1雷电2时间3双倍秒伤4等级5暴击6挖尘79核8基地爆炸a攻速
22	23342 62432	 * 	251.18	橙3矿等2等级1伤害1暴击1卖塔	19挖尘2伤害3卖塔489矿等59等级6立即金币7核9序列升级a暴击
23	23253 52431	   	251.08	橙橙2伤害1等级	1挖尘25伤害3狙击对黄4金币生成6等级79核8赏金邻近a雷电
24	23253 52432	   	251.08	橙橙2伤害1等级	1挖尘25伤害3狙击对黄4金币生成6等级79核8赏金邻近a额外掉落
25	23231 53345	 * 	247.26	橙橙2伤害3时间	1a挖尘2a伤害3狙击对黄4敌人爆炸57a时间69核8全技能a序列升级
26	22441 43234	   	247.04	橙橙1易伤1伤害1暴击	1挖尘2立即金币3伤害4雷电5暴击69核7加一8多重对甲a易伤
27	31246 23621	 * 	246.76	橙橙1矿等1攻速1暴击	1技能点2基地爆炸3暴击4矿等5额外掉落69核7挖青8随机技能a攻速
28	23434 11422	   	246.31	橙2等级2伤害1易伤1矿等	1挖尘28伤害3最后敌人47等级5全技能6易伤9矿等a核
29	23342 62431	 * 	245.83	橙3矿等2等级1伤害1卖塔	19挖尘2伤害3卖塔489矿等59等级6立即金币7核9序列升级a全技能
