0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22421 74234	5	 * 	289.77	DCR|4VULN|2DMG|2DUR|1TLV	127aVULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV
2	22421 74233	5	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	127VULN|3LWND|47aDMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV
3	22623 66123	5	 * 	280.03	DCR|5VULN|2DUR|1TLV|1AART	12349VULN|58DUR|6AART|7TLV|aRCR
4	22421 74232	5	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	127VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|9TLV|aASPD
5	22642 21226	4	   	276.00	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	123VULN|4aDMG|5TLV|6LIT|7DUR|8RCR|9CDMG
6	23432 12135	1	 * 	274.25	DCR|4VULN|2DUR|2CDMG|1DMG	1345VULN|24CDMG|4BPWR|67DUR|8LIT|9DMG|aRCR
7	23432 14335	1	   	274.25	DCR|4VULN|2DUR|2CDMG|1DMG	1345VULN|24CDMG|4BPWR|68DUR|7LIT|9DMG|aRCR
8	21633 24611	1	 * 	274.02	DCR|3VULN|3DUR|3CDMG|1DMG|1AART	178VULN|2ZMB|378DUR|4TBNT|5AART|678CDMG|78BPWR|9DMG|aRCR
9	21633 24611	2	   	274.02	DCR|3VULN|3DUR|3CDMG|1DMG|1AART	178VULN|2ZMB|378DUR|4TBNT|5AART|678CDMG|78BPWR|9DMG|aRCR
10	22622 42111	10	 * 	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	1234aVULN|5TLV|6CDMG|7LWND|8RCR|9DMG
11	22622 42115	9	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	1234aVULN|5TLV|6CDMG|7LWND|8RCR|9DMG
12	22662 42111	10	   	273.25	DCR|5VULN|1TLV|1DMG|1CDMG	1234aVULN|4BPWR|5TLV|6CDMG|7LWND|8RCR|9DMG
13	63221 26325	2	 * 	273.23	ACR|4VULN|3DMG|2DUR|1TLV	1RCR|258DMG|389aVULN|4CGEN|6TLV|78DUR|8BPWR
14	22622 46111	10	   	273.15	DCR|5VULN|1TLV|1DMG|1CDMG	1234aVULN|5TLV|6CDMG|7DUST|8RCR|9DMG
15	22631 65211	10	 * 	273.03	ACR|4VULN|2DMG|2TLV|1DUR|1CDMG	123aVULN|4RCR|5DUR|6aDMG|7LIT|8CDMG|9aTLV|aBPWR
16	23432 12411	1	 * 	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1345VULN|24CDMG|4BPWR|67DUR|8TBNT|9TLV|aRCR
17	22421 74273	5	   	271.88	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|47DMG|5MBVNT|67DUR|7BPWR|8RCR|aASPD
18	12621 74246	5	 * 	271.60	DCR|3VULN|3DMG|3DUR	17aLHND|23aVULN|47aDMG|5MBVNT|679DUR|7aBPWR|8RCR
19	24121 74246	5	   	271.60	DCR|3VULN|3DMG|3DUR	17aVULN|2aLHND|3RCVC|47aDMG|5MBVNT|679DUR|7aBPWR|8RCR
20	22622 23346	6	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1234VULN|5TLV|6RCVC|7DUR|8DMG|9RCR|aCDMG
21	22622 42112	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1234VULN|5TLV|6CDMG|7LWND|8RCR|9DMG|aDUR
22	22662 42112	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1234VULN|4BPWR|5TLV|6CDMG|7LWND|8RCR|9DMG|aDUR
23	22622 46112	9	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1234VULN|5TLV|6CDMG|7DUST|8RCR|9DMG|aDUR
24	22623 13131	9	   	270.37	DCR|5VULN|2DUR|1TLV	12346VULN|58DUR|7BELT|9TLV|aRCR
25	22663 13131	9	   	270.37	DCR|5VULN|2DUR|1TLV	12346VULN|4BPWR|58DUR|7BELT|9TLV|aRCR
26	22421 46621	7	 * 	269.93	DCR|3VULN|3DMG|2TLV	128VULN|3LWND|468DMG|5MBVNT|78TLV|8BPWR|9LIT|aRCR
