0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11132 43551	5	 * 	305.09	DCR|3VULN|3DUR|2DMG|2TLV|2LIT	1aDMG|256VULN|346DUR|6aBPWR|7RCR|8aLIT|9aTLV
2	11413 22523	7	 * 	299.12	DCR|4VULN|3DMG|2TLV|1DUR	148DMG|2348VULN|48BPWR|5FEWX|6DUR|78TLV|9LWND|aRCR
3	11413 22543	7	   	299.12	DCR|4VULN|3DMG|2TLV|1DUR	148DMG|2348VULN|48BPWR|5FEWX|6DUR|78TLV|9LHND|aRCR
4	11413 22553	7	   	299.12	DCR|4VULN|3DMG|2TLV|1DUR	148DMG|2348VULN|48BPWR|5FEWX|6DUR|78TLV|9BEXP|aRCR
5	11122 21311	10	 * 	295.14	DCR|5VULN|3DUR|2DMG	19DMG|24589VULN|367DUR|9BPWR|aRCR
6	11132 26311	10	   	295.14	DCR|5VULN|3DUR|2DMG	19DMG|25789VULN|346DUR|9BPWR|aRCR
7	11462 21311	10	   	295.14	DCR|5VULN|3DUR|2DMG	19DMG|23589VULN|467DUR|9BPWR|aRCR
8	11132 25351	10	   	295.14	DCR|5VULN|3DUR|2DMG	17DMG|25789VULN|346DUR|7BPWR|aRCR
9	11132 43362	5	 * 	293.72	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|256aVULN|346DUR|6BPWR|7RCR|8ASPD|9TLV
10	11132 43552	5	   	290.26	DCR|3VULN|3DUR|2DMG|1TLV	1aDMG|256VULN|346DUR|6BPWR|7RCR|8LIT|9TLV
11	11613 36523	10	 * 	286.90	DCR|5VULN|3DMG|3LIT	19aDMG|2579aVULN|3CGEN|4BEXP|6RCR|89aLIT|9aBPWR
12	11122 34525	9	 * 	286.36	DCR|3VULN|3DMG|3DUR|2LIT	168DMG|245VULN|389DUR|78LIT|8BPWR|aRCR
13	11132 34515	8	   	286.36	DCR|3VULN|3DMG|3DUR|2LIT	168DMG|259VULN|348DUR|78LIT|8BPWR|aRCR
14	11132 43662	5	   	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|256aVULN|346DUR|6BPWR|7RCR|8CGEN|9TLV
15	11132 43262	5	   	285.31	DCR|4VULN|3DUR|1TLV|1DMG	1DMG|256aVULN|346DUR|6BPWR|7RCR|8ERES|9TLV
16	12431 63622	2	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	159DMG|2BEXP|3TLV|458VULN|5BPWR|6aDUR|7RCR
17	13431 63622	2	   	284.28	DCR|3VULN|3DMG|2DUR|1TLV	159DMG|2DUST|3TLV|458VULN|5BPWR|6aDUR|7RCR
18	11122 34453	9	   	283.40	DCR|4VULN|2DMG|1TLV|1DUR	16DMG|245aVULN|3DUR|7LIT|8RCR|9TLV
19	11122 36225	7	   	283.34	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	168DMG|245VULN|3DUR|7RCR|9TLV|aCDMG
20	11122 36262	7	   	283.34	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	168DMG|245VULN|3DUR|7RCR|9CDMG|aTLV
21	11413 12525	7	   	282.87	DCR|4VULN|3DMG|2TLV	148DMG|2348VULN|48BPWR|5FEWX|6BEXP|78TLV|9LWND|aRCR
22	11132 25165	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	17DMG|257VULN|346DUR|7BPWR|8MLV|9TLV|aRCR
