0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31273 43627	5	 * 	289.68	DCR|4VULN|3DUR|2TLV|2ASPD	1478VULN|24ASPD|3MBVNT|47BPWR|579DUR|67TLV|aRCR
2	33332 64351	9	 * 	281.85	DCR|3VULN|3DUR|2DMG|3CDMG	19aVULN|249CDMG|346DUR|49BPWR|5MBVNT|79DMG|8RCR
3	33332 64352	10	   	281.85	DCR|3VULN|3DUR|2DMG|3CDMG	19aVULN|249CDMG|346DUR|49BPWR|5MBVNT|79DMG|8RCR
4	33623 11166	5	 * 	281.75	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8aDUR|9TLV
5	35122 43342	6	 * 	281.51	ACR|4VULN|3DMG|2TLV|2DUR	157aVULN|2FEWX|37aDMG|4RCR|67TLV|7aBPWR|8ZMB|9aDUR
6	36122 43342	6	   	281.51	ACR|4VULN|3DMG|2TLV|2DUR	157aVULN|2BEXP|37aDMG|4RCR|67TLV|7aBPWR|8ZMB|9aDUR
7	33263 26253	8	 * 	280.90	DCR|4VULN|2DUR|2CDMG|1DMG|2LIT	1578VULN|27CDMG|3DMG|49LIT|67DUR|7BPWR|aRCR
8	33353 25262	5	   	278.90	DCR|4VULN|3DUR|1TLV|1CDMG	1589VULN|2CDMG|367DUR|4TLV|aRCR
9	32223 21584	10	 * 	277.87	DCR|3VULN|3DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79aDMG|8MBVNT|9BPWR
10	32223 21585	9	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	149VULN|29TLV|3LWND|5DUR|6RCR|79aDMG|8MBVNT|9BPWR
11	32423 21584	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	149VULN|29TLV|3LHND|5DUR|6RCR|79aDMG|8MBVNT|9BPWR
12	32222 52122	1	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|29DUR|38TLV|4TBNT|5BEXP|69DMG|7RCR|9BPWR
13	32543 52222	2	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|29TLV|3TBNT|4BEXP|58DUR|69DMG|7RCR|9BPWR
14	32623 52222	3	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|29TLV|3BEXP|4TBNT|58DUR|69DMG|7RCR|9BPWR
15	32523 52222	3	   	276.70	DCR|3VULN|2DMG|2TLV|2DUR	19aVULN|29TLV|3DUST|4TBNT|58DUR|69DMG|7RCR|9BPWR
16	33263 41533	8	   	276.33	DCR|3VULN|2DMG|2TLV|1CDMG	158VULN|2CDMG|38DMG|4LIT|6ASPD|78TLV|8BPWR|9LWND|aRCR
17	31276 43354	6	 * 	276.00	DCR|4VULN|2DUR|1TLV|3ASPD	1479VULN|247ASPD|3MBVNT|479BPWR|579MLV|6RCR|89DUR|aTLV
18	33334 23422	8	 * 	275.90	DCR|4VULN|2DUR|3CDMG|3ASPD	178aVULN|247CDMG|34DUR|478BPWR|58LHND|678ASPD|9RCR
19	33262 53411	9	   	275.80	DCR|3VULN|2DMG|1DUR|2ASPD|1CDMG|1AART	18aVULN|2CDMG|3aDMG|4LIT|5AART|6RCR|7DUR|9aASPD|aBPWR
20	33623 11136	5	   	275.61	DCR|4VULN|2DUR|1DMG|2CDMG|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8aDUR|9DMG
21	31273 43335	5	   	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	147VULN|24ASPD|3MBVNT|47BPWR|57DUR|67TLV|8DUST|9RCR|aDMG
22	31273 43535	5	   	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	147VULN|24ASPD|3MBVNT|47BPWR|57DUR|67TLV|8LEGI|9RCR|aDMG
23	31273 53335	6	   	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	147VULN|24ASPD|3MBVNT|47BPWR|57DUR|67TLV|8DUST|9RCR|aDMG
24	33623 11224	7	   	275.33	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1348VULN|2CDMG|5AART|68DUST|78DUR|8BPWR|9TLV|aRCR
25	33334 23425	8	 * 	274.92	DCR|3VULN|2DUR|3CDMG|3ASPD|1DMG	178VULN|247CDMG|34DUR|478BPWR|58LHND|678ASPD|9RCR|aDMG
26	33263 26233	9	   	274.35	DCR|4VULN|2DUR|2CDMG|1DMG	1578VULN|27CDMG|3DMG|4LIT|67DUR|7BPWR|9RCVC|aRCR
27	33263 26263	9	   	274.35	DCR|4VULN|2DUR|2CDMG|1DMG	1578VULN|27CDMG|3DMG|4LIT|67DUR|7BPWR|9DMSP|aRCR
28	33661 32623	6	 * 	274.20	DCR|3VULN|2DMG|1TLV|2CDMG|1DUR	138VULN|28CDMG|4LHND|5CGEN|68DMG|7RCR|8BPWR|9DUR|aTLV
29	35163 33333	10	 * 	273.54	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	17VULN|246FEWX|347DMG|47BPWR|57DUR|8RCR|9CDMG|aTLV
30	35163 33316	9	 * 	273.11	DCR|2VULN|3DMG|3DUR|1TLV	17VULN|246FEWX|347DMG|47BPWR|579DUR|8RCR|aTLV
31	32336 32621	3	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	148VULN|28TLV|3CDMG|5DMG|68LHND|7RCR|8BPWR|9aDUR
32	32311 12226	2	 * 	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1347VULN|2TLV|59DUR|6RPLT|8DMG|aRCR
33	35163 33333	9	 * 	272.03	DCR|3VULN|3DMG|2DUR|1CDMG	17aVULN|246FEWX|347DMG|47BPWR|57DUR|8RCR|9CDMG
34	35163 33314	9	 * 	271.60	DCR|3VULN|3DMG|3DUR	17aVULN|246FEWX|347DMG|47BPWR|579DUR|8RCR
35	36163 11343	8	   	271.60	DCR|3VULN|3DMG|3DUR	17aVULN|24aBEXP|34aDMG|4aBPWR|569DUR|8RCR
36	33336 32621	2	 * 	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	148VULN|28CDMG|3TLV|5DMG|68LHND|7RCR|8BPWR|9aDUR
37	33352 34632	6	   	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18VULN|2CDMG|378DUR|4TLV|5LHND|68DMG|8BPWR|9DUST|aRCR
38	33333 62123	2	   	270.87	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	14aVULN|2CDMG|3aTLV|5LIT|6RCR|7FEWX|8AART|9aDUR|aBPWR
39	33353 36622	6	   	270.81	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	15VULN|2CDMG|389DUR|4TLV|6aDMG|7RCR
40	32311 23525	2	 * 	270.37	DCR|5VULN|2DUR|1TLV	1348aVULN|2TLV|59DUR|6RMIN|7RCR
41	31277 43352	5	 * 	270.03	ACR|5VULN|3TLV|2DUR|3ASPD	1479aVULN|247ASPD|3MBVNT|479BPWR|5RCR|679TLV|89DUR
42	33623 51136	5	   	269.19	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	1346VULN|2CDMG|5AART|7RCR|8aDUR|9DMG
43	32333 62123	3	   	269.10	DCR|3VULN|2DUR|1TLV|2CDMG|1AART	14aVULN|2TLV|3aCDMG|5LIT|6RCR|7FEWX|8AART|9aDUR|aBPWR
44	31273 43711	5	   	269.05	DCR|3VULN|2TLV|2DUR|2ASPD|1CDMG	147VULN|24ASPD|3MBVNT|47BPWR|57DUR|67TLV|8CDMG|9RPLT|aRCR
45	31273 53711	6	   	269.05	DCR|3VULN|2TLV|2DUR|2ASPD|1CDMG	147VULN|24ASPD|3MBVNT|47BPWR|57DUR|67TLV|8CDMG|9RPLT|aRCR
46	31413 32621	5	   	269.05	DCR|3VULN|2TLV|2DUR|2ASPD|1CDMG	158VULN|28ASPD|3LHND|4CDMG|68TLV|7RCR|8BPWR|9aDUR
47	35323 52222	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|29FEWX|3TLV|4TBNT|58DUR|69DMG|7RCR|9BPWR
48	36323 52222	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19aVULN|29BEXP|3TLV|4TBNT|58DUR|69DMG|7RCR|9BPWR
49	32356 32621	2	   	268.58	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	138VULN|2TLV|4SELL|58DMG|68LHND|7RCR|8BPWR|9aDUR
50	31236 43627	3	   	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	178VULN|25ASPD|3MBVNT|479DUR|67TLV|7BPWR|aRCR
51	31283 43627	5	   	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	178VULN|24ASPD|3MBVNT|579DUR|67TLV|7BPWR|aRCR
52	32223 42441	1	   	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	19aVULN|257DUR|39TLV|4TBNT|69ASPD|8RCR|9BPWR
53	31131 41614	2	   	268.41	DCR|4VULN|2TLV|2DUR	1589VULN|2ASPD|38TLV|4TBNT|6BBNT|78DUR|8BPWR|aRCR
54	31276 43352	6	 * 	268.14	DCR|5VULN|2DUR|3ASPD	1479aVULN|247ASPD|3MBVNT|479BPWR|579MLV|6RCR|89DUR
55	32336 32624	3	   	268.04	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG|1AART	148VULN|28TLV|3CDMG|5DMG|68LHND|7RCR|8BPWR|9DUR|aAART
56	32251 33621	1	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4LWND|568DMG|7TBNT|8BPWR|9RCR|aLIT
57	32251 36621	1	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	18VULN|28DUR|3TLV|4LWND|568DMG|7BBNT|8BPWR|9RCR|aLIT
58	32313 25536	2	 * 	267.80	DCR|5VULN|1TLV|1DMG	1349aVULN|2TLV|5TBNT|6LIT|7DMG|8RCR
59	33615 32621	5	 * 	267.52	DCR|3VULN|2TLV|2DUR|2CDMG	138VULN|28CDMG|4ASPD|5LHND|68TLV|7RCR|8BPWR|9aDUR
60	31274 14835	6	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	147VULN|24ASPD|3MBVNT|47BPWR|57LHND|67DUR|8TLV|9RCR|aDMG
61	31213 52782	6	 * 	267.30	DCR|4VULN|2TLV|2CDMG|1AART	1579VULN|2ASPD|3MBVNT|49CDMG|6RCR|89TLV|9BPWR|aAART
62	33623 11161	5	   	267.16	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9TLV|aFEWX
63	33623 11162	5	   	267.16	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9TLV|aRCVC
64	33623 11164	5	   	267.16	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9TLV|aRMIN
65	33623 11256	5	   	267.16	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8RCVC|9DUR|aTLV
66	33623 11163	5	   	267.06	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9TLV|aERES
67	33623 11165	5	   	267.06	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUR|9TLV|aBBNT
68	33623 11326	5	   	267.06	DCR|4VULN|1TLV|2CDMG|1DUR|1AART	1346VULN|26CDMG|5AART|6BPWR|7RCR|8DUST|9TLV|aDUR
69	32526 41323	9	 * 	267.05	DCR|4VULN|2DMG|1TLV	1479VULN|2TLV|3DUST|5ASPD|6aDMG|8RCR
70	33332 64354	9	   	266.82	DCR|2VULN|3DUR|2DMG|3CDMG|1AART	19VULN|249CDMG|346DUR|49BPWR|5MBVNT|79DMG|8RCR|aAART
71	32336 32625	3	   	266.69	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	148VULN|28TLV|3CDMG|5DMG|68LHND|7RCR|8BPWR|9DUR|aASPD
72	33263 26332	10	   	266.43	DCR|3VULN|3DUR|2CDMG|1DMG	157VULN|27CDMG|3DMG|4LIT|679DUR|7BPWR|8LEGI|aRCR
73	33336 32624	2	   	266.28	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR|1AART	148VULN|28CDMG|3TLV|5DMG|68LHND|7RCR|8BPWR|9DUR|aAART
74	32345 22621	3	   	265.86	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	18VULN|28TLV|3CDMG|4LHND|58DMG|6RCVC|7RCR|8BPWR|9aDUR
75	32331 22625	10	   	265.68	DCR|4VULN|2TLV|2CDMG|1DUR	1568VULN|28TLV|38CDMG|47BELT|8BPWR|9DUR|aRCR
76	33332 64352	9	   	265.46	DCR|2VULN|3DUR|2DMG|3CDMG	19VULN|249CDMG|346DUR|49BPWR|5MBVNT|79DMG|8RCR|aASPD
77	32223 25335	9	   	265.45	DCR|4VULN|3DUR|1TLV	149aVULN|2TLV|39LWND|579DUR|6RCR|8RPLT|9BPWR
78	32423 25335	9	   	265.45	DCR|4VULN|3DUR|1TLV	149aVULN|2TLV|39LHND|579DUR|6RCR|8RPLT|9BPWR
79	32222 52123	1	 * 	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|29aDUR|38TLV|4TBNT|5BEXP|69DMG|7RCR|9BPWR
80	32543 52223	2	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|29TLV|3TBNT|4BEXP|58aDUR|69DMG|7RCR|9BPWR
81	32623 52223	3	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|29TLV|3BEXP|4TBNT|58aDUR|69DMG|7RCR|9BPWR
82	32223 25614	10	   	265.25	DCR|4VULN|3DUR|1TLV	149aVULN|2TLV|3LWND|578DUR|6RCR
83	32523 52223	3	   	265.24	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|29TLV|3DUST|4TBNT|58aDUR|69DMG|7RCR|9BPWR
84	33336 32625	2	   	264.92	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	148VULN|28CDMG|3TLV|5DMG|68LHND|7RCR|8BPWR|9DUR|aASPD
85	33233 35414	5	 * 	264.77	ACR|3VULN|2DMG|2TLV|2DUR|2CDMG	18aVULN|28CDMG|3aDMG|4BELT|5RCR|6CGEN|78DUR|8aBPWR|9aTLV
86	33336 32623	2	 * 	264.69	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	148VULN|28CDMG|3aTLV|5DMG|68LHND|7RCR|8BPWR|9DUR
87	33233 25414	5	   	264.67	ACR|3VULN|2DMG|2TLV|2DUR|2CDMG	18aVULN|28CDMG|3aDMG|4BELT|5RCR|6ERES|78DUR|8aBPWR|9aTLV
