0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23512 64212	7	 * 	289.35	ACR|5VULN|3DMG|3CDMG|2LIT	17aCDMG|28LIT|37aDMG|4679aVULN|5RCR|7aBPWR
2	36122 18224	9	 * 	285.49	DCR|3VULN|3DMG|3ASPD|1DUR	1RMIN|29aDMG|3RPLT|4MBVNT|5DUR|6RCR|79aASPD|89aVULN|9aBPWR
3	25212 44212	3	 * 	285.23	DCR|4VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|2379VULN|4DUR|5BEXP|6RCR|89ASPD|9BPWR|aDMG
4	25213 44212	3	   	285.23	DCR|4VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|2379VULN|4DUR|5LWND|6RCR|89ASPD|9BPWR|aDMG
5	25312 44212	2	   	285.23	DCR|4VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|2479VULN|3DUR|5BEXP|6RCR|89ASPD|9BPWR|aDMG
6	25313 44212	2	   	285.23	DCR|4VULN|2ASPD|1DMG|2CDMG|1DUR	19CDMG|2479VULN|3DUR|5LWND|6RCR|89ASPD|9BPWR|aDMG
7	21242 33418	6	 * 	284.69	DCR|5VULN|2DMG|2CDMG	19CDMG|2DUST|3469aVULN|59DMG|7MBVNT|8RCR|9BPWR
8	22411 85412	3	 * 	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aASPD
9	22421 85412	4	   	284.55	DCR|3VULN|2DMG|2DUR|2CDMG|1ASPD	19CDMG|2RCVC|3MBVNT|46DUR|569VULN|69BPWR|79DMG|8RCR|aASPD
10	25314 12123	10	 * 	284.45	DCR|4VULN|2DUR|2CDMG|1TLV|1AART	1aCDMG|269aVULN|3TLV|4LWND|5AART|7RCR|8aDUR|aBPWR
11	35611 33332	8	 * 	279.12	ACR|5VULN|3DMG|2DUR	1RMIN|2789aVULN|3RCR|49DUR|578ERES|678DMG|789BPWR
12	21242 15316	5	 * 	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	19CDMG|2DUST|3489VULN|5DMG|6FEWX|79DUR|9BPWR|aRCR
13	14242 33418	6	   	278.48	DCR|5VULN|2DMG|1CDMG	19BEXP|2CDMG|3469aVULN|59DMG|7MBVNT|8RCR|9BPWR
14	23562 43814	9	   	278.17	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	19CDMG|2LIT|39DMG|4DUR|5MBVNT|6ASPD|7RCR|89aVULN|9BPWR
15	23562 43814	10	   	278.17	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	19CDMG|2LIT|39DMG|4DUR|5MBVNT|6ASPD|7RCR|89aVULN|9BPWR
16	25221 42411	4	 * 	277.98	DCR|5VULN|2DUR|2CDMG	18CDMG|2389aVULN|4RPLT|58DUR|6RCR|7BBNT|8BPWR
17	21222 72144	8	 * 	277.70	DCR|4VULN|3DUR|3CDMG	19aCDMG|2aDUST|379aVULN|4MBVNT|589DUR|6RCR|9aBPWR
18	25332 44212	2	 * 	277.17	DCR|3VULN|2DUR|2ASPD|1DMG|2CDMG	19CDMG|279VULN|34DUR|5BEXP|6RCR|89ASPD|9BPWR|aDMG
