0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53135 31341	10	 * 	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1ERES|246DUR|346aVULN|46BPWR|5BELT|7TLV|8RCR|9DMG
2	23441 32137	1	 * 	288.01	DCR|4VULN|3DUR|3LIT|1TLV	19aLIT|249aVULN|3FEWX|5TLV|6RCR|7MBVNT|89aDUR|9aBPWR
3	26241 32137	3	   	288.01	DCR|4VULN|3DUR|3LIT|1TLV	19aLIT|249aVULN|3FEWX|5TLV|6RCR|7MBVNT|89aDUR|9aBPWR
4	53135 31124	9	 * 	287.49	DCR|5VULN|3DUR|1TLV	1ERES|246DUR|34689VULN|46BPWR|5BELT|7TLV|aRCR
5	53135 31342	10	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1ERES|246DUR|346VULN|46BPWR|5BELT|7TLV|8RCR|9aDMG
6	53136 43232	4	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	1ERES|246DUR|34aVULN|4BPWR|5TLV|7RCR|89DMG
7	11353 63342	2	 * 	282.12	DCR|3VULN|3DMG|3DUR|1SELL	1SELL|249VULN|348DUR|49BPWR|59ERES|69aDMG|7RCR
8	63135 42222	9	   	280.56	DCR|3VULN|3DUR|2DMG|1CDMG	19CGEN|249DUR|345VULN|49BPWR|6BEXP|7RCR|89DMG|aCDMG
9	63133 62222	9	   	280.56	DCR|3VULN|3DUR|2DMG|1CDMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aCDMG
10	63135 12511	9	 * 	277.98	DCR|5VULN|2DUR|1DMG	1CGEN|24DUR|3456aVULN|4BPWR|7RCR|8ERES|9DMG
11	63135 12513	10	   	277.98	DCR|5VULN|2DUR|1DMG	1CGEN|24DUR|3456aVULN|4BPWR|7RCR|8ERES|9DMG
12	63135 42223	10	   	277.91	DCR|3VULN|3DUR|2DMG|1ASPD	19CGEN|249DUR|345VULN|49BPWR|6BEXP|7RCR|89DMG|aASPD
13	63133 62223	10	   	277.91	DCR|3VULN|3DUR|2DMG|1ASPD	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aASPD
14	63135 12513	9	 * 	276.02	DCR|4VULN|2DMG|2DUR	1CGEN|24DUR|3456VULN|4BPWR|7RCR|8ERES|9aDMG
15	63135 42222	10	   	275.22	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|345VULN|49BPWR|6BEXP|7RCR|89DMG|aLIT
16	63133 62222	10	   	275.22	DCR|3VULN|3DUR|2DMG	19CGEN|249DUR|346VULN|49BPWR|5BEXP|7RCR|89DMG|aLIT
