0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23426 53222	3	 * 	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	19DUST|2789VULN|3DMG|4TLV|59DUR|6RCR|9BPWR|aCDMG
2	33422 35522	3	 * 	285.44	DCR|3VULN|3DUR|3LIT|1DMG|1TLV	1BEXP|29aVULN|3DMG|4TLV|59aLIT|6DUST|79aDUR|8RCR|9aBPWR
3	23424 33223	8	 * 	280.81	DCR|4VULN|3DMG|3TLV	159DUST|247aVULN|39aDMG|69aTLV|8RCR|9aBPWR
4	24621 53222	4	   	274.99	DCR|4VULN|2DMG|1TLV|1CDMG	19DUST|2TLV|3LEGI|4789VULN|59DMG|6RCR|9BPWR|aCDMG
5	24623 53222	5	   	274.99	DCR|4VULN|2DMG|1TLV|1CDMG	19DUST|2TLV|3LEGI|4789VULN|59DMG|6RCR|9BPWR|aCDMG
6	23426 53221	3	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	19DUST|2789VULN|3DMG|4TLV|59DUR|6RCR|9BPWR|aLHND
7	23426 53223	3	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	19DUST|2789VULN|3DMG|4TLV|59DUR|6RCR|9BPWR|aBELT
8	33421 55222	3	   	273.98	DCR|3VULN|3DUR|1DMG|1TLV	1BEXP|29aVULN|3DMG|4TLV|59aFEWX|6RCR|7LIT|89aDUR|9aBPWR
9	23421 55222	3	   	273.88	DCR|3VULN|3DUR|1DMG|1TLV	1DUST|29aVULN|3DMG|4TLV|59aFEWX|6RCR|7LIT|89aDUR|9aBPWR
10	33426 53222	3	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2789VULN|3DMG|4TLV|5DUR|6RCR|aCDMG
11	53423 53222	3	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|2789VULN|3DMG|4TLV|5DUR|6RCR|aCDMG
12	33436 53322	3	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	18BEXP|2789VULN|3DMG|4ZMB|58DUR|6RCR|8BPWR|aCDMG
13	14332 55222	1	 * 	268.30	DCR|3VULN|3DUR|3ASPD	1ERES|29aASPD|3BEXP|4FEWX|59aVULN|6RCR|7LIT|89aDUR|9aBPWR
14	36232 55222	1	   	268.30	DCR|3VULN|3DUR|3ASPD	1BEXP|29aASPD|3ERES|4FEWX|59aVULN|6RCR|7LIT|89aDUR|9aBPWR
15	14312 55222	1	   	268.20	DCR|3VULN|3DUR|3ASPD	1ERES|29aASPD|3BEXP|4DUST|59aVULN|6RCR|7LIT|89aDUR|9aBPWR
16	26222 55222	1	   	268.20	DCR|3VULN|3DUR|3ASPD	1DUST|29aASPD|3ERES|4BEXP|59aVULN|6RCR|7LIT|89aDUR|9aBPWR
17	36212 55222	1	   	268.20	DCR|3VULN|3DUR|3ASPD	1BEXP|29aASPD|3ERES|4DUST|59aVULN|6RCR|7LIT|89aDUR|9aBPWR
18	33111 53322	4	 * 	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18BEXP|279VULN|38DUR|4RMIN|58DMG|6RCR|8BPWR|aCDMG
19	33113 53322	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18BEXP|279VULN|38DUR|4RMIN|58DMG|6RCR|8BPWR|aCDMG
20	33141 53322	3	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18BEXP|279VULN|38DUR|4RMIN|58DMG|6RCR|8BPWR|aCDMG
21	53111 53322	4	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18FEWX|279VULN|38DUR|4RMIN|58DMG|6RCR|8BPWR|aCDMG
22	53113 53322	5	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18FEWX|279VULN|38DUR|4RMIN|58DMG|6RCR|8BPWR|aCDMG
23	53141 53322	3	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	18FEWX|279VULN|38DUR|4RMIN|58DMG|6RCR|8BPWR|aCDMG
24	23436 53332	3	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUST|278VULN|39DMG|4ZMB|58DUR|6RCR|8BPWR|aCDMG
25	33121 61526	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1BEXP|257VULN|34DUR|6CDMG|89DMG|aRCR
26	23121 61526	5	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1DUST|257VULN|34DUR|6CDMG|89DMG|aRCR
27	33323 13622	9	 * 	265.32	DCR|2VULN|3DMG|3DUR|1AART	189BEXP|29VULN|3AART|4LEGI|568DMG|789DUR|89BPWR|aRCR
28	53323 13622	9	   	265.32	DCR|2VULN|3DMG|3DUR|1AART	189FEWX|29VULN|3AART|4LEGI|568DMG|789DUR|89BPWR|aRCR
29	24621 53221	4	   	261.34	DCR|4VULN|2DMG|1TLV	19DUST|2TLV|3LEGI|4789VULN|59DMG|6RCR|9BPWR|aLHND
30	24621 53223	4	   	261.34	DCR|4VULN|2DMG|1TLV	19DUST|2TLV|3LEGI|4789VULN|59DMG|6RCR|9BPWR|aBELT
31	24623 53221	5	   	261.34	DCR|4VULN|2DMG|1TLV	19DUST|2TLV|3LEGI|4789VULN|59DMG|6RCR|9BPWR|aLHND
32	24623 53223	5	   	261.34	DCR|4VULN|2DMG|1TLV	19DUST|2TLV|3LEGI|4789VULN|59DMG|6RCR|9BPWR|aBELT
33	23424 33222	10	   	261.24	DCR|4VULN|2DMG|1TLV	15DUST|247aVULN|39DMG|6TLV|8RCR
34	23424 33224	9	   	261.24	DCR|4VULN|2DMG|1TLV	15DUST|247aVULN|39DMG|6TLV|8RCR
35	23423 23223	8	   	260.94	DCR|4VULN|3DMG	169DUST|247aVULN|39aDMG|59aMLV|8RCR|9aBPWR
36	23441 23223	8	   	260.64	DCR|4VULN|3DMG	169DUST|257aVULN|39aDMG|49aERES|8RCR|9aBPWR
37	33426 53221	3	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1BEXP|2789VULN|3DMG|4TLV|5DUR|6RCR|aLHND
38	33426 53223	3	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1BEXP|2789VULN|3DMG|4TLV|5DUR|6RCR|aBELT
39	53423 53221	3	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2789VULN|3DMG|4TLV|5DUR|6RCR|aLHND
40	53423 53223	3	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|2789VULN|3DMG|4TLV|5DUR|6RCR|aBELT
41	33133 22466	10	 * 	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	1BEXP|28aVULN|3DUR|4CGEN|5aDMG|6LWND|7RCR|9aCDMG|aBPWR
42	33341 53322	2	   	258.94	DCR|4VULN|2DMG|1CDMG	18BEXP|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
43	33432 53322	5	   	258.94	DCR|4VULN|2DMG|1CDMG	18BEXP|2789VULN|38DMG|4LEGI|5RMIN|6RCR|8BPWR|aCDMG
44	33611 53322	4	   	258.94	DCR|4VULN|2DMG|1CDMG	18BEXP|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
45	33613 53322	5	   	258.94	DCR|4VULN|2DMG|1CDMG	18BEXP|2789VULN|3LEGI|4RMIN|58DMG|6RCR|8BPWR|aCDMG
