0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22326 41522	1	 * 	290.12	DCR|3VULN|3DUR|2DMG|1CDMG|1AART	18aDUR|23aVULN|4CDMG|5LHND|6aDMG|7AART|9RCR|aBPWR
2	22351 62243	1	 * 	283.23	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	1aDUR|235aVULN|4TLV|6BBNT|7CDMG|8RCR|9aLIT|aBPWR
3	22353 51632	6	   	282.96	DCR|3VULN|3DUR|2DMG|1TLV	168DUR|2TLV|34DMG|569VULN|6BPWR|7DMSP|aRCR
4	22335 16532	6	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	157DUR|2TLV|36DMG|489VULN|aRCR
5	22135 36262	1	 * 	282.46	DCR|3VULN|3DMG|3DUR	19aDUR|29aVULN|3DUST|4LWND|5RMIN|6RCR|79aDMG|8BBNT|9aBPWR
6	22621 64131	4	 * 	280.20	DCR|3VULN|3DUR|2TLV|2AART|1CDMG	147DUR|27TLV|36AART|578VULN|7BPWR|9RCR|aCDMG
7	21313 42243	2	 * 	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	189DUR|2aFEWX|39aVULN|4DMG|5ERES|6RCR|79aASPD|9aBPWR
8	21313 42643	1	   	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	189DUR|2aLHND|39aVULN|4DMG|5ERES|6RCR|79aASPD|9aBPWR
9	24313 42243	1	   	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	189DUR|2aFEWX|39aVULN|4DMG|5ERES|6RCR|79aASPD|9aBPWR
10	33313 42643	1	   	279.86	DCR|3VULN|3DUR|3ASPD|1DMG	1LEGI|289DUR|39aVULN|4DMG|5aERES|6RCR|79aASPD|9aBPWR
11	33353 56223	9	   	279.01	DCR|3VULN|3DMG|1TLV|1DUR	1LEGI|2TLV|346DMG|56aVULN|6BPWR|7RCR|8LIT|9DUR
12	22324 43313	3	   	278.11	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19aDUR|2TLV|39DMG|4CDMG|5BELT|6RCR|7LIT|89VULN|9BPWR
13	22624 43313	2	   	278.11	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	19aDUR|2TLV|39DMG|4CDMG|5BELT|6RCR|7LIT|89VULN|9BPWR
14	22322 31322	1	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDUR|23aVULN|4CDMG|5AART|67DMG|8aFEWX|9RCR|aBPWR
15	22612 31322	1	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDUR|24aVULN|3CDMG|5AART|67DMG|8aFEWX|9RCR|aBPWR
16	23663 51322	4	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDUR|2CDMG|3aDMG|4ZMB|5MLV|68aVULN|7AART|9RCR|aBPWR
17	22326 41222	1	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDUR|23aVULN|4CDMG|5LHND|6aDMG|7AART|8RCVC|9RCR|aBPWR
18	22616 41222	1	   	276.89	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDUR|24aVULN|3CDMG|5LHND|6aDMG|7AART|8RCVC|9RCR|aBPWR
19	33615 41222	1	   	276.79	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1LEGI|2aDUR|3CDMG|45aVULN|6aDMG|7AART|8RCVC|9RCR|aBPWR
20	22335 53233	9	   	276.38	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	156DUR|2TLV|3DMG|469VULN|6BPWR|7CGEN|8ASPD|aRCR
21	22335 54223	9	   	276.38	DCR|3VULN|3DUR|1DMG|1TLV|1ASPD	156DUR|2TLV|3DMG|469VULN|6BPWR|7RMIN|8ASPD|aRCR
22	21316 16132	2	 * 	276.12	DCR|4VULN|2DMG|2DUR	17DUR|26FEWX|3578VULN|47DMG|7BPWR|9TBNT|aRCR
23	21316 66232	2	   	276.12	DCR|4VULN|2DMG|2DUR	17DUR|2FEWX|3567VULN|47DMG|7BPWR|8MLV|9BBNT|aRCR
24	21316 66332	2	   	276.12	DCR|4VULN|2DMG|2DUR	17DUR|2FEWX|3567VULN|47DMG|7BPWR|8RCVC|9TBNT|aRCR
25	24316 16132	1	   	276.12	DCR|4VULN|2DMG|2DUR	17DUR|26FEWX|3578VULN|47DMG|7BPWR|9TBNT|aRCR
26	26335 16112	6	 * 	274.66	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG|1NUKE	157DUR|28ASPD|3NUKE|47VULN|67DMG|7BPWR|9RCR|aCDMG
27	21361 46333	6	   	274.25	DCR|3VULN|2DMG|2DUR|1ASPD|1AART	19DUR|2FEWX|3RPLT|479VULN|5AART|6RCR|89DMG|9BPWR|aASPD
28	22322 32522	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	18aDUR|23aVULN|4CDMG|5AART|6DMG|7aBEXP|9RCR|aBPWR
29	22322 34512	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	18aDUR|23aVULN|4CDMG|5AART|6DMG|7RCR|9aLWND|aBPWR
30	22322 34562	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	18aDUR|23aVULN|4CDMG|5AART|6DMG|7RCR|9aBEXP|aBPWR
31	22612 32522	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	18aDUR|24aVULN|3CDMG|5AART|6DMG|7aBEXP|9RCR|aBPWR
32	22612 34512	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	18aDUR|24aVULN|3CDMG|5AART|6DMG|7RCR|9aLWND|aBPWR
33	42322 33522	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	1aBEXP|23aVULN|4CDMG|5AART|6DMG|78aDUR|9RCR|aBPWR
34	42612 33522	1	   	272.53	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	1aBEXP|24aVULN|3CDMG|5AART|6DMG|78aDUR|9RCR|aBPWR
35	33353 53212	7	   	271.89	DCR|3VULN|3DMG|2AART|1TLV	1LEGI|2TLV|346DMG|56aVULN|6BPWR|78AART|9RCR
36	22353 16163	10	   	271.80	DCR|2VULN|3DMG|3DUR|1TLV	19aDUR|2TLV|346DMG|5aVULN|7RCR|8aCGEN|aBPWR
