0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23226 12261	8	 * 	306.77	DCR|5VULN|2DMG|2DUR|1ASPD	1RMIN|27DMG|37DUR|4567aVULN|7BPWR|8ASPD|9RCR
2	23226 12265	8	 * 	297.44	DCR|4VULN|2DMG|2DUR|2ASPD	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8aASPD|9RCR
3	23226 12361	7	   	295.76	DCR|5VULN|2DMG|2DUR	1RMIN|27DMG|37DUR|4567aVULN|7BPWR|8ZMB|9RCR
4	23226 12264	8	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8ASPD|9RCR|aCGEN
5	23226 12266	8	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8ASPD|9RCR|aFEWX
6	23225 12261	8	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	15RMIN|27DMG|37DUR|467aVULN|7BPWR|8ASPD|9RCR
7	23226 12222	10	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8ASPD|9LHND|aRCR
8	23226 12365	7	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8ZMB|9RCR|aASPD
9	23226 32261	8	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	16RMIN|27DMG|37DUR|457aVULN|7BPWR|8ASPD|9RCR
10	23226 12262	8	   	287.13	DCR|4VULN|2DMG|2DUR|1ASPD	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8ASPD|9RCR|aDUST
11	23226 12366	7	   	285.89	DCR|4VULN|2DMG|2DUR	1RMIN|27DMG|37DUR|4567VULN|7BPWR|8ZMB|9RCR|aAART
12	61421 32162	8	 * 	282.99	DCR|4VULN|3ASPD|1DMG|1TLV	125ASPD|3458VULN|5BPWR|6TLV|7DMG|9RCR|aLIT
13	61421 32362	7	   	282.99	DCR|4VULN|3ASPD|1DMG|1TLV	125ASPD|3458VULN|5BPWR|6TLV|7DMG|9RCR|aLIT
14	61421 32262	7	 * 	277.94	DCR|3VULN|2DMG|3ASPD|1TLV	125ASPD|345VULN|5BPWR|6TLV|78DMG|9RCR|aLIT
