0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21521 14412	9	 * 	307.10	DCR|5VULN|3DUR|3CDMG	12789VULN|3AART|467CDMG|567DUR|67BPWR|aRCR
2	21623 41216	6	 * 	305.10	DCR|5VULN|3ASPD|2DUR|1TLV	1249aVULN|3TLV|5aDUR|6RCR|78aASPD|aBPWR
3	21623 42216	7	   	305.10	DCR|5VULN|3ASPD|2DUR|1TLV	1249aVULN|3TLV|5aDUR|6RCR|78aASPD|aBPWR
4	21623 41314	6	   	299.29	DCR|5VULN|2DUR|2ASPD|2TLV	12489VULN|3aTLV|58DUR|6RCR|78ASPD|8BPWR
5	21623 42314	7	   	299.29	DCR|5VULN|2DUR|2ASPD|2TLV	12489VULN|3aTLV|58DUR|6RCR|78ASPD|8BPWR
6	21623 41334	6	   	296.10	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aDMG
7	21623 42334	7	   	296.10	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aDMG
8	21623 41311	6	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aRPLT
9	21623 41312	6	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aLWND
10	21623 41313	6	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aMLV
11	21623 41316	6	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aCGEN
12	21623 42311	7	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aRPLT
13	21623 42312	7	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aLWND
14	21623 42313	7	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aMLV
15	21623 42316	7	   	295.58	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aCGEN
16	21323 41314	6	   	295.48	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aTLV
17	21323 42314	7	   	295.48	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|aTLV
18	21623 41315	6	   	295.48	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aERES
19	21623 42315	7	   	295.48	DCR|5VULN|2DUR|2ASPD|1TLV	12489VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|aERES
20	23313 52215	3	 * 	291.26	DCR|4VULN|2DMG|2ASPD|1DUR	1569VULN|2DUR|39DMG|46ASPD|69BPWR|7LIT|89LWND|aRCR
21	23152 33311	2	 * 	289.35	DCR|4VULN|3DUR|2DMG	1356VULN|238DUR|3BPWR|4FEWX|79DMG|aRCR
22	24152 33311	1	   	289.35	DCR|4VULN|3DUR|2DMG	1356VULN|238DUR|3BPWR|4FEWX|79DMG|aRCR
23	21623 41341	6	 * 	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1248VULN|3TLV|589DUR|6RCR|78ASPD|8BPWR|aRPLT
24	21623 41342	6	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1248VULN|3TLV|589DUR|6RCR|78ASPD|8BPWR|aLWND
25	21623 42341	7	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1248VULN|3TLV|589DUR|6RCR|78ASPD|8BPWR|aRPLT
26	21623 42342	7	   	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1248VULN|3TLV|589DUR|6RCR|78ASPD|8BPWR|aLWND
27	21623 41343	6	   	289.16	DCR|4VULN|3DUR|2ASPD|1TLV	1248VULN|3TLV|589DUR|6RCR|78ASPD|8BPWR|aTBNT
28	21623 42343	7	   	289.16	DCR|4VULN|3DUR|2ASPD|1TLV	1248VULN|3TLV|589DUR|6RCR|78ASPD|8BPWR|aTBNT
29	23216 41363	2	 * 	288.45	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	158VULN|28DUR|34ASPD|6LWND|78DMG|8BPWR|9CDMG|aRCR
30	21623 43216	7	   	287.59	DCR|5VULN|3DUR|1TLV	1249aVULN|3TLV|57aDUR|6RCR|8aZMB|aBPWR
31	23633 61235	6	   	285.87	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	159aVULN|2DUR|3CDMG|45TLV|5BPWR|6LIT|7RCR|8DMG
32	21623 41332	6	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aAART
33	21623 41351	6	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9RPLT|aAART
34	21623 42332	7	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aAART
35	21623 42351	7	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9RPLT|aAART
36	26623 41313	6	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	1489VULN|2RCVC|3TLV|58DUR|6RCR|78aASPD|8BPWR
37	26623 42313	7	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	1489VULN|2RCVC|3TLV|58DUR|6RCR|78aASPD|8BPWR
38	21623 41361	6	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|789ASPD|8BPWR|aLHND
39	21623 41363	6	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|789ASPD|8BPWR|aRMIN
40	21623 42361	7	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|789ASPD|8BPWR|aLHND
41	21623 42363	7	   	285.56	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|789ASPD|8BPWR|aRMIN
42	21623 41323	6	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|78aASPD|8BPWR|9BBNT
43	21623 41362	6	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|789ASPD|8BPWR|aERES
44	21623 42323	7	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|78aASPD|8BPWR|9BBNT
45	21623 42362	7	   	285.46	DCR|4VULN|3ASPD|2DUR|1TLV	1248VULN|3TLV|58DUR|6RCR|789ASPD|8BPWR|aERES
46	23123 46511	2	   	285.17	DCR|5VULN|2DUR|1TLV|1ASPD	13578VULN|23DUR|3BPWR|4DUST|6RCR|9TLV|aASPD
47	21623 41333	6	   	284.34	DCR|4VULN|2DUR|2ASPD|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aLIT
48	21623 42333	7	   	284.34	DCR|4VULN|2DUR|2ASPD|1TLV	1248VULN|3TLV|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aLIT
49	23313 16363	3	   	283.29	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1578VULN|28DUR|3DMG|4ASPD|68LWND|8BPWR|9CDMG|aRCR
50	23313 66363	3	   	283.29	DCR|4VULN|2DUR|1DMG|1CDMG|1ASPD	1578VULN|28DUR|3DMG|4ASPD|68LHND|8BPWR|9CDMG|aRCR
51	23123 44411	2	   	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1359VULN|237DUR|3BPWR|4DUST|6RCR|8DMG|aASPD
52	21621 63326	9	   	282.16	DCR|5VULN|2TLV|1DMG|2LIT	12489VULN|38TLV|5RMIN|68LIT|7RCR|8BPWR|aDMG
53	21236 23365	2	   	281.70	DCR|4VULN|2DMG|2TLV|1DUR	1247VULN|34CGEN|47BPWR|57DMG|67TLV|8DUR|9RMIN|aRCR
54	23333 22363	9	   	281.70	DCR|4VULN|2DMG|2CDMG|1DUR	1589VULN|2DUR|39DMG|45ZMB|59BPWR|6BEXP|79CDMG|aRCR
55	21116 23365	2	   	281.60	DCR|4VULN|2DMG|2TLV|1DUR	1237VULN|4CGEN|57DMG|67TLV|7BPWR|8DUR|9RMIN|aRCR
56	23152 33515	2	   	281.42	DCR|4VULN|3DUR|1DMG	1356VULN|239DUR|3BPWR|4FEWX|7DMG|8AART|aRCR
57	23321 43516	4	 * 	281.18	DCR|5VULN|2DMG|1DUR	1789aVULN|2DUR|3aDMG|4RCVC|5aCGEN|6RCR|aBPWR
58	23251 43314	2	   	280.99	DCR|5VULN|2ASPD|1TLV|1DUR	14789VULN|2DUR|38ASPD|58CGEN|6RCR|8BPWR|aTLV
59	25651 31211	1	   	280.98	DCR|5VULN|2DMG|1DUR	1359aVULN|2TBNT|45DMG|5BPWR|6RPLT|7DUR|8RCR
60	31352 13165	3	 * 	280.91	DCR|4VULN|3DMG|2CDMG	1FEWX|2578VULN|345DMG|5BPWR|69CDMG|aRCR
61	23633 61215	6	   	280.82	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	15aVULN|2DUR|3CDMG|45TLV|5BPWR|6LIT|7RCR|89DMG
62	23123 44242	2	   	280.80	DCR|5VULN|3DUR	1358aVULN|237DUR|3BPWR|4DUST|6RCR|9AART
63	23142 23135	2	   	280.17	DCR|4VULN|3DUR|1DMG	1357VULN|235DUR|35BPWR|4RMIN|6LWND|8RCR|9LIT|aDMG
64	24142 23135	1	   	280.17	DCR|4VULN|3DUR|1DMG	1357VULN|235DUR|35BPWR|4RMIN|6LWND|8RCR|9LIT|aDMG
65	23142 61135	2	   	280.07	DCR|4VULN|3DUR|1DMG	1356VULN|235DUR|35BPWR|4RMIN|7DUST|8RCR|9LIT|aDMG
66	21323 41334	6	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1248VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aDMG
67	21323 41356	6	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1248VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|9RPLT|aDMG
68	21323 42334	7	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1248VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|9CGEN|aDMG
69	21323 42356	7	   	279.75	DCR|4VULN|2DUR|2ASPD|1DMG	1248VULN|3ERES|58DUR|6RCR|78ASPD|8BPWR|9RPLT|aDMG
70	21623 41322	6	   	279.65	DCR|4VULN|2DUR|2ASPD|2TLV	1248VULN|3aTLV|58DUR|6RCR|78ASPD|8BPWR|9BBNT
71	21623 42322	7	   	279.65	DCR|4VULN|2DUR|2ASPD|2TLV	1248VULN|3aTLV|58DUR|6RCR|78ASPD|8BPWR|9BBNT
72	23142 23112	2	   	279.65	DCR|5VULN|3DUR	13579VULN|235DUR|35BPWR|4RMIN|6LWND|8RCR|aLIT
73	23142 55112	2	   	279.65	DCR|5VULN|3DUR	13579VULN|235DUR|35BPWR|4RMIN|6FEWX|8RCR|aLIT
74	23142 66112	2	   	279.65	DCR|5VULN|3DUR	13569VULN|235DUR|35BPWR|4RMIN|7LHND|8RCR|aLIT
75	24142 23112	1	   	279.65	DCR|5VULN|3DUR	13579VULN|235DUR|35BPWR|4RMIN|6LWND|8RCR|aLIT
76	23142 23134	2	   	279.65	DCR|5VULN|3DUR	1357aVULN|235DUR|35BPWR|4RMIN|6LWND|8RCR|9LIT
77	24142 23134	1	   	279.65	DCR|5VULN|3DUR	1357aVULN|235DUR|35BPWR|4RMIN|6LWND|8RCR|9LIT
78	21611 13145	6	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1279aVULN|3TLV|4RPLT|5DUR|6DMG|8RCR
