0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26311 46347	6	 * 	295.14	DCR|5VULN|3DUR|2DMG	1356aVULN|2aDMG|4MBVNT|79aDUR|8RCR|aBPWR
2	24311 36323	9	 * 	294.56	DCR|4VULN|3DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67aDMG|7BPWR|8RCR
3	24311 36353	8	   	294.56	DCR|4VULN|3DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67aDMG|7BPWR|8RCR
4	24344 22223	8	   	294.37	DCR|4VULN|3DMG|2CDMG|2ASPD|1AART	127aVULN|35CDMG|45aDMG|5aBPWR|6AART|8aASPD|9RCR
5	24314 23352	7	 * 	289.93	DCR|4VULN|3TLV|2DUR|2CDMG|1AART	1289VULN|35CDMG|459TLV|59BPWR|6AART|79DUR|aRCR
6	26326 22153	7	 * 	289.87	DCR|4VULN|2DMG|2DUR|1TLV	139aVULN|2aDMG|4ZMB|5TLV|6RPLT|7aDUR|8RCR|aBPWR
7	24313 53336	10	 * 	287.28	DCR|4VULN|2DMG|2TLV|2CDMG	127aVULN|37CDMG|4aTLV|5CGEN|67BEXP|7aBPWR|8RCR|9aDMG
8	24311 36324	10	   	287.21	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aASPD
9	24311 36324	9	   	287.21	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aLIT
10	26326 22143	7	 * 	284.48	DCR|3VULN|3DMG|2DUR|1TLV	13aVULN|29aDMG|4ZMB|5TLV|6RPLT|7aDUR|8RCR|aBPWR
11	22265 32347	6	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	146aVULN|2aFEWX|3DUR|56DMG|6aBPWR|7MBVNT|8RCR|9aTLV
12	26311 53347	7	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	135aVULN|2aDMG|4MBVNT|6DUR|7FEWX|8RCR|9aTLV|aBPWR
13	26331 42347	6	   	283.27	DCR|4VULN|2DMG|2TLV|1DUR	135aVULN|2aDMG|4FEWX|6DUR|7MBVNT|8RCR|9aTLV|aBPWR
14	26332 42347	3	   	283.17	DCR|4VULN|2DMG|2TLV|1DUR	134aVULN|2aDMG|5DUR|6DUST|7MBVNT|8RCR|9aTLV|aBPWR
15	26311 48733	6	   	282.19	DCR|5VULN|2DMG|1DUR|2LIT	13569VULN|29DMG|4MBVNT|7RCR|89LIT|9BPWR|aDUR
16	22454 33233	3	   	281.95	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1378VULN|23FEWX|37BPWR|47CDMG|5AART|67DUR|9RCR|aTLV
17	26311 46317	6	   	281.91	DCR|5VULN|2DMG|2DUR	1356aVULN|2aDMG|4MBVNT|7aDUR|8RCR|9DMSP|aBPWR
18	22263 13233	6	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1478VULN|2FEWX|37DUR|57CDMG|6AART|7BPWR|9RCR|aTLV
19	23235 13233	5	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1678VULN|2LHND|37DUR|47CDMG|5AART|7BPWR|9RCR|aTLV
20	22654 33233	2	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1378VULN|2FEWX|47CDMG|5AART|67DUR|7BPWR|9RCR|aTLV
21	23654 33233	1	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1378VULN|2FEWX|47CDMG|5AART|67DUR|7BPWR|9RCR|aTLV
22	24354 33233	1	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1278VULN|27BPWR|3BEXP|47CDMG|5AART|67DUR|9RCR|aTLV
23	24354 33233	2	   	281.85	DCR|4VULN|2DUR|1TLV|2CDMG|1AART	1278VULN|3BEXP|47CDMG|5AART|67DUR|7BPWR|9RCR|aTLV
24	22263 13135	6	 * 	280.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1AART	147VULN|2FEWX|37DUR|57CDMG|6AART|7BPWR|8DMG|9RCR|aTLV
25	23235 13135	5	   	280.86	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1AART	167VULN|2LHND|37DUR|47CDMG|5AART|7BPWR|8DMG|9RCR|aTLV
26	26333 52121	3	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	1347VULN|27DMG|5RMIN|67TLV|7BPWR|8ZMB|9CDMG|aRCR
27	22265 33216	7	 * 	279.43	DCR|4VULN|3DMG|2DUR	146aVULN|27FEWX|3aDUR|56aDMG|6aBPWR|8RCR|9DMSP
28	26318 22325	10	   	278.98	DCR|4VULN|3DMG|2DUR|1SELL	138aVULN|29aDMG|4MBVNT|5SELL|6RCR|7aDUR|aBPWR
29	24311 36321	9	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aZMB
30	24311 36322	10	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aBEXP
31	24311 36322	9	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aBEXP
32	24311 36323	10	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aCGEN
33	24311 36325	10	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aLWND
34	24311 36351	8	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aZMB
35	24311 36352	8	   	278.90	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aBEXP
36	24311 36321	10	   	278.80	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aERES
37	24311 36326	9	   	278.80	DCR|4VULN|2DMG|1TLV|2CDMG	1279VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|aTBNT
38	24345 22223	8	   	278.61	DCR|4VULN|2DMG|2CDMG|2ASPD|1AART	127aVULN|35CDMG|4aDMG|6AART|8aASPD|9RCR|aBPWR
39	22265 34112	10	   	277.03	DCR|3VULN|2DMG|2DUR|1TLV	146VULN|2FEWX|39DUR|56DMG|6BPWR|7TLV|8ASPD|aRCR
40	26111 46347	6	   	276.80	DCR|4VULN|3DUR|2DMG	156aVULN|2aDMG|3RCVC|4MBVNT|79aDUR|8RCR|aBPWR
41	26314 44223	6	   	276.79	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	13aVULN|2aDMG|4MBVNT|5TLV|6SELL|7RCR|8ASPD|9aDUR|aBPWR
42	26314 45223	7	   	276.79	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	13aVULN|2aDMG|4MBVNT|5TLV|6SELL|7RCR|8ASPD|9aDUR|aBPWR
43	26314 54223	5	   	276.79	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	13aVULN|2aDMG|4MBVNT|5TLV|6SELL|7RCR|8ASPD|9aDUR|aBPWR
44	26316 54223	4	   	276.79	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	13aVULN|2aDMG|4MBVNT|5TLV|6SELL|7RCR|8ASPD|9aDUR|aBPWR
45	26314 86341	8	   	276.68	DCR|4VULN|2DMG|2TLV|1AART	1379VULN|29DMG|4MBVNT|59TLV|6RPLT|8AART|9BPWR|aRCR
46	24311 36342	9	   	275.82	DCR|3VULN|2DMG|1TLV|2CDMG|1AART	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9AART|aLIT
47	26332 14621	3	 * 	275.74	DCR|5VULN|1TLV|1DMG|1DUR	13478VULN|2DMG|5DUR|6BBNT|9TLV|aRCR
48	24311 36343	9	   	275.59	DCR|3VULN|2DMG|2TLV|2CDMG|1AART	127VULN|37CDMG|4aTLV|5DUST|67DMG|7BPWR|8RCR|9AART
49	24332 13233	6	   	275.33	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1278VULN|3CDMG|47DUST|57DUR|6AART|7BPWR|9RCR|aTLV
50	24334 33233	4	   	275.33	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	1278VULN|3CDMG|47DUST|5AART|67DUR|7BPWR|9RCR|aTLV
51	24332 13135	6	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	127VULN|3CDMG|47DUST|57DUR|6AART|7BPWR|8DMG|9RCR|aTLV
52	24334 33135	4	   	274.35	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG|1AART	127VULN|3CDMG|47DUST|5AART|67DUR|7BPWR|8DMG|9RCR|aTLV
53	24311 36235	10	   	273.51	DCR|3VULN|3DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|679DMG|7BPWR|8LWND|aRCR
54	24311 36314	8	   	273.51	DCR|3VULN|3DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|67aDMG|7BPWR|8RCR|9ZMB
55	24311 36363	9	   	273.51	DCR|3VULN|3DMG|1TLV|2CDMG	127VULN|37CDMG|4TLV|5DUST|67aDMG|7BPWR|8RCR|9DMSP
56	24311 36324	8	   	273.41	DCR|3VULN|3DMG|1TLV|2CDMG|1NUKE	127VULN|37CDMG|4TLV|5DUST|67aDMG|7BPWR|8RCR|9NUKE
57	26311 42265	6	   	272.94	DCR|5VULN|2DMG|1CDMG	13567VULN|27DMG|4MBVNT|7BPWR|8CDMG|9LIT|aRCR
58	24311 36341	8	   	272.71	DCR|3VULN|2DMG|1TLV|2CDMG|2LIT	127VULN|37CDMG|4TLV|5DUST|67DMG|7BPWR|8RCR|9aLIT
59	24336 34211	6	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	1256VULN|3CDMG|4DUST|78DMG|9TLV|aRCR
60	24336 35211	7	   	272.39	DCR|4VULN|2DMG|1TLV|1CDMG	1256VULN|3CDMG|4DUST|78DMG|9TLV|aRCR
61	24141 22143	7	   	271.98	DCR|4VULN|2DMG|2DUR	125aVULN|3aDUR|4ASPD|6RPLT|7LWND|8RCR|9aDMG|aBPWR
62	26241 22153	7	   	271.98	DCR|4VULN|2DMG|2DUR	159aVULN|2aDMG|3CGEN|4ASPD|6RPLT|7aDUR|8RCR|aBPWR
63	26611 22153	7	   	271.88	DCR|4VULN|2DMG|2DUR	159aVULN|2aDMG|3ASPD|4ERES|6RPLT|7aDUR|8RCR|aBPWR
64	21326 12353	7	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1349VULN|2ERES|5TLV|6RCR|7DUR|8CDMG|aDMG
65	26311 48321	7	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1356VULN|2DMG|4MBVNT|7TLV|8DUR|9CDMG|aRCR
66	26314 48461	5	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1389VULN|2DMG|4MBVNT|5TLV|6CDMG|7DUR|aRCR
67	24321 36323	10	 * 	271.04	DCR|5VULN|2DMG|2CDMG	1279aVULN|37CDMG|4CGEN|5DUST|67DMG|7BPWR|8RCR
