0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 42313	4	 * 	309.09	DCR|5VULN|3DUR|2DMG	13478VULN|23CGEN|37BPWR|57DMG|679DUR|aRCR
2	61226 32612	4	 * 	303.30	DCR|4VULN|3DMG|3CDMG|1TLV	138DMG|2348VULN|38BPWR|578CDMG|6BBNT|9TLV|aRCR
3	61222 21235	5	 * 	302.98	DCR|4VULN|3DMG|2DUR|1ASPD	13aDMG|234aVULN|3aBPWR|5RPLT|6ASPD|7MLV|8aDUR|9RCR
4	61222 26235	5	   	302.88	DCR|4VULN|3DMG|2DUR|1ASPD	13aDMG|234aVULN|3aBPWR|5RPLT|6ASPD|7ERES|8aDUR|9RCR
5	61222 32416	9	   	301.95	DCR|4VULN|3DMG|1TLV|1CDMG|1ASPD	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8ASPD|9TLV|aRCR
6	61222 32643	7	 * 	300.55	DCR|5VULN|3DMG|2CDMG	136DMG|2346aVULN|36BPWR|5RPLT|78CDMG|9RCR
7	61222 31616	10	   	296.83	DCR|5VULN|3DMG|1TLV	136DMG|23467VULN|36BPWR|5RPLT|8TLV|9BEXP|aRCR
8	61222 31626	10	   	296.83	DCR|5VULN|3DMG|1TLV	136DMG|23467VULN|36BPWR|5RPLT|8TLV|9LWND|aRCR
9	61222 31366	10	   	296.73	DCR|5VULN|3DMG|1DUR	136DMG|23467VULN|36BPWR|5RPLT|8ERES|9DUR|aRCR
10	61222 31112	8	   	294.23	DCR|5VULN|3DMG|1CDMG	136DMG|23467VULN|36BPWR|5RPLT|8FEWX|9CDMG|aRCR
11	61222 31212	8	   	294.23	DCR|5VULN|3DMG|1CDMG	136DMG|23467VULN|36BPWR|5RPLT|8LHND|9CDMG|aRCR
12	61222 31512	7	   	294.23	DCR|5VULN|3DMG|1CDMG	136DMG|23467VULN|36BPWR|5RPLT|8LHND|9CDMG|aRCR
13	61222 32162	7	   	294.23	DCR|5VULN|3DMG|1CDMG	136DMG|23469VULN|36BPWR|5RPLT|7CDMG|8BEXP|aRCR
14	61222 32562	8	   	294.23	DCR|5VULN|3DMG|1CDMG	136DMG|23469VULN|36BPWR|5RPLT|7CDMG|8LWND|aRCR
15	61222 35162	6	   	294.23	DCR|5VULN|3DMG|1CDMG	136DMG|23469VULN|36BPWR|5RPLT|7CDMG|8BEXP|aRCR
16	61222 32462	7	   	294.13	DCR|5VULN|3DMG|1CDMG	136DMG|23469VULN|36BPWR|5RPLT|7CDMG|8DUST|aRCR
17	61222 32325	9	   	292.66	DCR|4VULN|3DMG|1CDMG	136DMG|2346VULN|36BPWR|5RPLT|7CDMG|8AART|9RCR|aLIT
18	61211 43335	8	   	292.11	DCR|4VULN|3DMG|2TLV|1ASPD	13aDMG|236aVULN|3aBPWR|4ASPD|5LHND|7aTLV|8RPLT|9RCR
19	61213 43335	8	   	292.11	DCR|4VULN|3DMG|2TLV|1ASPD	13aDMG|236aVULN|3aBPWR|4ASPD|5LWND|7aTLV|8RPLT|9RCR
20	61222 31116	10	   	291.59	DCR|5VULN|3DMG|1ASPD	136DMG|23467VULN|36BPWR|5RPLT|8FEWX|9ASPD|aRCR
