0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23151 13435	10	 * 	296.46	DCR|4VULN|2DMG|2TLV|1DUR|2LIT	158aVULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR
2	23151 13435	9	 * 	289.47	DCR|3VULN|3DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45aDMG|58BPWR|6DUR|78LIT|9RCR
3	25632 12243	6	 * 	288.40	DCR|3VULN|2DMG|2DUR|2TLV|2LIT	16aVULN|2aDUR|34LIT|56DMG|6aBPWR|7aTLV|8RCR|9BBNT
4	25632 12253	6	   	288.40	DCR|3VULN|2DMG|2DUR|2TLV|2LIT	16aVULN|2aDUR|34LIT|56DMG|6aBPWR|7aTLV|8RCR|9TBNT
5	25611 35132	6	 * 	284.09	DCR|3VULN|3DMG|2DUR|2LIT	19aVULN|2aDUR|36LIT|4BEXP|58aDMG|7RCR|aBPWR
6	23151 13431	9	   	283.48	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78LIT|9RCR|aAART
7	43161 16223	5	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1RPLT|2LEGI|39aVULN|4TLV|569DUR|7RCR|89DMG|9BPWR
8	21243 36353	2	 * 	282.63	DCR|4VULN|3DUR|3ASPD	138aVULN|2LWND|48aASPD|58aDUR|6RPLT|7RCR|8aBPWR|9LEGI
9	22243 36353	2	   	282.63	DCR|4VULN|3DUR|3ASPD	138aVULN|2LHND|48aASPD|58aDUR|6RPLT|7RCR|8aBPWR|9LEGI
10	23243 36353	1	   	282.63	DCR|4VULN|3DUR|3ASPD	138aVULN|2LHND|48aASPD|58aDUR|6RPLT|7RCR|8aBPWR|9LEGI
11	23132 32435	10	   	281.75	DCR|3VULN|2DMG|2DUR|2TLV	18aVULN|2ERES|38TLV|4LIT|56DMG|78DUR|8BPWR|9RCR
12	23151 13235	6	   	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	157VULN|27ERES|3TLV|45DMG|57BPWR|67DUR|8ASPD|9LHND|aRCR
13	23151 23435	10	   	280.21	DCR|4VULN|2DMG|2TLV|2LIT	158aVULN|2ERES|38TLV|45DMG|58BPWR|6BEXP|78LIT|9RCR
14	23151 13432	10	 * 	278.83	DCR|3VULN|2DMG|3LIT|2TLV|1DUR	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78aLIT|9RCR
15	23151 13433	9	   	278.83	DCR|3VULN|2DMG|3LIT|2TLV|1DUR	158VULN|2ERES|38TLV|45DMG|58BPWR|6DUR|78aLIT|9RCR
16	25241 31622	8	 * 	278.08	DCR|5VULN|2DUR|2CDMG	14679VULN|29DUR|37DUST|57CGEN|79BPWR|89CDMG|aRCR
17	23151 14152	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1579VULN|2ERES|3TLV|45DMG|5BPWR|6DUR|8BEXP|aRCR
18	23151 14252	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1579VULN|2ERES|3TLV|45DMG|5BPWR|6DUR|8FEWX|aRCR
