0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33132 16114	10	 * 	270.70	DCR|3VULN|3DUR|2DMG|2LIT	1BELT|2aDMG|347DUR|58aVULN|6aLIT|9RCR|aBPWR
2	11332 41134	5	 * 	270.03	DCR|3VULN|3DMG|3TLV	1DMSP|2RPLT|3MBVNT|49aVULN|5ASPD|6RCR|79aDMG|89aTLV|9aBPWR
3	53627 41134	2	 * 	269.65	DCR|3VULN|2DMG|3TLV|3ASPD	1RPLT|29aVULN|35DMG|4MBVNT|6RCR|79aASPD|89aTLV|9aBPWR
4	53311 62133	2	 * 	268.87	DCR|4VULN|3DUR|1DMG|1AART	1RPLT|235aVULN|457DUR|5BPWR|6AART|8DMG|9RCR
5	53511 62133	3	   	268.87	DCR|4VULN|3DUR|1DMG|1AART	1RPLT|235aVULN|457DUR|5BPWR|6AART|8DMG|9RCR
6	12212 53325	10	 * 	267.94	DCR|3VULN|3DMG|2DUR|1AART	1DMSP|29aDMG|3BELT|45aVULN|6RCR|7AART|8aDUR|aBPWR
7	12352 21443	8	   	267.71	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG|1AART	1DMSP|29DMG|39LIT|4AART|5TLV|6RCR|7CDMG|89VULN|9BPWR|aDUR
8	12352 21643	7	   	267.71	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG|1AART	1DMSP|29DMG|39LIT|4AART|5TLV|6RCR|7CDMG|89VULN|9BPWR|aDUR
9	12212 23356	5	 * 	267.12	DCR|4VULN|2DMG|2TLV	1DMSP|2aDMG|3BELT|457aVULN|6RCVC|8RCR|9aTLV|aBPWR
10	12212 52126	9	   	267.12	DCR|4VULN|2DMG|2TLV	19DMSP|2aDMG|3BELT|458aVULN|6RCR|7aTLV|aBPWR
11	12212 52136	8	   	267.12	DCR|4VULN|2DMG|2TLV	1DMSP|2aDMG|3BELT|458aVULN|6RCR|7aTLV|9RCVC|aBPWR
12	53543 11131	6	   	265.68	DCR|4VULN|2TLV|1DMG|2ASPD	1RPLT|239aVULN|49ASPD|5FEWX|6RCR|7DMG|89TLV|9BPWR
13	33123 22113	8	 * 	263.67	DCR|4VULN|2DMG|2DUR	1BELT|28DMG|38DUR|4578VULN|6RPLT|8BPWR|9FEWX|aRCR
14	33123 22123	9	   	263.67	DCR|4VULN|2DMG|2DUR	1BELT|28DMG|38DUR|4578VULN|6RPLT|8BPWR|9FEWX|aRCR
15	33123 22143	9	   	263.67	DCR|4VULN|2DMG|2DUR	1BELT|28DMG|38DUR|4578VULN|6RPLT|8BPWR|9LHND|aRCR
16	35623 22113	8	   	263.67	DCR|4VULN|2DMG|2DUR	1BELT|28DUR|38DMG|4578VULN|6RPLT|8BPWR|9FEWX|aRCR
17	35623 22123	9	   	263.67	DCR|4VULN|2DMG|2DUR	1BELT|28DUR|38DMG|4578VULN|6RPLT|8BPWR|9FEWX|aRCR
18	35623 22143	9	   	263.67	DCR|4VULN|2DMG|2DUR	1BELT|28DUR|38DMG|4578VULN|6RPLT|8BPWR|9LHND|aRCR
19	33123 22133	9	   	263.57	DCR|4VULN|2DMG|2DUR	1BELT|28DMG|38DUR|4578VULN|6RPLT|8BPWR|9LEGI|aRCR
20	35623 22133	9	   	263.57	DCR|4VULN|2DMG|2DUR	1BELT|28DUR|38DMG|4578VULN|6RPLT|8BPWR|9LEGI|aRCR
21	12352 25153	10	   	262.77	DCR|2VULN|3DMG|2TLV|2AART	1DMSP|27aDMG|3LIT|48AART|5aTLV|6RCR|9aVULN|aBPWR
22	53627 41131	2	   	262.12	DCR|3VULN|2DMG|2TLV|2ASPD	1RPLT|29aVULN|35DMG|4MBVNT|6RCR|79ASPD|89TLV|9BPWR
23	24421 11235	3	   	261.82	DCR|3VULN|3DMG|2TLV	19TLV|259DMG|3RPLT|45aVULN|59BPWR|6BEXP|79ZMB|8RCR
24	53127 41134	3	   	261.72	DCR|3VULN|3DMG|3TLV	1RPLT|29aVULN|3ZMB|4MBVNT|59aDMG|6RCR|7RCVC|89aTLV|9aBPWR
25	53167 41134	4	   	261.72	DCR|3VULN|3DMG|3TLV	1RPLT|29aVULN|3ZMB|4MBVNT|59aDMG|6RCR|7RCVC|89aTLV|9aBPWR
26	12212 53156	6	   	261.72	DCR|3VULN|3DMG|2TLV	1DMSP|27aDMG|3BELT|45aVULN|6RCR|8RCVC|9aTLV|aBPWR
27	12224 23356	3	   	261.72	DCR|3VULN|3DMG|2TLV	1DMSP|24aDMG|3BELT|57aVULN|6RCVC|8RCR|9aTLV|aBPWR
28	44421 13231	3	   	261.59	DCR|2VULN|3DMG|2TLV|2ASPD	19ASPD|259DMG|3RPLT|45VULN|59BPWR|6BEXP|79TLV|8RCR|aLIT
29	56421 13231	1	   	261.59	DCR|2VULN|3DMG|2TLV|2ASPD	1RPLT|29ASPD|359DMG|45VULN|59BPWR|6BEXP|79TLV|8RCR|aLIT
30	52151 32131	9	 * 	261.36	DCR|5VULN|3TLV|1CDMG	1RPLT|2BELT|34789VULN|478BPWR|578TLV|6RCR|aCDMG
31	52151 32135	10	   	261.36	DCR|5VULN|3TLV|1CDMG	1RPLT|2BELT|34789VULN|478BPWR|578TLV|6RCR|aCDMG
32	44312 51121	5	 * 	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1ASPD|28DMG|3BEXP|4FEWX|58DUR|6TLV|78VULN|8BPWR|9LIT|aRCR
33	44322 51121	5	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	1ASPD|28DMG|3BEXP|4LHND|58DUR|6TLV|78VULN|8BPWR|9LIT|aRCR
34	12553 24313	4	 * 	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1DMSP|2aDMG|3ZMB|4aTLV|57DUR|6RCR|8LIT|9aVULN|aBPWR
35	53311 14124	2	 * 	260.43	DCR|4VULN|2DUR|1TLV	1RPLT|2359VULN|45DUR|5BPWR|6BEXP|7LIT|8TLV|aRCR
36	52233 43113	9	   	260.28	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	1RPLT|2BELT|38ASPD|48DMG|5TLV|69DUR|78VULN|8BPWR|aRCR
37	11333 43431	5	 * 	260.20	DCR|4VULN|2TLV|2DUR	1DMSP|2RPLT|3MBVNT|469aVULN|59DUR|79TLV|8RCR|9BPWR
38	11338 23431	6	   	260.20	DCR|4VULN|2TLV|2DUR	1DMSP|2RPLT|3MBVNT|459aVULN|69DUR|79TLV|8RCR|9BPWR
39	24241 52333	7	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2aDMG|3MLV|4CDMG|579VULN|6LIT|8RCR
40	24241 53333	6	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2aDMG|3MLV|4CDMG|579VULN|6LIT|8RCR
41	24242 53333	5	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2aDMG|3MLV|4CDMG|5LIT|679VULN|8RCR
42	11551 31623	1	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1DMSP|2BELT|38TLV|4CDMG|58DMG|6RCR|789VULN|8BPWR|aRMIN
43	36151 31623	3	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1BELT|2DMSP|38TLV|4CDMG|58DMG|6RCR|789VULN|8BPWR|aRMIN
44	11551 31621	1	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG	1DMSP|2BELT|38TLV|4CDMG|58DMG|6RCR|789VULN|8BPWR|aERES
45	11551 31622	1	   	259.62	DCR|3VULN|2DMG|3TLV|1CDMG	1DMSP|2BELT|38aTLV|4CDMG|58DMG|6RCR|789VULN|8BPWR
