0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11114 33535	4	 * 	285.59	DCR|5VULN|2DMG|1ASPD|1AART	1aLHND|2ASPD|3479aVULN|5AART|6aDMG|8RCR|aBPWR
2	25222 33422	4	 * 	276.12	DCR|4VULN|2DMG|2DUR	1RMIN|29DMG|3459VULN|6BELT|7BBNT|89DUR|9BPWR|aRCR
3	51112 72724	8	   	272.34	DCR|4VULN|2DMG|1DUR|1ASPD	18DUST|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9RCR|aDUR
4	11124 33535	3	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	14aLHND|2ASPD|379aVULN|5AART|6aDMG|8RCR|aBPWR
5	11134 33535	3	   	266.05	DCR|4VULN|2DMG|1ASPD|1AART	1aLHND|2ASPD|379aVULN|4RCVC|5AART|6aDMG|8RCR|aBPWR
6	51112 72721	8	   	265.75	DCR|4VULN|2DMG|1ASPD|1AART	18DUST|2ASPD|3468VULN|5MBVNT|78DMG|8BPWR|9RCR|aAART
7	21113 15611	3	 * 	265.25	DCR|4VULN|2DMG|3LIT	12RMIN|359LIT|4579VULN|59BPWR|69DMG|8MBVNT|aRCR
8	23113 15611	3	   	265.25	DCR|4VULN|2DMG|3LIT	1RMIN|2DMSP|359LIT|4579VULN|59BPWR|69DMG|8MBVNT|aRCR
9	12521 15812	10	   	264.63	DCR|5VULN|2DMG	1LHND|23468VULN|5MBVNT|7aDMG|9RCR
10	12522 13614	7	   	263.39	DCR|5VULN|1DMG|1DUR	1LHND|23469VULN|5DUR|7LWND|8RCR|aDMG
11	12522 21614	5	   	263.39	DCR|5VULN|1DMG|1DUR	1LHND|23479VULN|5DUR|6FEWX|8RCR|aDMG
12	12523 23151	10	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1LHND|2348VULN|5CDMG|6TLV|7AART|9RCR|aDUR
13	12523 23154	9	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1LHND|2348VULN|5CDMG|6TLV|7AART|9RCR|aDUR
14	12521 15813	9	   	263.29	DCR|5VULN|1DMG|1DUR	1LHND|23468VULN|5MBVNT|7DMG|9RCR|aDUR
15	36132 13531	1	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aCGEN|2RCVC|379VULN|4AART|5aDMG|6aDUR|8RCR|aBPWR
16	46132 13531	1	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aMLV|2RCVC|379VULN|4AART|5aDMG|6aDUR|8RCR|aBPWR
17	51131 31165	5	   	263.06	DCR|4VULN|1DMG|1DUR|1ASPD	1DUST|2ASPD|3679VULN|4LIT|5DUR|8DMG|aRCR
18	12522 35253	4	   	261.44	DCR|4VULN|2DMG|1DUR	1LHND|2345VULN|6BELT|7aDMG|8RCR|9DUR
19	12532 35253	3	   	261.44	DCR|4VULN|2DMG|1DUR	1LHND|2345VULN|6BELT|7aDMG|8RCR|9DUR
20	31111 14431	10	 * 	261.04	DCR|4VULN|3DMG	19CGEN|2LWND|3469VULN|5RMIN|789DMG|9BPWR|aRCR
21	31111 14434	9	   	261.04	DCR|4VULN|3DMG	19CGEN|2LWND|3469VULN|5RMIN|789DMG|9BPWR|aRCR
22	41111 14431	10	   	261.04	DCR|4VULN|3DMG	19MLV|2LWND|3469VULN|5RMIN|789DMG|9BPWR|aRCR
23	12523 23153	7	   	260.77	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1AART	1LHND|234VULN|5CDMG|6TLV|7AART|8DUR|9RCR|aDMG
24	11115 51611	5	   	260.70	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1LHND|2ASPD|3479VULN|5DUR|6TLV|8RCR|aAART
25	12521 15811	10	   	260.69	DCR|5VULN|1DMG|1CDMG	1LHND|23468VULN|5MBVNT|7DMG|9RCR|aCDMG
